Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
health-care,Chronic Care Specialty Hospital,+966 126180600,+966 536534791,,,"Hamza Shahta Street, Baghdadiya Al Gharbiya, Al Baghdadiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Hamza Shahta Street,Makkah Province,Saudi Arabia,"Chronic Care Specialty Hospital is the first transitional care hospital in the Kingdom of Saudi Arabia. Adapted from the western model of holistic care approach, transitional care offers smooth and carefully planned movement of a patient from a tertiary hospital to a more relaxed level of care, in a transitional care hospital offering long term healing and care.Most of such patients are chronic patients that have undergone a procedure at a tertiary hospital and now require a specialized healt...",http://www.chroniccare.sa/,,https://arablocal.com/business/view/chronic-care-specialty-hospital,https://www.facebook.com/chroniccareksa/,https://instagram.com/chroniccareksa/,https://www.linkedin.com/company/chroniccare/,https://twitter.com/chroniccareksa/,
health-care,Sahaj Medical Clinic,+966 112450683,,,,"Al Jonadriyah, Riyadh, Al Jonadriyah, Riyadh, Riyadh Province, Saudi Arabia",Al Jonadriyah,Riyadh Province,Saudi Arabia,Sahaj Medical Clinic,,,https://arablocal.com/business/view/sahaj-medical-clinic,,,,,
health-care,Saudi Health Services Institute Madinah Road Jeddah,+966 126974451,,,,"Madinah Road, Jeddah, Madinah Road, Jeddah, Makkah Province, Saudi Arabia",Madinah Road,Makkah Province,Saudi Arabia,Saudi Health Services Institute Madinah Road Jeddah,http://www.saudihealth.biz/,,https://arablocal.com/business/view/saudi-health-services-institute-madinah-road-jeddah,https://www.facebook.com/Saudi-Health-Services-Company-Ltd-193701377380627/,,,,
health-care,Shifa Jeddah Polyclinic And Diagnostic Center,+966 126533636,,,,"King Khalid Street, Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia",King Khalid Street,Makkah Province,Saudi Arabia,Shifa Jeddah Polyclinic And Diagnostic Center,,,https://arablocal.com/business/view/shifa-jeddah-polyclinic-and-diagnostic-center,,,,,
health-care,Shifa Al Baraka Medical Center,+966 125479000,,,,"Biban Dist., Makkah Al Mukarrmah, Biban Dist., Mecca, Makkah Province, Saudi Arabia",Biban Dist.,Makkah Province,Saudi Arabia,Shifa Al Baraka Medical Center,,,https://arablocal.com/business/view/shifa-al-baraka-medical-center,,,,,
health-care,Shifa Al Bawadi Medical Services Co.,+966 126625908,,,,"Rabwa Dist., Jeddah, Rabwa Dist., Jeddah, Makkah Province, Saudi Arabia",Rabwa Dist.,Makkah Province,Saudi Arabia,Shifa Al Bawadi Medical Services Co.,,,https://arablocal.com/business/view/shifa-al-bawadi-medical-services-co,,,,,
health-care,Wajha Specialist Medical Complex,+966 505825059,+966 138327139,,,"Al Rowadh Dist., Dammam, Al Rowadh Dist., Dammam, Eastern Province, Saudi Arabia",Al Rowadh Dist.,Eastern Province,Saudi Arabia,Wajha Specialist Medical Complex,,,https://arablocal.com/business/view/wajha-specialist-medical-complex,,,,,
health-care,Saba Clinics - Al Bawadei Jeddah,+966 126547842,,,,"West Of Siteen Street, Al Bawadei Dist., Jeddah, Al Bawadei Dist., Jeddah, Makkah Province, Saudi Arabia",West Of Siteen Street,Makkah Province,Saudi Arabia,Saba Clinics - Al Bawadei Jeddah,http://sabamedical.com/,,https://arablocal.com/business/view/saba-clinics-al-bawadei-jeddah,https://www.facebook.com/pages/Saba-Medical-%D8%B3%D8%A7%D8%A8%D8%A7-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9/189169524447356,https://www.instagram.com/sabamedical/?hl=en,https://www.linkedin.com/company/saba-clinics/,https://twitter.com/SABAMEDICAL,https://www.youtube.com/user/SABAMEDICALKSA
health-care,Ram Dental And Orthodontic Clinics Dammam,+966 138425701,,,,"Othman Ibn Affan Street, Al Murakbat Dist., Dammam, Al Murakbat Dist., Dammam, Eastern Province, Saudi Arabia",Othman Ibn Affan Street,Eastern Province,Saudi Arabia,Ram Dental And Orthodontic Clinics Dammam,http://ramclinics.net/,,https://arablocal.com/business/view/ram-dental-and-orthodontic-clinics-dammam,https://www.facebook.com/RamClinics/,https://www.instagram.com/ramclinics/,https://www.linkedin.com/company/13197747/,https://twitter.com/ramclinics,https://www.youtube.com/channel/UCfLOECTggBtJ0L4LZ7b0FFw
health-care,Thanaya Clinic Dental Clinics Batha Quraish Mecca,+966 125660036,,,,"Batha Quraish, Makkah Al Mukarrmah, Batha Quraish, Mecca, Makkah Province, Saudi Arabia",Batha Quraish,Makkah Province,Saudi Arabia,Thanaya Clinic Dental Clinics Batha Quraish Mecca,,,https://arablocal.com/business/view/thanaya-clinic-dental-clinics-batha-quraish-mecca,https://www.facebook.com/pages/category/Hospital/Thanaya-Clinic-227470230602758/,,,,
health-care,Thyrocare Gulf,,,,thyrocaregulf8@gmail.com,"43, Bldg No.737, Road 1510, BIIP, Al Ewaiqilah, Arar City, Northern Borders Province, Saudi Arabia",43,Northern Borders Province,Saudi Arabia,"Thyrocare is Bahrain fully automated diagnostic laboratory with a focus on providing quality at affordable costs to laboratories and hospitals in Bahrain and other countries. We have focus on strong technologies, strong brands and strong systems that enable all laboratories to give their clients the best of science and technology at an affordable cost. With a belief that 'Quality' is the heart of any intelligent management, Thyrocare became one of the first Indian diagnostic laboratories to o...",http://thyrocaregulf.com/,,https://arablocal.com/business/view/thyrocare-gulf,https://www.facebook.com/thyrocaregulf/,,https://www.linkedin.com/company/thyrocare-gulf,https://twitter.com/thyrocare_gulf,
health-care,White Wing Medical Center,+966 114834286,,,,"West Of National Commercial Bank, Takhassusi St., Riyadh, Takhassusi St., Riyadh, Riyadh Province, Saudi Arabia",West Of National Commercial Bank,Riyadh Province,Saudi Arabia,White Wing Medical Center,,,https://arablocal.com/business/view/white-wing-medical-center,,,,,
health-care,Sarabeel Commercial Est.,+966 126572246,,,,"Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Sharafiyah Dist.,Makkah Province,Saudi Arabia,Sarabeel Commercial Est.,,,https://arablocal.com/business/view/sarabeel-commercial-est,,,,,
health-care,Turki Medical Clinic Complex,+966 127441111,,,,"Al Shuhdah Dist., Taif, Al Shuhdah Dist., Taif, Makkah Province, Saudi Arabia",Al Shuhdah Dist.,Makkah Province,Saudi Arabia,Turki Medical Clinic Complex,,,https://arablocal.com/business/view/turki-medical-clinic-complex,,,,,
health-care,ShieldMe,,,,info@shieldmeglobal.com,"Exit 18, Istanbul Street, Al Fouzan Industrial Area, Sulayil, Riyadh, Riyadh Province, Saudi Arabia",Exit 18,Riyadh Province,Saudi Arabia,"SHIELDme™ is the home of a market-leading formula that is designed to destroy viruses and germs in an incredibly effective yet safe manner. Following the outbreak of Covid 19, the world has had to adapt to a new way of living. The KSA, like most countries around the globe, have implemented certain measures to keep their citizens safe. SHIELDme™ is playing a role in this, too, as our experts have created a formula that is safe for humans and the environment. The substance contains natural elem...",http://www.ksa.shieldmeglobal.com/,,https://arablocal.com/business/view/shieldme,https://www.facebook.com/Shieldmeglobal-102961727986019,https://www.instagram.com/shieldmeglobal/,https://www.linkedin.com/company/shieldme%E2%84%A2-global/,https://twitter.com/ShieldmeGlobal,https://www.youtube.com/channel/UCBE0j73EdhG4nbcNACasikQ
health-care,Ssent Herbal Clinic,,,,,"38 debi nabas road, Riyadh Area, Riyadh, Riyadh Province, Saudi Arabia",38 debi nabas road,Riyadh Province,Saudi Arabia,"Traditional healing by African traditional healer Chief Dembe who has traditional muti, traditional spells casting, traditional herbal remedies & divination to assist humanity resolve problems in their lives by getting in touch with the ancestral spirits SSENT Herbal and Therapy is the home of traditional medicine, spell casting, muti, herbs and herbal therapies that work to cure any disease, illness or solve any problem. Traditional healer to help you get back with a ex lover, traditional he...",,,https://arablocal.com/business/view/ssent-herbal-clinic,,,,,
health-care,Qasr Al Raed Medical Clinic King Fahd Riyadh,+966 112690606,,,,"Prince Naif Street, King Fahd Dist., Riyadh, King Fahd Dist., Riyadh, Riyadh Province, Saudi Arabia",Prince Naif Street,Riyadh Province,Saudi Arabia,Qasr Al Raed Medical Clinic King Fahd Riyadh,,,https://arablocal.com/business/view/qasr-al-raed-medical-clinic-king-fahd-riyadh,,,,,
accomodation,Eastern Factory For Ready Houses,+966 138112301,,,,"Abo Hadryha Road, Dammam, Abo Hadryha Road, Dammam, Eastern Province, Saudi Arabia",Abo Hadryha Road,Eastern Province,Saudi Arabia,Specialized in ready houses manufacturing and supplying for more than 28 years.,http://www.eastern-factory.com,,https://arablocal.com/business/view/eastern-factory-for-ready-houses,,,,,
accomodation,Al Baddad International Co.,+966 112153000,,,,"King Abdul Aziz Road, Riyadh, King Abdul Aziz Road, Riyadh, Riyadh Province, Saudi Arabia",King Abdul Aziz Road,Riyadh Province,Saudi Arabia,Al Baddad International Co.,,,https://arablocal.com/business/view/al-baddad-international-co,,,,,
accomodation,Ahmed M. Al Damegh Factory,+966 138114700,,,,"Dammam Highway, Dammam, Dammam Highway, Dammam, Eastern Province, Saudi Arabia",Dammam Highway,Eastern Province,Saudi Arabia,Ahmed M. Al Damegh Factory,,,https://arablocal.com/business/view/ahmed-m-al-damegh-factory,,,,,
accomodation,Boecker Public Health Co.,+966 112884466,,,,"King Abdul Aziz Road, Riyadh, King Abdul Aziz Road, Riyadh, Riyadh Province, Saudi Arabia",King Abdul Aziz Road,Riyadh Province,Saudi Arabia,"Boecker Public Health, the region’s largest Pest Management, Food Safety and Biosecurity services, provides World Class services for the most demanding commercial, food service and residential sectors. Founded in 1993, Boecker has been positioned as a renowned leader in the field of public health with a well founded expansion in the Middle East region operating in UAE, Lebanon, Saudi Arabia, Kuwait, Qatar and lately in Nigeria.",http://www.boecker.com,,https://arablocal.com/business/view/boecker-public-health-co,https://www.facebook.com/FollowBoecker/,https://www.instagram.com/followboecker/,https://www.linkedin.com/company/boecker-public-health,,https://www.youtube.com/user/boeckerpublichealth
accomodation,Al Azzam for Refrigerators and Caravans,+966 112957169,,,,"Prince Salman Industrial, Riyadh, Prince Salman Industrial, Riyadh, Riyadh Province, Saudi Arabia",Prince Salman Industrial,Riyadh Province,Saudi Arabia,Al Azzam for Refrigerators and Caravans,,,https://arablocal.com/business/view/al-azzam-for-refrigerators-and-caravans,,,,,
accomodation,Mura Bustan Compounds,+966 126910041,,,,"Ibn Alwan Street, Al Buoadi Dist., Jeddah, Al Buoadi Dist., Jeddah, Makkah Province, Saudi Arabia",Ibn Alwan Street,Makkah Province,Saudi Arabia,Mura Bustan Compounds,http://www.mura-bustan.com,,https://arablocal.com/business/view/mura-bustan-compounds,,,,,
accomodation,Al Dakheel Pre-Fabricated Houses And Steel Building,+966 114778560,,,,"New Industrial, Riyadh, New Industrial, Riyadh, Riyadh Province, Saudi Arabia",New Industrial,Riyadh Province,Saudi Arabia,Al Dakheel Pre-Fabricated Houses And Steel Building,,,https://arablocal.com/business/view/al-dakheel-pre-fabricated-houses-and-steel-building,,,,,
accomodation,Abdul Aziz Al Dakheel Factory For Portable Houses,+966 112412519,,,,"SHOBAH Dist., Riyadh, SHOBAH Dist., Riyadh, Riyadh Province, Saudi Arabia",SHOBAH Dist.,Riyadh Province,Saudi Arabia,Abdul Aziz Al Dakheel Factory For Portable Houses,,,https://arablocal.com/business/view/abdul-aziz-al-dakheel-factory-for-portable-houses,,,,,
accomodation,Saudi Prefab Company- Newfab,+966 114646186,,,,"Sulaimaniyah Dist., Riyadh, Sulaimaniyah Dist., Riyadh, Riyadh Province, Saudi Arabia",Sulaimaniyah Dist.,Riyadh Province,Saudi Arabia,Saudi Prefab Company- Newfab,,,https://arablocal.com/business/view/saudi-prefab-company-newfab,,,,,
accomodation,Al Bader Palace For Furnished Flats,+966 143981111,,,,"King Abdul Aziz Street Beside Baladya Signal, Yanbu Al Bahar, Yanbu, Yanbu Al Bahar, Yanbu, Madinah Province, Saudi Arabia",King Abdul Aziz Street Beside Baladya Signal,Madinah Province,Saudi Arabia,Al Bader Palace For Furnished Flats,,,https://arablocal.com/business/view/al-bader-palace-for-furnished-flats,,,,,
access-platform,Awal Equipment Hiring Company,+966 138084415,,,,"King Khalid Road, Al Madar Dist., Al Khobar, Al Madar Dist., Al Khobar, Eastern Province, Saudi Arabia",King Khalid Road,Eastern Province,Saudi Arabia,Awal Equipment Hiring Company,,,https://arablocal.com/business/view/awal-equipment-hiring-company,,,,,
access-platform,Al-Wahada Al-Khasa For Security Escorts Co.,+966 125472255,,,,"Mansour St., Makkah Al Mukarrmah, Mansour St., Mecca, Makkah Province, Saudi Arabia",Mansour St.,Makkah Province,Saudi Arabia,Al-Wahada Al-Khasa For Security Escorts Co.,,,https://arablocal.com/business/view/al-wahada-al-khasa-for-security-escorts-co,,,,,
accounting,Lavash Restaurant Riyadh,+966 920023506,+966 557338780,,,"8049 Prince Muhammad Bin Abdulaziz Rd, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",8049 Prince Muhammad Bin Abdulaziz Rd,Riyadh Province,Saudi Arabia,Lavash Restaurant is located in Saudi Arabia,,,https://arablocal.com/business/view/lavash-restaurant-riyadh,https://www.facebook.com/Lavash-213664069215336/?ref=page_internal,,,,
access-platform,Signit For Information Systems Technology,+966 115107420,,,hala@signit.sa,"8558 Al Thoumamah Rd, Ar Rabi, Alia Plaza - 3717, Riyadh 13316, Saudi Arabia, Al Thumamah Road, Riyadh, Riyadh Province, Saudi Arabia",8558 Al Thoumamah Rd,Riyadh Province,Saudi Arabia,"Signit is a Saudi technology company focused on building digital trust infrastructure for the Kingdom’s digital economy. Our Arabic-first, Saudi-born e-signature platform simplifies the process of signing and executing agreements for everyone. Our solution streamlines the process of signing contracts for your employees, partners, customers, supply chain vendors and everyone in between; making signing agreements easier and more secure for everyone in the ecosystem, not just those who sign it.",http://signit.sa/,,https://arablocal.com/business/view/-signit-for-information-systems-technology,https://facebook.com/signitapp,https://instagram.com/signitapp,https://www.linkedin.com/company/signit-app/,https://twitter.com/signitapp,https://www.youtube.com/channel/UCSo2OvqbapelcMLa52YTCRw
accounting,Global Al Motakamel Co. For Trading And Contracting Dammam,+966 580009444,,,sales@g-mtcc.com,"King Fahad Bin Abdul Aziz Road, Ohud Dist, Dammam, Ohud Dist, Dammam, Eastern Province, Saudi Arabia",King Fahad Bin Abdul Aziz Road,Eastern Province,Saudi Arabia,"Al Mutakamel Int’l Co. is one of expertise houses in software. It has been established in 2001, in this period of experience, we create, with confident steps, many of programming solutions in which we designed and produced it with many exclusive features such as the ability to layout and build reports easily, enabling draw-drop feature; which specialized for program windows, and using tree structure of the program. That, we believe distinction comes with hard-working and to prove that we are ...",http://www.gmtcc.co,,https://arablocal.com/business/view/global-al-motakamel-co-for-trading-and-contracting-dammam,https://www.facebook.com/gmtcco,https://www.instagram.com/gmtcco/,http://www.linkedin.com/company/global-al-motakamel-co,https://www.twitter.com/gmtcco,https://www.youtube.com/channel/UCALI5WPwpwiTBMjDXezIZEw
accounting,Al Walan Technology Riyadh,+966 114027008,,,,"Al Washam St., Riyadh, Al Washam St., Riyadh, Riyadh Province, Saudi Arabia",Al Washam St.,Riyadh Province,Saudi Arabia,Al Walan Technology Riyadh,,,https://arablocal.com/business/view/al-walan-technology-riyadh,,,,,
accounting,Al Ameen Program For Accounting,+966 533122443,+966 126530755,,,"Floor 4, Madina Road, Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Floor 4,Makkah Province,Saudi Arabia,Al-Ameen Accounting & Warehousing Systems Making the Accounting Work More Creative Accounting & Warehousing - Industrial Costs Assets - Orders HR - Pharmacies - Hospitals - Hotels Restaurants Flexibility to Work on Different Types of Networks The program works on databases of SQL 2000 - 2008 - 2012 And on all Versions of Windows with Four Interfaces (Arabic - English - Spanish - French) The Software is Provided with the help of Real-Time F1 Help,http://www.alameen-ksa.com,,https://arablocal.com/business/view/al-ameen-program-for-accounting,,,,,
accounting,Dr. Yahya Al Abdali Lawyer Group,+966 126060326,,,,"Tahliyah Dist., Jeddah, Tahliyah Dist., Jeddah, Makkah Province, Saudi Arabia",Tahliyah Dist.,Makkah Province,Saudi Arabia,Dr. Yahya Al Abdali Lawyer Group,,,https://arablocal.com/business/view/dr-yahya-al-abdali-lawyer-group,,,,,
accounting,Lawyer Mamdouh Daaja Lawyers Consultants,+966 114809444,,,,"Takhassusi St., Riyadh, Takhassusi St., Riyadh, Riyadh Province, Saudi Arabia",Takhassusi St.,Riyadh Province,Saudi Arabia,Lawyer Mamdouh Daaja Lawyers Consultants,,,https://arablocal.com/business/view/lawyer-mamdouh-daaja-lawyers-consultants,,,,,
accounting,Mohamed A. Milaat Office,+966 126605505,,,,"60 Street - Aljazeera Center, Jeddah North, Jeddah, Jeddah North, Jeddah, Makkah Province, Saudi Arabia",60 Street - Aljazeera Center,Makkah Province,Saudi Arabia,Mohamed A. Milaat Office,,,https://arablocal.com/business/view/mohamed-a-milaat-office,,,,,
accounting,Leading ERP Solution Provider In Saudi Arabia - Al Shamil E-Commerce ERP,+966 503107812,,,info@newera.com.sa,"Kingdom of Saudi Arabia P.O. Box 23216 Riyadh 11426, Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Kingdom of Saudi Arabia P.O. Box 23216 Riyadh 11426,Riyadh Province,Saudi Arabia,"Al Shamil e-Commerce ERP delivers a full solution that has the flexibility to meet the challenges of an ever-changing business environment. It allows your resources to work in the office, at home, or anywhere in an efficient and secure manner.Al Shamil e-Commerce ERP is made up of applications and tools that help all areas of your business share information more effectively. Al Shamil e-Commerce ERP integrates all facets of an enterprise into one comprehensive information system. All data is ...",http://newera.com.sa/,,https://arablocal.com/business/view/leading-erp-solution-provider-in-saudi-arabia--al-shamil-ecommerce-erp,https://www.facebook.com/NewEraTechnologyKSA,,https://www.linkedin.com/company/neweratechnologysa/,https://twitter.com/NewEraTechKSA,
accounting,Sudair Customer Services Office,+966 114431120,,,,"Hawtat Sudair, Riyadh Governorates, Hawtat Sudair, Riyadh, Riyadh Province, Saudi Arabia",Hawtat Sudair,Riyadh Province,Saudi Arabia,Sudair Customer Services Office,,,https://arablocal.com/business/view/sudair-customer-services-office,,,,,
accounting,Al Azum And Al Sederi Charterted Accountants - Headquarters,+966 112175000,,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Al Azum And Al Sederi Charterted Accountants - Headquarters,,,https://arablocal.com/business/view/al-azum-and-al-sederi-charterted-accountants-headquarters,,,,,
accessory,Bayader,+966 126439063,,,,"Al Balad Dist., Jeddah, Al Balad Dist., Jeddah, Makkah Province, Saudi Arabia",Al Balad Dist.,Makkah Province,Saudi Arabia,,,,https://arablocal.com/business/view/bayader,,,,,
accessory,Bata Riyadh,+966 14644823,,,,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"BATA is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,,https://arablocal.com/business/view/bata-riyadh,,,,,
accessory,Alharam Center,+966 12440484,,,,"Olaya, North, Olaya, North , Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Olaya,Riyadh Province,Saudi Arabia,"ALHARAM CENTER is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,,https://arablocal.com/business/view/alharam-center,,,,,
accessory,Alfaisal Est For Trading And Contracting,+966 6421287,,,,"P.O. Box: 16494 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 16494,Makkah Province,Saudi Arabia,"AL-FAISAL EST.FOR TRADING AND CONTR. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/alfaisal-est-for-trading-and-contracting,,,,,
accessory,Bajsair Technical Metal Works Factory,+966 26452069,,,,"Al Madinah Road Intersection Schools Street Front Of Al Faresy Jewelry, Al Baghdadiyah , P.O.Box: 17221, Postal Code: 21484 , Al Baghdadiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Al Madinah Road Intersection Schools Street Front Of Al Faresy Jewelry,Makkah Province,Saudi Arabia,"Bajsair Technical Metal Works Factory is located in Jeddah, Saudi Arabia. Company is working in Gifts, Accessories business activities.",,,https://arablocal.com/business/view/bajsair-technical-metal-works-factory,,,,,
accessory,Aynama,+966 12705460,,,,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"AYNAMA is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,,https://arablocal.com/business/view/aynama,,,,,
accessory,Ali Abdullah Alhamidi Est Trading Branch,+966 6471313,,,,"Jeddah, Makkah Province, Saudi Arabia",Jeddah,Makkah Province,Saudi Arabia,"ALI ABDULLAH AL-HAMIDI EST. (TRADING BRANCH) is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/ali-abdullah-alhamidi-est-trading-branch,,,,,
accessory,Ali Abdallah Alesayi Est,+966 6317751,,,,"P.O. Box: 162 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 162,Makkah Province,Saudi Arabia,"ALI ABDALLAH AL-ESAYI EST. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/ali-abdallah-alesayi-est,,,,,
accessory,Alkabli Co Ltd,+966 6686000,,,,"P.O. Box: 3311 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 3311,Makkah Province,Saudi Arabia,"AL-KABLI CO. LTD. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,,https://arablocal.com/business/view/alkabli-co-ltd,,,,,
