Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram
Tea Time Bin Omran,+974 44877041,,,Doha,,,Qatar,Tea Time Bin Omran,http://www.teatimeqatar.com,,3837,https://qatar.arablocal.com/business/view/tea-time-bin-omran,,
Noora Cafe,+974 70558376,,,Al Khor,,,Qatar,,https://www.instagram.com,,2860,https://qatar.arablocal.com/business/view/noora-cafe,,https://www.instagram.com
Batteel Bakery West Bay,+974 44931211,,info@batteel.com,DohaAl-Istikal Street-Westbay Petroleum Station,,,Qatar,Batteel Bakery West Bay,http://www.batteel.com/,,2718,https://qatar.arablocal.com/business/view/batteel-bakery-and-caf,https://www.facebook.com/BatteelBakery,https://www.instagram.com/batteelbakery/
Batteel Head Office,+974 44312313,+974 44314805,info@batteel.com,"Suite #7, 2nd floor, Souq Mirqab, Salwa Road Beside Qatar Medical Center, P.O.Box 7775",Suite #7,Salwa Road Beside Qatar Medical Center,Qatar,Batteel Head Office,http://www.batteel.com/,,2527,https://qatar.arablocal.com/business/view/batteel-caf-doha-branch3,https://www.facebook.com/BatteelBakery,https://www.instagram.com/batteelbakery/
Dahab Restaurant And Cafe,+974 33999732,,,"Al Sharq, Doha",Al Sharq,,Qatar,Dahab Restaurant And Cafe,http://www.dahab.qa,,2318,https://qatar.arablocal.com/business/view/dahab-restaurant-and-cafe,,https://www.instagram.com/dahabresturant/?hl=en
Nespresso The Pearl,+974 44885581,,info@bluesalon.com,"Porto Arabia, The Pearl",Porto Arabia,,Qatar,"The Nespresso story began with a simple idea: enable anyone to create the perfect cup of espresso coffee – just like a skilled barista. From its beginning in 1986, Nespresso has redefined and revolutionised the way millions of people enjoy their espresso coffee. It has shaped the global coffee culture. Every Nespresso capsule sold in the world is produced in one of our three state-of-the-art production centres in Switzerland.",http://www.abuissa.com,,2006,https://qatar.arablocal.com/business/view/nespresso-the-pearl,,
Pappa Roti,+974 44315246,,,"Villaggio Mall, Doha",Villaggio Mall,,Qatar,,http://www.papparoti.com.my,,1897,https://qatar.arablocal.com/business/view/pappa-roti,,
Tea Time Qatar sport club,+974 50744888,,,"Unnamed Road, Doha",Unnamed Road,,Qatar,Tea Time Qatar sport club,http://www.teatimeqatar.com,,1873,https://qatar.arablocal.com/business/view/tea-time-qatar-sport-club,,
Nespresso Blue Salon,+974 44466120,,info@bluesalon.com,Suhaim Bin Hamad Street,,,Qatar,"The Nespresso story began with a simple idea: enable anyone to create the perfect cup of espresso coffee – just like a skilled barista. From its beginning in 1986, Nespresso has redefined and revolutionised the way millions of people enjoy their espresso coffee. It has shaped the global coffee culture. Every Nespresso capsule sold in the world is produced in one of our three state-of-the-art production centres in Switzerland.",http://www.abuissa.com,,1848,https://qatar.arablocal.com/business/view/nespresso-blue-salon,,
Tea bake Juice Stall,+974 30052173,,,"Mehairja St, Doha",Mehairja St,,Qatar,Tea bake Juice Stall,http://www.business.site,,1741,https://qatar.arablocal.com/business/view/tea-bake-juice-stall,,
Tea Time Ooredoo Al Sadd,+974 50143622,,,Doha,,,Qatar,Tea Time Ooredoo Al Sadd,http://www.teatimeqatar.com,,1603,https://qatar.arablocal.com/business/view/tea-time-ooredoo-al-sadd,,
Batteel Cafe Al Khor,+974 44157890,,info@batteel.com,Al Khor - Main street,,,Qatar,Batteel Cafe Al Khor,http://batteel.com/,,1500,https://qatar.arablocal.com/business/view/batteel-caf-al-khor-branch2,https://www.facebook.com/BatteelBakery,https://www.instagram.com/batteelbakery/
Tea Time Abu Nakhlah,+974 50893344,,,"Unnamed Road, Ab? Nakh?lah",Unnamed Road,,Qatar,Tea Time Abu Nakhlah,http://www.teatimeqatar.com,,1429,https://qatar.arablocal.com/business/view/tea-time-abu-nakhlah,,
Tea Time Al khor branch 2,+974 44443235,,,Al Khor,,,Qatar,Tea Time Al khor branch 2,http://www.teatimeqatar.com,,1336,https://qatar.arablocal.com/business/view/tea-time-al-khor-branch-2,,
Crafter Cafe,+974 66105830,,,Al KHOR NEW TOWN ROAD,,,Qatar,Crafter Cafe,http://www.crafter.qa,,1326,https://qatar.arablocal.com/business/view/crafter-cafe,,
