Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Twitter
Schenker Logistics WLL,+974 44995755,,,"Transworld Tower 2, Al Aaliya St, Doha, Qatar P.O.Box 21819",Transworld Tower 2,Doha,Qatar,Schenker Logistics WLL,http://www.dbschenker.com,0,2164,https://qatar.arablocal.com/business/view/schenker-logistics-wll,
Al Sheikh Logistics and Heavy Equipment Rental Al Sheikh Transport and Cargo Svcs Wll,+974 919886644980,+974 40376076,,"C Ring Rd / St 48, St 52 Indl Area / C-27, 1St Flr Banaswadi Main Rd Kalyan Nagar, Bangalore P.O.Box 12715",C Ring Rd / St 48,1St Flr Banaswadi Main Rd Kalyan Nagar,Qatar,"The Firm of Al Sheikh Transport was founded in 2002 and ranks amongst the leading transport provider in Doha-Qatar. Since inception, the core business has been Logistics and Heavy Equipment Rental (ASLR) services.The Management of the group has always been under the personal care of its all its Directors, who enjoy an excellent rapport with the business community and Service Provider Industry as well as local authorities.",http://www.alsheikhlogistics.com ^ www.alsheikhtransport.com ^ www.dslineshipping.com,,2111,https://qatar.arablocal.com/business/view/al-sheikh-logistics-and-heavy-equipment-rental-al-sheikh-transport-and-cargo-svcs-wll,
Aramex,+974 44200100,+974 44200111,,"Al Ali Bldg, Next To Q I C Bldg, Wholesale Market St P.O.Box 23151",Al Ali Bldg,Next To Q I C Bldg,Qatar,,http://www.aramex.com,,2021,https://qatar.arablocal.com/business/view/aramex,http://www.aramex.com
Kgl Cargo Qatar Wll,+974 44550585,+974 44554707,infoqatar@kgllogistics.com,"P.O.Box 22419, Doha - Qatar",P.O.Box 22419,,Qatar,Kgl Cargo Qatar Wll,http://www.kgllogistics.com,0,1953,https://qatar.arablocal.com/business/view/kgl-cargo-qatar-wll,
Affinity Logistics Co Wll,+974 44677884,+974 44569911,,"Al Hail Bldg, Airport Rd P.O.Box 23608",Al Hail Bldg,,Qatar,Affinity Logistics Co Wll,http://www.affinitylog.com,,1886,https://qatar.arablocal.com/business/view/affinity-logistics-co-wll,
Blooming Heights Llc,+974 44652086,,,"2Nd Flr, Al Ahli Bank, Nr Landmark Mall P.O.Box 23825",2Nd Flr,Al Ahli Bank,Qatar,"Blooming Heights L.L.C (BHL) is a trading, contracting and transport company that has been in Qatar since 2009. Blooming Heights is sister company to Redco Construct Pakistan Pvt. Ltd., which has been in the construction and trading business in Pakistan for over 25 years.",http://www.bhl.qa,,1950,https://qatar.arablocal.com/business/view/blooming-heights-llc,
Ecu Line Doha Wll Ecu Worldwide,+974 44438464,+974 44436765,,"Office 7-A/1, 7Th Flr, Almana Tower, Airport Rd P.O.Box 24064",Office 7-A/1,Almana Tower,Qatar,Ecu Line Doha Wll Ecu Worldwide,http://www.eculine.net ^ www.ecuworldwide.com,,1871,https://qatar.arablocal.com/business/view/ecu-line-doha-wll-ecu-worldwide,
Gulf Worldwide Express Skynet,+974 97142826555,+974 50343041,,"P.O. Box: 31135, B Ring Rd",P.O. Box: 31135,,Qatar,Gulf Worldwide Express Skynet,http://www.skynetworldwide.net,0,1785,https://qatar.arablocal.com/business/view/gulf-worldwide-express-skynet,
Arabia House IntL Trprt Est,+974 55530299,+974 44500359,,"2Nd Flr, Al Jazeera Exchange, St 29, Al Kassarat St, Ind Area P.O.Box 23991",2Nd Flr,Al Kassarat St,Qatar,Arabia House IntL Trprt Est,http://www.arabiahousetransport.com,,1704,https://qatar.arablocal.com/business/view/arabia-house-intl-trprt-est,
Draieh Logistic Services Co Wll,+974 44447387,+974 44447513,,"Al Sadd Mosque, Ibn Umayah St, Doha, Qatar P.O.Box 5113",Al Sadd Mosque,Doha,Qatar,Draieh Logistic Services Co Wll,http://www.damacgroup.com,,1628,https://qatar.arablocal.com/business/view/draieh-logistic-services-co-wll,
