Name,Phone_1,Phone_2,Location,Area,Governorate,Country,About,Website,Rating,Views,URL
Al Sadd Consulting Engineering Co,+974 44655586,,Salwa Commercial Complex P.O.Box 39032,,,Qatar,"In its activities ALSADD CONSULTING includes all types of Architectural and Engineering consultancy services. As a Grade(A) consultancy firm, it is capable of taking the responsibility of designing and supervising all types of buildings and projects.",http://www.alsaddconsult.com,,3221,https://qatar.arablocal.com/business/view/al-sadd-consulting-engineering-co
Al Watan Aluminium and Glass,+974 33417633,,"Road no. 17 Gate No.115 -117 Industrial Area, Doha-Qatar P.O.Box 00000",Road no. 17 Gate No.115 -117 Industrial Area,,Qatar,"• All types of aluminum & glass work; doors, windows, claddings, hand rails, grill,Tempered Glass, Laminated Glass, Insulated Glass, Processed Glass, Mirrors.• All types of stainless-steel works; doors, windows, claddings, hand rails, grills,architectural metal works, decorative articles etc.• Doubling of glass, toughened glass, frameless doors, glass partitions, etc. buildings, residential buildings, villas, schools, hospitals etc.",http://www.alwatanglass.com,,3216,https://qatar.arablocal.com/business/view/al-watan-aluminium-and-glass
Al Jattal Industry Co,+974 44321954,,"Small & Medium Industry - Building No.?39, Street M, No.?21, Zone No.?81 POBox 10141, Doha",Small & Medium Industry - Building No.?39,Zone No.?81 POBox 10141,Qatar,Al Jattal Industry Co,http://www.aljattal.qa,,3195,https://qatar.arablocal.com/business/view/al-jattal-industry-co
Advanced Plastic Factory,+974 44114632,+974 40298225,Ar-Rayyan,,,Qatar,"We are pleased to extend our service in Qatar construction market with our new production facility Advanced Plastic Factory W.L.L. The new unit is established to cover the market needs from the pipes U P.V.C, P.P.R, M.D.P.E and H.D.P.E pipes that have good quality.",http://www.advanced-pipe.com,,3151,https://qatar.arablocal.com/business/view/advanced-plastic-factory
Al Sahoo Trading Co Wll,+974 44696226,+974 44696446,"Alymana Centre, Salwa Rd P.O.Box 23446",Alymana Centre,,Qatar,Al Sahoo Trading Co Wll,http://www.alsahoo.com,,3060,https://qatar.arablocal.com/business/view/al-sahoo-trading-co-wll
Al Amal Store For Key Repairing,+974 55853022,,"842, zone.no 25 Ziyad Bin Eyad St, Doha, Qatar",842,Doha,Qatar,Al Amal Store For Key Repairing,http://www.business.site,,2765,https://qatar.arablocal.com/business/view/al-amal-store-for-key-repairing
Al Bayader International,+974 44114356,,"Unnamed Road, Ar-Rayyan",Unnamed Road,,Qatar,Al Bayader International,http://www.albayader.com,0,2719,https://qatar.arablocal.com/business/view/al-bayader-international
Al Hussaini Aluminium,+974 33349995,+974 44350589,"Shop 32, Souq Al Haraj ( Showroom ) / Sailiya ( Workshop ) P.O.Box 14316",Shop 32,,Qatar,Al Hussaini Aluminium,http://www.ahaqatar.com,,2679,https://qatar.arablocal.com/business/view/al-hussaini-aluminium
Ghd Global Pty Ltd,+974 44289444,,"City Plaza, Al Sadd St P.O.Box 14352",City Plaza,,Qatar,Ghd Global Pty Ltd,https://www.ghd.com,,2654,https://qatar.arablocal.com/business/view/ghd-global-pty-ltd
Dar Al Handasah Consultants,+974 44389389,,"8Th Flr, Burj Al Qassar, West Bay P.O.Box 40358",8Th Flr,Burj Al Qassar,Qatar,Dar Al Handasah Consultants,http://www.dargroup.com,,2643,https://qatar.arablocal.com/business/view/dar-al-handasah-consultants
Al Rayyan Plastic Factory,+974 44160777,,Street 21 New,,,Qatar,Al Rayyan Plastic Factory,http://www.alrayyanplastics.com,,2356,https://qatar.arablocal.com/business/view/al-rayyan-plastic-factory
Alamodi group for trading and contracting building materials,+974 44426456,,"25 Fareeq Bin Dirham, Building - 12,Al Manso ura",25 Fareeq Bin Dirham,Building - 12,Qatar,Alamodi group for trading and contracting building materials,http://www.alamodigroup.qa,,2326,https://qatar.arablocal.com/business/view/alamodi-group-for-trading-and-contracting-building-materials
Arabian Engineers Consultants,+974 44477932,+974 44478539,"1St Flr, Bldg 2, Opp Airport New Arrival Terminal, Al Hitmi Village P.O.Box 7151",1St Flr,Opp Airport New Arrival Terminal,Qatar,"Founded in 1979, AEC is a consulting company providing design and supervision services (pre construction, during construction & post construction) primarily in building and roads.Comprising of multiple departments; multi discipline team along with the acquired services of numerous professionals; a modern and fully equipped office set up; AEC has executed numerous prestigious projects over the past 33 years.",http://www.aecdoha.com,,2260,https://qatar.arablocal.com/business/view/arabian-engineers-consultants
ALAMODI STORE,+974 44324943,,"Clock Round About,Down Town",Clock Round About,,Qatar,ALAMODI STORE,http://www.alamodigroup.qa,,2247,https://qatar.arablocal.com/business/view/alamodi-store
Blue House Companies Group,+974 44686453,,"Salwa Rd, Doha, Qatar",Salwa Rd,Doha,Qatar,Blue House Companies Group,http://www.bluehouseautomaticdoors.com,,2203,https://qatar.arablocal.com/business/view/blue-house-companies-group
Bab Ishtar Group,+974 44580618,+974 44580630,"Ain Khaled R / A, Salwa Rd P.O.Box 20633",Ain Khaled R / A,,Qatar,Bab Ishtar Group,http://www.babishtargroup.com.qa,,2111,https://qatar.arablocal.com/business/view/bab-ishtar-group
Al Dana Aluminum Products Qatar,+974 30009513,,Ar-Rayyan,,,Qatar,Al Dana Aluminum Products Qatar,http://www.aldana.qa,,2049,https://qatar.arablocal.com/business/view/al-dana-aluminum-products-qatar
Almuftah Carpentry Al Muftah Group,+974 44181859,,"St 24, Zone 81, New Indl Area P.O.Box 875",St 24,Zone 81,Qatar,Almuftah Carpentry Al Muftah Group,http://www.almuftah.com,,2050,https://qatar.arablocal.com/business/view/almuftah-carpentry-al-muftah-group
