Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/qatar-arab-contractors
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-wefaq-engg-and-contg-co-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/nador-maintenance
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/afridi-trading-and-contg-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/eid-bin-mohd-al-thani-and-sons-co
J And P Labor Camp,,,,Ar-Rayyan,,,Qatar,J And P Labor Camp,,,1681,https://qatar.arablocal.com/business/view/j-and-p-labor-camp
LENO TRADING and CONTRACTING COMPANY W L L,+974 44416934,,,"Yafa St, Doha , Qatar",Yafa St,Doha,Qatar,LENO TRADING and CONTRACTING COMPANY W L L,,0,1669,https://qatar.arablocal.com/business/view/leno-trading-and-contracting-company-w-l-l
Exblowra Trdg and Contg Svcs Co,+974 44350154,+974 44418945,,"Ibn Mahmoud St, Doha, Qatar P.O.Box 12147",Ibn Mahmoud St,Doha,Qatar,Exblowra Trdg and Contg Svcs Co,,,1658,https://qatar.arablocal.com/business/view/exblowra-trdg-and-contg-svcs-co
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/techso-engineering-wll
Qatar Building Company QBC Concrete Plant I,,,,Ar-Rayyan,,,Qatar,Qatar Building Company QBC Concrete Plant I,,,1528,https://qatar.arablocal.com/business/view/qatar-building-company-qbc-concrete-plant-i
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/jones-engineering-group-llc
Seagull Trad and Cont Co Wll,+974 44313173,+974 44601892,,"Al attiya Market St. 23, Gate 81, Industrial Area, P.O.Box 40528, Doha, Qatar",Al attiya Market St. 23,Doha,Qatar,Seagull Trad and Cont Co Wll,,,1454,https://qatar.arablocal.com/business/view/seagull-trad-and-cont-co-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/younis-contracting-and-trading-est
TechnoFayha Co W L L,+974 40068727,,,Area 56 Street 56/ Building 128/ Unit 4 Block 7? Doha - Industrial Area,,,Qatar,TechnoFayha Co W L L,,,1432,https://qatar.arablocal.com/business/view/technofayha-co-w-l-l
Imar Trading and Contracting Company Wll,+974 44131770,,,"Bldg 125, Al Amir St No. 251, Zone No. 55 P.O.Box 22403",Bldg 125,Al Amir St No. 251,Qatar,"IMAR was founded in 1995, promptly establishing its reputation for excellence in the construction industry, specializing in architectural interior fit out before expanding to Qatar in year 2000.IMAR prides itself on an exceptional record of successfully completed projects. It has built its reputation on bringing jobs in on time and within budget. IMAR’s project delivery system is designed to provide quality and timeliness at competitive prices. This emphasis on quality and attention to detail...",http://www.groupimar.com,,5294,https://qatar.arablocal.com/business/view/imar-trading-and-contracting-company-wll
Blue Star Qatar Wll Al- Rayyan,+974 44582271,+974 44883438,contact@bluestarqatar.com,Al Rayyan P.O.Box 47242,,,Qatar,Blue Star Qatar Wll,http://bluestarqatar.com/,,3427,https://qatar.arablocal.com/business/view/blue-star-qatar-wll
Al Rayyan Swimming Pools Wll,+974 44663332,+974 44663331,,"Office 308, D Ring Rd P.O.Box 3366",Office 308,,Qatar,Al Rayyan Swimming Pools Wll,http://www.alrayyanpools.com,,3091,https://qatar.arablocal.com/business/view/al-rayyan-swimming-pools-wll
Alghanim International Qatar,+974 44374256,,,"Al Reem Tower, Buroog Tower, Al Meena St, Doha",Al Reem Tower,Al Meena St,Qatar,Alghanim International Qatar,http://www.falghanim.com,,2985,https://qatar.arablocal.com/business/view/alghanim-international-qatar
Al Khaleej Building Co Wll,+974 44340114,+974 44657855,,"Office 12, 1St Flr, Salwa Commercial Bldg,Nr Midmac R / A, Salwa Rd P.O.Box 5511",Office 12,Nr Midmac R / A,Qatar,Al Khaleej Building Co Wll,http://www.alkhaleejbuildings.com,,2460,https://qatar.arablocal.com/business/view/al-khaleej-building-co-wll
Al Baida Technical Svcs,+974 44128899,,,Al Noor Street Hazm Al Markhiya Doha Qatar PO Box 37772,,,Qatar,Al Baida Technical Svcs,http://www.albaidagroup.com,,2435,https://qatar.arablocal.com/business/view/al-baida-technical-svcs
Astaldi Arabia Ltd,+974 44554703,+974 44672983,,"Al Mana Business Tower, C Ring Rd P.O.Box 23105",Al Mana Business Tower,,Qatar,Astaldi Arabia Ltd,http://www.astaldi.com,,2320,https://qatar.arablocal.com/business/view/astaldi-arabia-ltd
Draieh Contracting Llc Draieh Logistic Services Co Wll,+974 44425284,+974 44361127,,"Al Sadd Mosque, Ibn Umayah St, Doha, Qatar P.O.Box 5113",Al Sadd Mosque,Doha,Qatar,Draieh Contracting Llc Draieh Logistic Services Co Wll,http://www.damacgroup.com,,2037,https://qatar.arablocal.com/business/view/draieh-contracting-llc-draieh-logistic-services-co-wll
Mesopotamia For General Contracting Llc,+974 44413475,,,"P.O. Box: 37232, C Ring Rd",P.O. Box: 37232,,Qatar,Mesopotamia For General Contracting Llc,http://www.mgc.qa,0,2015,https://qatar.arablocal.com/business/view/mesopotamia-for-general-contracting-llc
Al Qayed Trading and Contg Al Qayed Holding Group,+974 44072266,,,"P.O. Box: 158, D Ring Rd",P.O. Box: 158,,Qatar,Al Qayed Trading and Contg Al Qayed Holding Group,http://www.qayedco.com,0,1949,https://qatar.arablocal.com/business/view/al-qayed-trading-and-contg-al-qayed-holding-group
Al Khayarin Group Trdg and Contg Wll,+974 44651179,+974 44775671,,"Nr Al Jazeera Arabia R / A, Bin Omran P.O.Box 37461",Nr Al Jazeera Arabia R / A,,Qatar,Al Khayarin Group Trdg and Contg Wll,http://www.alkhayaringroup.com,,1941,https://qatar.arablocal.com/business/view/al-khayarin-group-trdg-and-contg-wll
Crompton IntL Trdg and Contg Co Wll,+974 44681414,+974 55517324,,"Office 405 & 406, 4Th Flr, N B K - Musherib Bldg, Nr Doha Petrol Station, Musherib P.O.Box 37491",Office 405 & 406,Nr Doha Petrol Station,Qatar,Crompton IntL Trdg and Contg Co Wll,http://www.cromptonqatar.com,,1849,https://qatar.arablocal.com/business/view/crompton-intl-trdg-and-contg-co-wll
Ali Saz International,+974 44506914,+974 44506913,,Salwa Rd P.O.Box 22903,,,Qatar,Ali Saz International,http://www.alisaz.com,,1835,https://qatar.arablocal.com/business/view/ali-saz-international
Al Anis Trading Co Wll,+974 55547863,+974 44517575,,Street 555/38 Gate no 15 Zone no 57? DOHA P.O.BOX 2806? Qatar,,,Qatar,"Al Anis Trading Company is a well known name in Qatar over 29 years in construction industry, specialized in hire of construction equipment and trading of certain brands of equipment and spares.Al Anis currently owns over 500 heavy construction machineries such as Cranes up to 600 Ton, Excavators, Tipper ,Trailers, Dump Trucks, Low beds, Loaders, Dozers, Crushers, Rollers, Generators, Telehandlers, ForkLifts, Manlifts, etc.",http://www.alanistrading.com,,1779,https://qatar.arablocal.com/business/view/al-anis-trading-co-wll
Silver Falcon Contg and Trdg Co Wll,+974 44449970,+974 44449973,,"First Floor, Barwa Commercial Avenue, East Industrial Street, Safwa Building Street 24, Doha P.O.Box 37057",First Floor,Safwa Building Street 24,Qatar,Silver Falcon Contg and Trdg Co Wll,http://www.silver-falcon.com,,2363,https://qatar.arablocal.com/business/view/silver-falcon-contg-and-trdg-co-wll
Power Systems and Information Technology PSTech,+974 40052828,,,"Doha, Qatar",Doha,,Qatar,Power Systems and Information Technology PSTech,http://www.emfigroup.com,0,1762,https://qatar.arablocal.com/business/view/power-systems-and-information-technology-pstech
Al Farhana Crane and Forklift Hire,+974 44419047,+974 44865164,,"2Nd Flr, Vodafone Bldg, Fathmiya Complex, Al Attiya Market, St 23, Ind Area P.O.Box 1868",2Nd Flr,St 23,Qatar,Al Farhana Crane and Forklift Hire,http://www.alfarhanest.net,,1689,https://qatar.arablocal.com/business/view/al-farhana-crane-and-forklift-hire
Al Khaleej Modern Lights Wll,+974 44413776,+974 44373604,alkhaleejmathew@hotmail.com,"P.O. Box: 10299, 1St Flr, Qpost Kgh Bldg, C Ring Rd",P.O. Box: 10299,Qpost Kgh Bldg,Qatar,Al Khaleej Modern Lights Wll,http://www.alkhaleejmodernlight.com,0,1656,https://qatar.arablocal.com/business/view/al-khaleej-modern-lights-wll
Sun Tech Trading Co Wll,+974 44434601,+974 77714482,,Najma P.O.Box 33115 DOHA,,,Qatar,Sun Tech Trading Co Wll,http://www.suntechqatar.com,0,1650,https://qatar.arablocal.com/business/view/sun-tech-trading-co-wll
Al Sabbah Trdg and Contg Co Wll,+974 44417547,+974 44355321,,"Nr Al Shaheen, Al Muntazah P.O.Box 17717",Nr Al Shaheen,,Qatar,Al Sabbah Trdg and Contg Co Wll,http://www.alsabbahqatar.com,,1588,https://qatar.arablocal.com/business/view/al-sabbah-trdg-and-contg-co-wll
Archirodon Construction Overseas Co S A,+974 44102111,,,"1St Flr, Al Seif Bldg No 263, C Ring Rd P.O.Box 22256",1St Flr,Al Seif Bldg No 263,Qatar,Archirodon Construction Overseas Co S A,http://www.archirodon.net,,1542,https://qatar.arablocal.com/business/view/archirodon-construction-overseas-co-s-a
The Maintainers,+974 8008050,+974 44040800,,Salwa Rd P.O.Box 201325,,,Qatar,The Maintainers,http://www.the-maintainers.com,,1541,https://qatar.arablocal.com/business/view/the-maintainers
Bojamhoor Trading and Contracting Wll,+974 44880465,+974 44880468,,"Al Jazera, Al Arabiya St., Bin Omran, Bojamhoor Bldg No. 22 P.O.Box 24159",Al Jazera,Bin Omran,Qatar,Bojamhoor Trading & Contracting Company W.L.L. was founded in 1978 to play a pioneering role in the development of the State of Qatar and has since grown to become one of the leading construction contracting companies in the country.,http://www.bojamhoor.com,,1447,https://qatar.arablocal.com/business/view/bojamhoor-trading-and-contracting-wll
Al Hateem Trading and Contracting W L L,+974 44350015,,,"Room # 25, 2nd floor, MISR Insurance Building Opp. Al Emadi Business Centre, C Ring Rd, Doha",Room # 25,C Ring Rd,Qatar,Al Hateem Trading and Contracting W L L,http://www.alhateem.qa,,1440,https://qatar.arablocal.com/business/view/al-hateem-trading-and-contracting-w-l-l
