Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
health-care,Ahmed Khalil Al Baker Medical Supplies LLC,+971 42852621,+971 502024100,,,Box No. 1169,Dubai Others,Dubai,UAE,,http://www.al-baker.com,,3079,,https://uae.arablocal.com/business/view/ahmed-khalil-al-baker-medical-supplies-llc,,,,,
health-care,Magrabi Optical Marina Mall Abu Dhabi,+971 26816961,,,customercare@magrabi.com,"Marina Mall, Shop GN 7, Ground Floor - Marina Mall Ring Rd - Abu Dhabi - United Arab Emirates",Dubai marina,Dubai,UAE,"MAGRABi – where eye care is both a science and an artFor over 90 years we’ve been leading innovations in eyewear while constantly challenging boundaries. From the opening of our first store in 1927 we’ve made the marriage of avant-garde style and state-of-the-art eye care our purpose in life.With more than 150 stores across 5 countries, and with 20 pioneering MAGRABi hospitals focused on vision and eye health research, we’re the Middle East’s leading fashion eyewear and medical eye care speci...",http://magrabi.com/,,2932,,https://uae.arablocal.com/business/view/magrabi-optical-marina-mall-abu-dhabi,https://www.facebook.com/MAGRABiOptical/,https://www.instagram.com/magrabi/?hl=en,,https://twitter.com/MagrabiOpt,https://www.youtube.com/channel/UCR7irrK1degRm8kzggsygmA
health-care,Al Ain Pharmacy Al Yahar Branch,+971 567191886,+971 37669884,,info@alain-pharmacy.com,Aliah Mall - Al Yahar South - Abu Dhabi - United Arab Emirates,Al Yahar,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,,2847,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-al-yahar-branch,,,,,
health-care,Grand Arabian Home Pharmacy,+971 65748588,,,,"Ground Floor, Crystal Plaza, Buheira Corniche Road, Al Majaz 1,",Al Majaz District,Sharjah,UAE,Grand Arabian Home Pharmacy,,,2751,,https://uae.arablocal.com/business/view/grand-arabian-home-pharmacy,,,,,
health-care,Aster Pharmacy 137,+971 44224515,,,info@asterpharmacy.com,Pavillion Mall - International CityFrance Cluster - Dubai - United Arab Emirates,France Cluster,Dubai,UAE,"Starting the journey with just one pharmacy in 1987, Aster Pharmacy, a division of Aster DM Healthcare has evolved over the years & established itself as a responsible healthcare provider. Recognized today as the region’s leading pharmacy retail chain, Aster Pharmacy started with a focus on “delivering good health and happiness” through friendly neighborhood pharmacies which were customer centric and easily accessible.Over the Years, the network has expanded leaps & bounds, reaching up to a s...",http://asterpharmacy.com/pharmacy-network/,,3107,800700600,https://uae.arablocal.com/business/view/aster-pharmacy-137,https://www.facebook.com/AsterPharmacy,,https://www.linkedin.com/company/3880711,https://twitter.com/Aster_Pharmacy,https://www.youtube.com/channel/UCWTiiPzPymfbo11-dt2OGSQ
health-care,Supercare Pharmacy Waitrose motorcity,+971 44566383,,,info.me@supercare.ae,"D61 Green Community Waitrose,Dubai, Dubai",Dubai Others,Dubai,UAE,"We always believe in putting family first, especially their health and wellness. We know you do too. Which is why, Supercare will be the perfect health destination for you and your loved ones. We are one of the leading pharmacy-steered healthcare & lifestyle retailer brand with a pan UAE presence with over 40 years of experience. Today, we have grown to become a world-class pharmacy representing international Nutrition, Pharma, Fitness, Skin Care and Lifestyle brands. With a rapidly growing c...",http://www.super-care.ae/,,2921,43504500,https://uae.arablocal.com/business/view/supercare-pharmacy-waitrose-motorcity,https://www.facebook.com/supercarepharmacyUAE/,https://www.instagram.com/supercarepharmacy/,,,https://www.youtube.com/channel/UCrr3E5mVN2-0E0Z81NAig9Q
health-care,Al Ain Pharmacy Al Bateen Branch,+971 505226375,+971 37669770,,info@alain-pharmacy.com,Beside Souq Extra - Abu Dhabi - United Arab Emirates,Abu Dhabi Others,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,,2710,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-al-bateen-branch,,,,,
health-care,VIVA Pharmacy Nad Shamma Pharmacy LLC,+971 42514107,,,NadShamma@VivaPharmacy.com,Al Rashidiya - Dubai - United Arab Emirates,Al Rashidiya,Dubai,UAE,"Viva Pharmacy is your online gateway for medicines and other healthcare products with assurance of the best quality and the best price. We aim at simplifying the medical needs of people and connect them to genuine products in a hassle-free manner. That is why, our store welcomes walk-in buyers as well as order and pick-up or online ordering and doorstep delivery of medicines.Over the years, we have tapped across the top industry players and procure medicines only from the trusted brands so th...",http://www.vivapharmacy.com/,,2667,,https://uae.arablocal.com/business/view/viva-pharmacy-nad-shamma-pharmacy-llc,,,,,
health-care,LIFE Pharmacy Corporate Office,+971 45610000,,,care@lifepharmacy.com,Marasi Dr - Business BayBay Square - Dubai - United Arab Emirates,Business Bay,Dubai,UAE,"We commenced our journey as a retail pharmacy group in 1996 with a strong vision to grow over the last twenty years. Starting with just a single store, life pharmacy has grown to operate over 200 retail outlets throughout the UAE consisting of Pharmacies, Healthcare Hypermarkets, Health and Wellness stores catering to an average annual customer base of more than ten million walk-ins!Evolving to more than just retail outlets, we are proud to announce the launch of our official online portal Li...",http://www.lifepharmacy.com/,,2654,,https://uae.arablocal.com/business/view/life-pharmacy-corporate-office,https://www.facebook.com/lifepharmacyme,https://www.instagram.com/lifepharmacyme/,https://www.linkedin.com/company/life-pharmacy,https://twitter.com/lifepharmacyme,
health-care,Ibn Hayan Pharmacy Sharjah,+971 65747288,,,,"Ground Floor, Al Nud,",Al Qassamia,Sharjah,UAE,Ibn Hayan Pharmacy Sharjah,,,2654,,https://uae.arablocal.com/business/view/ibn-hayan-pharmacy-sharjah,,,,,
health-care,Yateem Optician Khalifa Street,+971 26277022,,,yateemdubai@yateemgroup.ae,319 3rd St - Zone 1E5 - Abu Dhabi,Zone 1,Abu Dhabi,UAE,"The Yateem legacy began as one of the first optical shops and pharmacy in Bahrain in the year 1910.Late Mr. Ahmed Ali Yateem, was a pioneer in the Middle East region and he saw the need for having a home-grown optical presence to serve the needs of the community.Following his footsteps, the late Mr. Abdulla Ali Yateem formed the foundation for spreading the yateem group through strategic expansions in the region.In 1971 Mr. Naser Abdulla Yateem who had joined the business, ventured out to tap...",http://yateemgroup.com/,,2495,,https://uae.arablocal.com/business/view/yateem-optician-khalifa-street,https://www.facebook.com/yateemoptician/,https://www.instagram.com/yateemoptician_uae/,http://www.linkedin.com/company/yateem-opticians,,https://www.youtube.com/user/YateemOpticians
health-care,City Medical Centre Ajman,+971 67441882,,,,Ajman,Al Bustan,Ajman,UAE,City Medical Centre Ajman,,,2947,,https://uae.arablocal.com/business/view/city-medical-centre-ajman,,,,,
health-care,Yateem Optician Abu Dhabi Mall,+971 26451566,,,yateemdubai@yateemgroup.ae,Street 2 - Al Zahiyah - Abu Dhabi,Al Zahiyah,Abu Dhabi,UAE,"The Yateem legacy began as one of the first optical shops and pharmacy in Bahrain in the year 1910.Late Mr. Ahmed Ali Yateem, was a pioneer in the Middle East region and he saw the need for having a home-grown optical presence to serve the needs of the community.Following his footsteps, the late Mr. Abdulla Ali Yateem formed the foundation for spreading the yateem group through strategic expansions in the region.In 1971 Mr. Naser Abdulla Yateem who had joined the business, ventured out to tap...",http://yateemgroup.com/,,2568,,https://uae.arablocal.com/business/view/yateem-optician-abu-dhabi-mall,https://www.facebook.com/yateemoptician/,https://www.instagram.com/yateemoptician_uae/,http://www.linkedin.com/company/yateem-opticians,,https://www.youtube.com/user/YateemOpticians
health-care,Aster Pharmacy Abu Dhabi Branch 5,+971 24489240,,,info@asterpharmacy.com,"Building No. 37 Zayed The First St, Electra - Abu Dhabi - United Arab Emirates",Abu Dhabi Others,Abu Dhabi,UAE,"Starting the journey with just one pharmacy in 1987, Aster Pharmacy, a division of Aster DM Healthcare has evolved over the years & established itself as a responsible healthcare provider. Recognized today as the region’s leading pharmacy retail chain, Aster Pharmacy started with a focus on “delivering good health and happiness” through friendly neighborhood pharmacies which were customer centric and easily accessible.Over the Years, the network has expanded leaps & bounds, reaching up to a s...",http://asterpharmacy.com/pharmacy-network/,,2519,800700600,https://uae.arablocal.com/business/view/aster-pharmacy-abu-dhabi-branch-5,https://www.facebook.com/AsterPharmacy,,https://www.linkedin.com/company/3880715,https://twitter.com/Aster_Pharmacy,https://www.youtube.com/channel/UCWTiiPzPymfbo11-dt2OGSQ
health-care,Al Neem Medicine and Medical Equip Store LLC,+971 65525598,,,info@alneem.com,Ind # 18 Behind Tasjil Maliha Road Sharjah,Maliha Road,Sharjah,UAE,"We take pride in our dedication to the idea that quality care means more than simply the prompt filling of prescriptions. To us, quality care means you get the prescriptions and medications you need, along with the personal care and attention you deserve. When you come to Alneem pharmacy, you'll be able to count on dependable care from a knowledgeable pharmacist with 38 years of experience - one who takes the time to get to know you and your unique health needs. Our staff is caring, knowledge...",http://www.alneem.com/,,2552,,https://uae.arablocal.com/business/view/al-neem-medicine-and-medical-equip-store-llc,https://www.facebook.com/Al-Neem-Group-103002944675548,,,,
health-care,Magrabi Optical Al Ain Mall,+971 37646171,,,customercare@magrabi.com,"Al Ain Mall, Shop G39, Ground Floor - Othman Bin Affan St - Abu Dhabi - United Arab Emirates",Al Ain Others,Abu Dhabi,UAE,"MAGRABi – where eye care is both a science and an artFor over 90 years we’ve been leading innovations in eyewear while constantly challenging boundaries. From the opening of our first store in 1927 we’ve made the marriage of avant-garde style and state-of-the-art eye care our purpose in life.With more than 150 stores across 5 countries, and with 20 pioneering MAGRABi hospitals focused on vision and eye health research, we’re the Middle East’s leading fashion eyewear and medical eye care speci...",http://magrabi.com/,,2347,,https://uae.arablocal.com/business/view/magrabi-optical-al-ain-mall,https://www.facebook.com/MAGRABiOptical/,https://www.instagram.com/magrabi/?hl=en,,https://twitter.com/MagrabiOpt,https://www.youtube.com/channel/UCR7irrK1degRm8kzggsygmA
health-care,Adam And Eve Specialized Medical Centre,+971 26767366,+971 521555300,,,"Near Royal Rose Hotel, Pink Building (501) Floor 01, Electra Street",Electra Street,Abu Dhabi,UAE,"AESMC - one of the specialized medical Centre in Abu Dhabi aim to be a centre of excellence handling all medical specialties and delivering comprehensive state-of-the-art solutions in healthcare at an affordable cost. harmonize therapeutic expertise with technological advancements, and professional care with personal attention to offer patients true value and reassurance. Focused on providing primary care as well as preventive medical services offer a range of healthcare packages to match all...",http://aesmc.com/,,2341,,https://uae.arablocal.com/business/view/adam-and-eve-specialized-medical-centre,,,,,
business-b2b,Injaz Services FZ LLC,+971 44401818,,,,"Dubai Outsource Zone,",Dubai Outsource Zone,Dubai,UAE,Injaz Services FZ LLC,,,2749,,https://uae.arablocal.com/business/view/injaz-services-fz-llc,,,,,
business-b2b,Al Khazna Chicken Farm,+971 37372992,,,,Area :,Al Ain,Abu Dhabi,UAE,"Al Khazna Chicken Farm is located in Al Ain, UAE. Company is working in Overseas Business, Import and Export Agents business activities. If you have any questions, please contact us",,,2725,,https://uae.arablocal.com/business/view/al-khazna-chicken-farm,,,,,
business-b2b,Dubizzle Abu Dhabi,,,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"dubizzle.com is the leading classifieds website for users in the Middle East and North Africa. Since its launch in 2005, dubizzle.com has become the number one platform for users to buy, sell, or find anything in their community. A community where underused goods are redistributed to fill a new need, and become wanted again, where non- product assets such as space, skills and money are exchanged and traded in new ways that don’t always require centralized institutions or ‘middlemen’. dubizzle...",http://abudhabi.dubizzle.com/,,2957,,https://uae.arablocal.com/business/view/dubizzle-abu-dhabi,,,,,
business-b2b,Fujairah National Printing Press,+971 92223388,,,,"Industrial,",Fujairah,Fujairah,UAE,Fujairah National Printing Press,,,3163,,https://uae.arablocal.com/business/view/fujairah-national-printing-press,,,,,
business-b2b,Afdhal Auto Paints Trading,+971 65420451,,,,Sharjah,Industrial Area 5,Sharjah,UAE,Afdhal Auto Paints Trading,,,3161,,https://uae.arablocal.com/business/view/afdhal-auto-paints-trading,,,,,
business-b2b,Bama Trading Company,,,,,Po Box 17460 Free Zone,Dubai Others,Dubai,UAE,"BAMA TRADING COMPANY is located in Dubai, UAE. Company is working in Others business activities.",http://www.barrickgroup.net,,2492,,https://uae.arablocal.com/business/view/bama-trading-company,,,,,
business-b2b,Australian World Trading LLC,+971 3443500,,,,Box No. 333455,Jebel Ali Freezone,Dubai,UAE,"AUSTRALIAN WORLD TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,,6526,,https://uae.arablocal.com/business/view/australian-world-trading-llc,,,,,
business-b2b,Al Megido Electromechanical Works LLC,+971 2987818,,,,Box No. 89385,Dubai Others,Dubai,UAE,"AL MEGIDO ELECTROMECHANICAL WORKS LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Civil Engineering, Lift Engineers, Electromechanical Equipment Installation, Plumbing & Sanitary business activities.",,,1987,,https://uae.arablocal.com/business/view/al-megido-electromechanical-works--llc,,,,,
business-b2b,Al Abad Manpower Supply,+971 92223302,,,,Fujairah,Al Fujairah,Fujairah,UAE,Al Abad Manpower Supply,,,1924,,https://uae.arablocal.com/business/view/al-abad-manpower-supply,,,,,
business-b2b,Afaq Recruitment and Manpower Supply Services,+971 26457007,+971 564012035,,,"Floor # 9, GTH Building, Electra Street, Tourist Club,",Abu Dhabi City,Abu Dhabi,UAE,Afaq Recruitment and Manpower Supply Services,,,1758,,https://uae.arablocal.com/business/view/afaq-recruitment-and-manpower-supply-services,,,,,
business-b2b,Holford Facilities Management LLC,+971 43793100,,,,"2nd Floor, SIT Tower, Office 207, Street D 54,",Dubai Silicon Oasis,Dubai,UAE,Holford Facilities Management LLC,,,1704,,https://uae.arablocal.com/business/view/holford-facilities-management-llc,,,,,
business-b2b,Al Khaleej Foam Factory,+971 67438844,,,,5274,Ajman Others,Ajman,UAE,"Al Khaleej Foam Factory is located in Ajman, UAE. Company is working in Others business activities. If you have any questions, please contact us",,,1791,,https://uae.arablocal.com/business/view/al-khaleej-foam-factory,,,,,
business-b2b,Bahar Al Noor Trading,+971 42727391,,,,Area :,Al Garhoud,Dubai,UAE,"Bahar Al Noor Trading is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading business activities. If you have any questions, please contact us",http://www.balloonee.com,,1896,,https://uae.arablocal.com/business/view/bahar-al-noor-trading,,,,,
business-b2b,Al Tareeq Al Saree Management Consultancy Industrial Area 4 Sharjah,+971 65215557,+971 556490500,,,"4th Floor, Rolla Mall, Office # 407,",Industrial Area 4,Sharjah,UAE,Al Tareeq Al Saree Management Consultancy Industrial Area 4 Sharjah,http://www.sbs-uae.org/,,1702,,https://uae.arablocal.com/business/view/al-tareeq-al-saree-management-consultancy-industrial-area-4-sharjah,,,,,
business-b2b,Simba Trading Llc,+971 2226635,,,,Box No. 33135,Dubai Others,Dubai,UAE,"SIMBA TRADING LLC is located in Dubai, UAE. Company is working in Secretarial Services, Photocopying, Trading, Air-Condition, Refrigeration Trading, Event Equipment, Audio Visual, Electrical Goods business activities. Visit our company website for more information about us : http://www.simbaglobal.com",http://www.simbaglobal.com,,1733,,https://uae.arablocal.com/business/view/simba-trading-llc,,,,,
business-b2b,Gardenia Trading Est,+971 43961420,,,,"Shop #2, Ground Floor, Ahmed Saif Belhasa, Al Karama,",Bur Dubai,Dubai,UAE,Gardenia Trading Est,,,1825,,https://uae.arablocal.com/business/view/gardenia-trading-est,,,,,
business-b2b,Ac Nielsen Amer Shj Branch,+971 65724848,,,,P.O Box 22525,Dubai Others,Dubai,UAE,"A/C Nielsen Amer (Shj. Branch) is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,,1515,,https://uae.arablocal.com/business/view/ac-nielsen-amer-shj-branch,,,,,
business-b2b,Asmacs FZE,+971 65260711,,,,"Hamriyah Free Zone,",Hamriyah Free Zone,Sharjah,UAE,,,,1647,,https://uae.arablocal.com/business/view/asmacs-fze,,,,,
construction,Gemini Building Materials Mussafah Abu Dhabi,+971 25541410,+971 561197955,,,"Ground Floor, Firdaus Building, Shop # 114-116, Mussafah (M-3),",Musaffah,Abu Dhabi,UAE,Gemini Building Materials Mussafah Abu Dhabi,,,7592,,https://uae.arablocal.com/business/view/gemini-building-materials-mussafah-abu-dhabi,,,,,
construction,Emirates International Blocks and Interlock Factory,+971 72447555,,,,Ras Al Khaimah,Al Jazirah Al Hamra,Ras Al Khaimah,UAE,Emirates International Blocks and Interlock Factory,,,9095,,https://uae.arablocal.com/business/view/emirates-international-blocks-and-interlock-factory,,,,,
construction,Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Abu Dhabi,+971 25542200,,,,"ADMAK Building, Mussafah (M-15),",Musaffah,Abu Dhabi,UAE,Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Abu Dhabi,http://www.makharafi.net/,,6124,,https://uae.arablocal.com/business/view/mohammed-abdul-mohsin-al-kharafi-and-sons-llc-abu-dhabi,,,,,
construction,Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Dubai,+971 43607754,,,,"Building # 2, Office # 208, Dubai Industrial Park, DubaiP.O.Box: 11171, Dubai",Dubai Industrial Park,Dubai,UAE,"One of the largest in the Middle East area, classified in Category ""I""​ (First) with the Central Tenders Committee of Kuwait and treated at par with international contractors..",http://www.makharafi.net/,,13578,,https://uae.arablocal.com/business/view/mohammed-abdul-mohsin-al-kharafi-and-sons-llc-dubai,,,,,
construction,Emirates Ceramic Factory,+971 92223995,,,,Fujairah,Al Hayl,Fujairah,UAE,Emirates Ceramic Factory,,,4159,,https://uae.arablocal.com/business/view/emirates-ceramic-factory,,,,,
construction,Osool Finance Co,+971 42979250,,,,"Hor Al Anz East,",Deira,Dubai,UAE,Osool Finance Co,,,4278,,https://uae.arablocal.com/business/view/osool-finance-co,,,,,
construction,MS Construction L.L.C,+971 44079799,,,,"Nadd Al Shiba 1,",Nad Al Sheba,Dubai,UAE,MS Construction L.L.C,,,3014,,https://uae.arablocal.com/business/view/ms-construction-l-l-c,,,,,
construction,Al Futtaim Engineering Elevators and Escalators Division Dubai,+971 42119111,,,,Dubai,Garhoud,Dubai,UAE,Al Futtaim Engineering Elevators and Escalators Division Dubai,,,3203,,https://uae.arablocal.com/business/view/al-futtaim-engineering-elevators-and-escalators-division-dubai,,,,,
construction,Dubai Adhesive Material Factory LLC,+971 65349708,+971 552412975,,,"Plot # 4, 8th Kalba Road, Industrial Area 17 ,",Industrial Area,Sharjah,UAE,Dubai Adhesive Material Factory LLC,http://www.dubaiadhesive.com/,,3378,,https://uae.arablocal.com/business/view/dubai-adhesive-material-factory-llc,,,,,
construction,Al Gouz Block Factory LLC,+971 48802880,,,,Dubai,Jebel Ali Industrial,Dubai,UAE,Al Gouz Block Factory LLC,,,2986,,https://uae.arablocal.com/business/view/al-gouz-block-factory-llc,,,,,
construction,Abu Dhabi Precast LLC,+971 25501033,+971 565035567,,,"Floor # 25, Sector # 1-25, ICAD City, Sanaya,",Musaffah,Abu Dhabi,UAE,Abu Dhabi Precast LLC,http://www.abudhabiprecast.com/adp/index.php?cmd=cms__message&msg=U29ycnkhIFlvdSBhcmUgbm90IGF1dGhvcml6aW5nZ2dnZ2dnZyB0byBhY2Nlc3MgdGhpcyBwYWdlLg==,,3451,,https://uae.arablocal.com/business/view/abu-dhabi-precast-llc,,,,,
construction,Al Shallalat Well Drilling Est Al Mushrif Abu Dhabi,+971 26429962,+971 502199952,,,"Mezzanine Floor, Building# 848, Office #01, Sheikh Rashid Bin Saeed Street,",Al Mushrif,Abu Dhabi,UAE,Al Shallalat Well Drilling Est Al Mushrif Abu Dhabi,,,3007,,https://uae.arablocal.com/business/view/al-shallalat-well-drilling-est-al-mushrif-abu-dhabi,,,,,
construction,Schindler UAE Abu Dhabi,+971 26120000,,,,"9th Floor, Tower B - Al Saman Tower, Hamdan Street,",Abu Dhabi Industrial City,Abu Dhabi,UAE,Schindler UAE Abu Dhabi,,,3518,,https://uae.arablocal.com/business/view/schindler-uae-abu-dhabi,,,,,
construction,Pioneer Precast Concrete LLC Abu Dhabi,+971 25828438,,,,"Mafraq Workers City # 1,",Al Mafraq Industrial Area,Abu Dhabi,UAE,Pioneer Precast Concrete LLC Abu Dhabi,http://pioneerprecast.com/,,2888,,https://uae.arablocal.com/business/view/pioneer-precast-concrete-llc-abu-dhabi,,,,,
construction,El Ezh Building Contracting LLC,+971 72221668,,,,"Floor # 4, Julphar Tower, Al Hisn Road,",Al Nakheel,Ras Al Khaimah,UAE,El Ezh Building Contracting LLC,,,2957,,https://uae.arablocal.com/business/view/el-ezh-building-contracting-llc,,,,,
