Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Ameer Keys and Locks Al Khalidiyah Abu Dhabi,+971 26219090,,,,"Ground Floor, Mubarak Abdulla Al Muraiki Building, Khalidiya Street,",Al Khalidiyah,Abu Dhabi,UAE,Al Ameer Keys and Locks Al Khalidiyah Abu Dhabi,,3220,,https://uae.arablocal.com/business/view/al-ameer-keys-and-locks-al-khalidiyah-abu-dhabi,,,,,
Al Rams Scrap Co,+971 72238904,,,,Ras Al Khaimah,Al Ghubb,Ras Al Khaimah,UAE,Al Rams Scrap Co,,3474,,https://uae.arablocal.com/business/view/al-rams-scrap-co,,,,,
Al Jallaf Carton Boxes Manufacturing LLC,+971 67490418,,,,"Industrial Area# 1,",Industrial Area# 1,Ajman,UAE,Al Jallaf Carton Boxes Manufacturing LLC,,3077,,https://uae.arablocal.com/business/view/al-jallaf-carton-boxes-manufacturing-llc,,,,,
Al Masdar Al Awal Metal Scrap Trading LLC,+971 65344471,,,,"Industrial Area 10,",Industrial Area,Sharjah,UAE,Al Masdar Al Awal Metal Scrap Trading LLC,,3115,,https://uae.arablocal.com/business/view/al-masdar-al-awal-metal-scrap-trading-llc,,,,,
Dayal Metal Containers Factory LLC,+971 67430611,+971 567501659,,,"Ground Floor,",New Industrial Area,Ajman,UAE,Dayal Metal Containers Factory LLC,,3042,,https://uae.arablocal.com/business/view/dayal-metal-containers-factory-llc,,,,,
Arrow Metals and Scrap Trading LLC,+971 25575881,+971 506349984,,,"Mussafah (M-17),",Musaffah,Abu Dhabi,UAE,Arrow Metals and Scrap Trading LLC,,2904,,https://uae.arablocal.com/business/view/arrow-metals-and-scrap-trading-llc,,,,,
Al Baha Trading Est,+971 26332115,+971 506132543,,,"Ground Floor, Dana Masaoud Tower, Najda Street,",Al Danah,Abu Dhabi,UAE,Al Baha Trading Est,,2751,,https://uae.arablocal.com/business/view/al-baha-trading-est,,,,,
Agricultural Materials Co Ltd Al Ain Abu Dhabi,+971 37641064,,,,"B F, Arab Bank Building,",Al Ain,Abu Dhabi,UAE,Agricultural Materials Co Ltd Al Ain Abu Dhabi,,2765,,https://uae.arablocal.com/business/view/agricultural-materials-co-ltd-al-ain-abu-dhabi,,,,,
Union Chemical Factory Abu dhabi,+971 25502026,,,,"Ground Floor, ICAD Street,",I CAD 1,Abu Dhabi,UAE,Union Chemical Factory Abu dhabi,,2999,,https://uae.arablocal.com/business/view/union-chemical-factory-abu-dhabi,,,,,
Stars Poly Storage Tanks Factory LLC Al Quoz Dubai,+971 43476200,+971 504696964,,,"Warehouse, 22nd Street,",Al Quoz,Dubai,UAE,Stars Poly Storage Tanks Factory LLC Al Quoz Dubai,,2687,,https://uae.arablocal.com/business/view/stars-poly-storage-tanks-factory-llc-al-quoz-dubai,,,,,
JSW Steel Limited DMCC,+971 44385286,,,,"Jumeirah Bay Tower X3, Unit # 309,",Jumeirah Lakes towers,Dubai,UAE,JSW Steel Limited DMCC,,2618,,https://uae.arablocal.com/business/view/jsw-steel-limited-dmcc,,,,,
Al Bassam RAK for Tanks LLC,+971 72221026,,,,"Al Nakheel Street, Dafan Al Nakheel,",Dafan Al Nakheel,Ras Al Khaimah,UAE,Al Bassam RAK for Tanks LLC,,2614,,https://uae.arablocal.com/business/view/al-bassam-rak-for-tanks-llc,,,,,
Packart Packing and Packaging Ajman,+971 67431166,,,,"Shed# 3 & 4, Lootah Street,",New Industrial Area,Ajman,UAE,Packart Packing and Packaging Ajman,,2607,,https://uae.arablocal.com/business/view/packart-packing-and-packaging-ajman,,,,,
Ahmad Talha Carton Boxes Factory LLC,+971 65384814,+971 503265409,,,"Warehouse #54,",Industrial Area 12,Sharjah,UAE,Ahmad Talha Carton Boxes Factory LLC,,2510,,https://uae.arablocal.com/business/view/ahmad-talha-carton-boxes-factory-llc,,,,,
Mohammed Ibrahim Haji Aluminium Trading,+971 42691523,,,,"Al Khabaisi,",Deira,Dubai,UAE,Mohammed Ibrahim Haji Aluminium Trading,,2498,,https://uae.arablocal.com/business/view/mohammed-ibrahim-haji-aluminium-trading,,,,,
Al Wadi Sanitary Wares Company LLC Mussafah Abu Dhabi,+971 25551941,,,,"Mussafah (M-9),",Musaffah,Abu Dhabi,UAE,Al Wadi Sanitary Wares Company LLC Mussafah Abu Dhabi,,2465,,https://uae.arablocal.com/business/view/al-wadi-sanitary-wares-company-llc-mussafah-abu-dhabi,,,,,
Sawas Kitchen Equipment Co LLC Sharjah,+971 65554410,,,,"Ground Floor, Sawas kitchen & Bakeries Equip Building, Jamal Abdel Nasser Road, Al Majaz 2,",Al Majaz District,Sharjah,UAE,Sawas Kitchen Equipment Co LLC Sharjah,,2451,,https://uae.arablocal.com/business/view/sawas-kitchen-equipment-co-llc-sharjah,,,,,
Al Abbar Glass and Trading Co,+971 43331588,,,,Dubai,Ras Al Khor Industrial Area 2,Dubai,UAE,Al Abbar Glass and Trading Co,,2366,,https://uae.arablocal.com/business/view/al-abbar-glass-and-trading-co,,,,,
Cosmoplast Industrial Co LLC,+971 65331264,,,,Sharjah,Industrial Area 1,Sharjah,UAE,Cosmoplast Industrial Co LLC,,2350,,https://uae.arablocal.com/business/view/cosmoplast-industrial-co-llc,,,,,
Al Fajer Detergent Industries Co LLC,+971 67436675,,,,Ajman,Ajman Industrial 1,Ajman,UAE,Al Fajer Detergent Industries Co LLC,,2293,,https://uae.arablocal.com/business/view/al-fajer-detergent-industries-co-llc,,,,,
Abdul Aziz Jassem Textiles LLC,+971 42353947,,,,"Ground Floor, Al Buteen Building, Shop # 11, Murshid Bazaar Road,",Deira,Dubai,UAE,Abdul Aziz Jassem Textiles LLC,,2257,,https://uae.arablocal.com/business/view/abdul-aziz-jassem-textiles-llc,,,,,
Al Bayan Kitchen Equipment LLC Sharjah,+971 65550991,,,,Sharjah,Industrial Area 4,Sharjah,UAE,Al Bayan Kitchen Equipment LLC Sharjah,,2256,,https://uae.arablocal.com/business/view/al-bayan-kitchen-equipment-llc-sharjah,,,,,
Al Bahar Caterpillar,+971 65433555,,,,"Al-Wasit Street,",Industrial Area 3,Sharjah,UAE,Al Bahar Caterpillar,,2224,,https://uae.arablocal.com/business/view/al-bahar-caterpillar,,,,,
Atlas Plastic Factory LLC,+971 43479793,,,,"Al Quoz Industrial,",Al Quoz,Dubai,UAE,Atlas Plastic Factory LLC,,2199,,https://uae.arablocal.com/business/view/atlas-plastic-factory-llc,,,,,
International Rubber Company LLC,+971 48859880,,,,"Ground Floor, Warehouse, Dubai Investment Park (DIP) First,",Jebel Ali,Dubai,UAE,International Rubber Company LLC,,2182,,https://uae.arablocal.com/business/view/international-rubber-company-llc,,,,,
Al Khowahir Chemicals Mat Trading LLC Sharjah,+971 65424694,,,,"Ground Floor, Salah Bin Salah Building, Caterpillar Street, Industrial Area 2,",Industrial Area,Sharjah,UAE,Al Khowahir Chemicals Mat Trading LLC Sharjah,,2180,,https://uae.arablocal.com/business/view/al-khowahir-chemicals-mat-trading-llc-sharjah,,,,,
Abu Dhabi Weaving and Cloak Tailoring Factory,+971 25554187,,,,Abu Dhabi,Mussafah 14,Abu Dhabi,UAE,Abu Dhabi Weaving and Cloak Tailoring Factory,,2143,,https://uae.arablocal.com/business/view/abu-dhabi-weaving-and-cloak-tailoring-factory,,,,,
Noor Asadi Mirror and Frames L.L.C,+971 25552460,,,,"Plot No # 28, Mussafah (M-13),",Musaffah,Abu Dhabi,UAE,Noor Asadi Mirror and Frames L.L.C,,2111,,https://uae.arablocal.com/business/view/noor-asadi-mirror-and-frames-l-l-c,,,,,
Crown Emirates Co Ltd,+971 48835452,,,,"Plot WWA, Office #160, Jebel Ali,",Jebel Ali Freezone,Dubai,UAE,Crown Emirates Co Ltd,,2100,,https://uae.arablocal.com/business/view/crown-emirates-co-ltd,,,,,
Al Hamra Steel Pipe Factory Co LLC Al Sajaa Sharjah,+971 65360127,,,,"Al Sajaa,",Al Sajaa,Sharjah,UAE,Al Hamra Steel Pipe Factory Co LLC Al Sajaa Sharjah,,2097,,https://uae.arablocal.com/business/view/al-hamra-steel-pipe-factory-co-llc-al-sajaa-sharjah,,,,,
Al Yamama UPVC Doors and Windows,+971 37216602,,,,"Ground Floor, Al Rauwaidhi Building, Street # 16,",Sanaiya,Abu Dhabi,UAE,Al Yamama UPVC Doors and Windows,,2081,,https://uae.arablocal.com/business/view/al-yamama-upvc-doors-and-windows,,,,,
Al Waleed Refrigerant Gas Industry LLC,+971 42730844,,,,"5th Floor, Technic Building, Office # 502, Salahuddin Road, Al Muraqqabat,",Deira,Dubai,UAE,Al Waleed Refrigerant Gas Industry LLC,,2444,,https://uae.arablocal.com/business/view/al-waleed-refrigerant-gas-industry-llc,,,,,
Jindal Steel DMCC,+971 44264026,,,,"Jumeirah Bay 2, Unit # 3309,",Jumeirah Lakes towers,Dubai,UAE,Jindal Steel DMCC,,2066,,https://uae.arablocal.com/business/view/jindal-steel-dmcc,,,,,
Al Jazeera City Trailers Industries LLC,+971 43338942,,,,Dubai,Ras al khor industrial area 1,Sharjah,UAE,Al Jazeera City Trailers Industries LLC,,2057,,https://uae.arablocal.com/business/view/al-jazeera-city-trailers-industries-llc,,,,,
Abid Textile,+971 37514030,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Abid Textile,,2050,,https://uae.arablocal.com/business/view/abid-textile,,,,,
GT Steel Recycling DMCC,+971 44208385,,,,"ALMAS Tower, Unit # ALMAS-06-A,",Jumeirah Lakes towers,Dubai,UAE,GT Steel Recycling DMCC,,1982,,https://uae.arablocal.com/business/view/gt-steel-recycling-dmcc,,,,,
Arab Emirates Bandac Co LLC Dubai,+971 42858317,,,,"Ground Floor, Umm Ramool,",Al Rashidiya,Dubai,UAE,Arab Emirates Bandac Co LLC Dubai,,1963,,https://uae.arablocal.com/business/view/arab-emirates-bandac-co-llc-dubai,,,,,
Al Ain Glass and Mirror Co LLC,+971 37641442,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Ain Glass and Mirror Co LLC,,1931,,https://uae.arablocal.com/business/view/al-ain-glass-and-mirror-co-llc,,,,,
Mohamed Hareb Al Otaiba Kitchen Supplies LLC,+971 43414900,+971 504548187,,,"Ground Floor, Mohamed Hareb Al Otaiba Building, Al Marabea Street, 65D,",Al Quoz Industrial Area,Dubai,UAE,Mohamed Hareb Al Otaiba Kitchen Supplies LLC,,1910,,https://uae.arablocal.com/business/view/mohamed-hareb-al-otaiba-kitchen-supplies-llc,,,,,
Al Muntadhim Copper and Aluminium Scrap Trading,+971 65350060,,,,"Industrial 10,",Industrial Area 10,Sharjah,UAE,Al Muntadhim Copper and Aluminium Scrap Trading,,1919,,https://uae.arablocal.com/business/view/al-muntadhim-copper-and-aluminium-scrap-trading,,,,,
Abdul Hameed Khouri Aluminium Glass Factory LLC,+971 65346800,,,,Sharjah,Industrial Area 12,Sharjah,UAE,Abdul Hameed Khouri Aluminium Glass Factory LLC,,1907,,https://uae.arablocal.com/business/view/abdul-hameed-khouri-aluminium-glass-factory-llc,,,,,
Ahmed Ramadhan Juma ARJ Group,+971 37218144,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Ahmed Ramadhan Juma ARJ Group,,1848,,https://uae.arablocal.com/business/view/ahmed-ramadhan-juma-arj-group,,,,,
Fikree Group of Companies L.L.C,+971 43377911,,,,"Floor # 4, Montawa Building, Office # 406, Al Zabeel Street, Al Karama,",Bur Dubai,Dubai,UAE,Fikree Group of Companies L.L.C,,1815,,https://uae.arablocal.com/business/view/fikree-group-of-companies-l-l-c,,,,,
Qasr Al Ahlam Trading,+971 6331224,,,,11857,Abu Dhabi City,Abu Dhabi,UAE,"QASR AL AHLAM TRADING is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories, Textile business activities.",,1812,,https://uae.arablocal.com/business/view/qasr-al-ahlam-trading,,,,,
Al Reyami Glass and Aluminium LLC Al Quoz Industrial area 2 Dubai,+971 44329829,+971 800739264,,,Dubai,Al Quoz Industrial Area 2,Dubai,UAE,Al Reyami Glass and Aluminium LLC Al Quoz Industrial area 2 Dubai,,1794,,https://uae.arablocal.com/business/view/al-reyami-glass-and-aluminium-llc-al-quoz-industrial-area-2-dubai,,,,,
National Finland Auto Glass Co LLC Umm Al quwain,+971 67662630,,,,Umm Al Quwain,Industrial Area,Sharjah,UAE,National Finland Auto Glass Co LLC Umm Al quwain,,1790,,https://uae.arablocal.com/business/view/national-finland-auto-glass-co-llc-umm-al-quwain,,,,,
Obaid Al Shamsi Aluminium and Glass Industries LLC,+971 42679100,,,,"Al Qusais 4,",Al Qusais,Dubai,UAE,Obaid Al Shamsi Aluminium and Glass Industries LLC,,1775,,https://uae.arablocal.com/business/view/obaid-al-shamsi-aluminium-and-glass-industries-llc,,,,,
Daeah Engineering Construction Co.Ltd,+971 26426442,,,,"Mussafah (M-4),",Musaffah,Abu Dhabi,UAE,Daeah Engineering Construction Co.Ltd,,1752,,https://uae.arablocal.com/business/view/daeah-engineering-construction-co-ltd,,,,,
Al Asfar Heavy Equipment Spare Parts Trading LLC,+971 65424677,,,,"Industrial Area 13,",Industrial Area,Sharjah,UAE,Al Asfar Heavy Equipment Spare Parts Trading LLC,,1734,,https://uae.arablocal.com/business/view/al-asfar-heavy-equipment-spare-parts-trading-llc,,,,,
Gelaf Carton Boxes Manufacturing LLC,+971 67673828,,,,"Ground Floor, Al Ittihad Road,",Industrial Area,Sharjah,UAE,Gelaf Carton Boxes Manufacturing LLC,,1719,,https://uae.arablocal.com/business/view/gelaf-carton-boxes-manufacturing-llc,,,,,
Al Madeena Plastic Pipe Mfrg Factory LLC,+971 67480226,,,,"1, G Industrial,",Ajman Industrial 2,Ajman,UAE,Al Madeena Plastic Pipe Mfrg Factory LLC,,1731,,https://uae.arablocal.com/business/view/al-madeena-plastic-pipe-mfrg-factory-llc,,,,,
Al Furat Refrigeration Devices Trading Co,+971 65342622,,,,Sharjah,Industrial Area 11,Sharjah,UAE,Al Furat Refrigeration Devices Trading Co,,1707,,https://uae.arablocal.com/business/view/al-furat-refrigeration-devices-trading-co,,,,,
Al Ain Mineral Water Bottling Factory Cold Stores and Ice Plant Dept,+971 37214377,,,pridepowermech@gmail.com,Al Ain,Al Ain,Abu Dhabi,UAE,Al Ain Mineral Water Bottling Factory Cold Stores and Ice Plant Dept,,1717,,https://uae.arablocal.com/business/view/al-ain-mineral-water-bottling-factory-cold-stores-and-ice-plant-dept,,,,,
Al Dhaid Tents Tr,+971 68823892,,,,Sharjah,Al Dhaid,Sharjah,UAE,Al Dhaid Tents Tr,,1707,,https://uae.arablocal.com/business/view/al-dhaid-tents-tr,,,,,
Al Mubarak Agrochemicals Al Ain Abu Dhabi,+971 37223884,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Mubarak Agrochemicals Al Ain Abu Dhabi,,1703,,https://uae.arablocal.com/business/view/al-mubarak-agrochemicals-al-ain-abu-dhabi,,,,,
Al Nauras Rubber Factory LLC Jebel Ali Dubai,+971 48851815,,,,"Dubai Investment Park (DIP),",Jebel Ali,Dubai,UAE,Al Nauras Rubber Factory LLC Jebel Ali Dubai,,1694,,https://uae.arablocal.com/business/view/al-nauras-rubber-factory-llc-jebel-ali-dubai,,,,,
SGS Gulf Limited Mussafah Abu Dhabi,+971 25557662,,,,Abu Dhabi,Musaffah 14,Abu Dhabi,UAE,SGS Gulf Limited Mussafah Abu Dhabi,,1692,,https://uae.arablocal.com/business/view/sgs-gulf-limited-mussafah-abu-dhabi,,,,,
New Al Khalidiya Aluminium and Glass Co LLC,+971 25559553,+971 505123627,,,"Ground Floor, Building# 45, Mussafah (M-37),",Musaffah,Abu Dhabi,UAE,New Al Khalidiya Aluminium and Glass Co LLC,,1691,,https://uae.arablocal.com/business/view/new-al-khalidiya-aluminium-and-glass-co-llc,,,,,
Alloy Metal Works LLC,+971 43303021,,,,"Floor # 1, Bin Haider Building, Office # 108,",Deira,Dubai,UAE,Alloy Metal Works LLC,,1669,,https://uae.arablocal.com/business/view/alloy-metal-works-llc,,,,,
ABC Chemical Exports Pvt Ltd,+971 65571266,,,,"SAIF Zone,",Saif Zone,Sharjah,UAE,ABC Chemical Exports Pvt Ltd,,1665,,https://uae.arablocal.com/business/view/abc-chemical-exports-pvt-ltd,,,,,
Sedana Trading Co LLC Sharjah,+971 65322200,,,,"Green Belt,",Industrial Area,Sharjah,UAE,Sedana Trading Co LLC Sharjah,,1648,,https://uae.arablocal.com/business/view/sedana-trading-co-llc-sharjah,,,,,
Maxwell Automatic Doors Co LLC Al Ain,+971 25515774,+971 559371622,,,"Ground Floor,",Al Muwaiji,Abu Dhabi,UAE,Maxwell Automatic Doors Co LLC Al Ain,,1657,,https://uae.arablocal.com/business/view/maxwell-automatic-doors-co-llc-al-ain,,,,,
Al Masah Paper Industries LLC,+971 65386804,,,,"Ground Floor, Office # 101,",Industrial Area 12,Sharjah,UAE,Al Masah Paper Industries LLC,,1607,,https://uae.arablocal.com/business/view/al-masah-paper-industries-llc,,,,,
National Heritage Tents Ajman,+971 67411224,+971 506792005,,,"New Industrial Area,",New Industrial Area,Ajman,UAE,National Heritage Tents Ajman,,1601,,https://uae.arablocal.com/business/view/national-heritage-tents-ajman,,,,,
Teeb Emirates Perfumes,+971 48806761,+971 506577164,,,"South Zone,",Jebel Ali Freezone,Dubai,UAE,Teeb Emirates Perfumes,,1598,,https://uae.arablocal.com/business/view/teeb-emirates-perfumes,,,,,
Mohd Abdulla Haji Yousef Khoury and Co,+971 37642719,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Mohd Abdulla Haji Yousef Khoury and Co,,1590,,https://uae.arablocal.com/business/view/mohd-abdulla-haji-yousef-khoury-and-co,,,,,
Atlas Trailers and Equipments Manufacturing Industries LLC,+971 65636809,,,,"Emirates Industrial,",Al Sajaa Industrial Suburb,Sharjah,UAE,Atlas Trailers and Equipments Manufacturing Industries LLC,,1584,,https://uae.arablocal.com/business/view/atlas-trailers-and-equipments-manufacturing-industries-llc,,,,,
Global Experience Specialist GES Exhibition Services LLC Dubai Branch,+971 48859336,,,,"Plot # 597, Street # 3,",Dubai Investment Park - 2,Dubai,UAE,Global Experience Specialist GES Exhibition Services LLC Dubai Branch,,1560,,https://uae.arablocal.com/business/view/global-experience-specialist-ges-exhibition-services-llc-dubai-branch,,,,,
Dubai Flex Pack LLC,+971 48853411,,,,Dubai,Dubai Investment Park - 1,Dubai,UAE,Dubai Flex Pack LLC,,1558,,https://uae.arablocal.com/business/view/dubai-flex-pack-llc,,,,,
Masterheat Gulf Industrial Co LLC,+971 65432518,+971 564745669,,,"2nd Industrial Street, Industrial Area 6,",Industrial Area,Sharjah,UAE,Masterheat Gulf Industrial Co LLC,,1534,,https://uae.arablocal.com/business/view/masterheat-gulf-industrial-co-llc,,,,,
Smart Glass Works Abu dhabi,+971 25506965,+971 509713215,,,"Ground Floor, Plot No # 2, Shop# 1, Sanayya Road, Mussafah (M-32/1),",Musaffah,Abu Dhabi,UAE,Smart Glass Works Abu dhabi,,1532,,https://uae.arablocal.com/business/view/smart-glass-works-abu-dhabi,,,,,
Gulf European Workshop Equipment Machinery Trading LLC,+971 42523423,,,,"Floor # 3, Bin Thani Plaza, Office # 344, Old Maktoum Hospital Road,",Deira,Dubai,UAE,Gulf European Workshop Equipment Machinery Trading LLC,,1532,,https://uae.arablocal.com/business/view/gulf-european-workshop-equipment-machinery-trading-llc,,,,,
Al Dwalia Trading and Renting for Scaffolding,+971 65562254,,,,"10th Floor, Al Durrah Building, Office # 1002,",Al Sajaa,Sharjah,UAE,Al Dwalia Trading and Renting for Scaffolding,,1530,,https://uae.arablocal.com/business/view/al-dwalia-trading-and-renting-for-scaffolding,,,,,
Al Shamsi Fibre Glass and Plastic Industries LLC,+971 67433799,,,,Sharjah,Ajman Industrial 2,Ajman,UAE,Al Shamsi Fibre Glass and Plastic Industries LLC,,1526,,https://uae.arablocal.com/business/view/al-shamsi-fibre-glass-and-plastic-industries-llc,,,,,
Qalamkar Textile Bur Dubai,,,,,"near Meena Bazaar,27 Al Hisin St, Dubai",Bur Dubai,Dubai,UAE,,,1516,,https://uae.arablocal.com/business/view/qalamkar-textile-bur-dubai,,,,,
Galaxy Glass and Aluminium Est,+971 25543537,+971 507167475,,,"Ground Floor, Plot # 13, Shop # 45, Mussafah (M-14),",Musaffah,Abu Dhabi,UAE,Galaxy Glass and Aluminium Est,,1524,,https://uae.arablocal.com/business/view/galaxy-glass-and-aluminium-est,,,,,
Al Zalzalah Heavy Vehicles Spare Parts Trdg LLC Abu Dhabi,+971 25535145,,,,"Mussafah (M-10),",Musaffah,Abu Dhabi,UAE,Al Zalzalah Heavy Vehicles Spare Parts Trdg LLC Abu Dhabi,,1499,,https://uae.arablocal.com/business/view/al-zalzalah-heavy-vehicles-spare-parts-trdg-llc-abu-dhabi,,,,,
Hexxa Flexible Packaging LLC,+971 72444051,,,,"Office #101, Ground Floor,",Al Jazirah Al Hamra,Ras Al Khaimah,UAE,Hexxa Flexible Packaging LLC,,1510,,https://uae.arablocal.com/business/view/hexxa-flexible-packaging-llc,,,,,
Arabian Industrial Co LLC,+971 26333496,,,,Abu Dhabi,Mussafah 14,Abu Dhabi,UAE,Arabian Industrial Co LLC,,1496,,https://uae.arablocal.com/business/view/arabian-industrial-co-llc,,,,,
Al Dhabi Scaffolding and Formwork LLC Abu Dhabi,+971 25501766,,,,"City Rent a Car Bldg,",Al Zahiyah,Abu Dhabi,UAE,Al Dhabi Scaffolding and Formwork LLC Abu Dhabi,,1493,,https://uae.arablocal.com/business/view/al-dhabi-scaffolding-and-formwork-llc-abu-dhabi,,,,,
Hipco Aluminium and Glass Co,+971 65331766,,,,Sharjah,Industrial Area 4,Sharjah,UAE,Hipco Aluminium and Glass Co,,1491,,https://uae.arablocal.com/business/view/hipco-aluminium-and-glass-co,,,,,
Al Ula Aluminium and Steel Works Est,+971 25508696,,,,"Plot # 37, Mussafah (M-39),",Musaffah,Abu Dhabi,UAE,Al Ula Aluminium and Steel Works Est,,1488,,https://uae.arablocal.com/business/view/al-ula-aluminium-and-steel-works-est,,,,,
Delta Industrial Tools Co Ltd Sharjah,+971 65336171,,,,Sharjah,Industrial Area 1,Sharjah,UAE,Delta Industrial Tools Co Ltd Sharjah,,1484,,https://uae.arablocal.com/business/view/delta-industrial-tools-co-ltd-sharjah,,,,,
Gulf Fence Factory FZE,+971 65261809,+971 509787087,,,"4th Floor, Al Duraibi, King Faisal Street,",Al Hamriyah Free Zone,Sharjah,UAE,Gulf Fence Factory FZE,,1483,,https://uae.arablocal.com/business/view/gulf-fence-factory-fze,,,,,
Ahmed Ramadhan Juma Est Dubai,+971 42272552,,,,Dubai,Deira,Dubai,UAE,Ahmed Ramadhan Juma Est Dubai,,1477,,https://uae.arablocal.com/business/view/ahmed-ramadhan-juma-est-dubai,,,,,
Gravestone In Dubai,+971 503838438,,,,Area :,Dubai Others,Dubai,UAE,"Our company is the leading company for making the Gravestones such as headstone, tombstone to the graveyard's in Dubai (United Arab Emirates) . we are since 1977, the company established in 1977 in this field in Dubai . Our activities : 1 - Granite or Marble (Tombstone & Headstone) 2 - Engraving by Machines 3 - painting by specials colors with guarantee 4 - fixing from A to Z Best Regards, Ahmed Moawia 050 / 3838438 Instagram : uaegravestone",,1465,,https://uae.arablocal.com/business/view/gravestone-in-dubai,,,,,
Ace Aluminium Scaffolding,+971 25513511,+971 506177346,,,"Plot No # 29, Office # Unit C 208, Sanaya, ICAD City 3,",Musaffah,Abu Dhabi,UAE,Ace Aluminium Scaffolding,,1469,,https://uae.arablocal.com/business/view/ace-aluminium-scaffolding,,,,,
BASF Construction Chemicals UAE LLC,+971 48090800,,,,"Jebel Ali Al Habib Road, Dubai Investment Park (DIP),",Jebel Ali,Dubai,UAE,BASF Construction Chemicals UAE LLC,,1458,,https://uae.arablocal.com/business/view/basf-construction-chemicals-uae-llc,,,,,
AFAG FZE,+971 65578922,,,,"SAIF Zone,",Saif Zone,Sharjah,UAE,,,1454,,https://uae.arablocal.com/business/view/afag-fze,,,,,
Khalid Al Hammadi Auto Spare Parts Co. LLC Double Cola Road Sharjah,+971 65430421,,,,"Double Cola Road,",Industrial Area 1,Sharjah,UAE,Khalid Al Hammadi Auto Spare Parts Co. LLC Double Cola Road Sharjah,,1453,,https://uae.arablocal.com/business/view/khalid-al-hammadi-auto-spare-parts-co-llc-double-cola-road-sharjah,,,,,
Leaders Aluminium and Glass Industries LLC,+971 65345543,,,,Sharjah,Industrial Area 13,Sharjah,UAE,Leaders Aluminium and Glass Industries LLC,,1450,,https://uae.arablocal.com/business/view/leaders-aluminium-and-glass-industries-llc,,,,,
Aaraf Trading Co LLC,+971 42269428,,,,"Ground Floor, Lootah Building, Office # 101, Sabkha Road,",Deira,Dubai,UAE,Aaraf Trading Co LLC,,1449,,https://uae.arablocal.com/business/view/aaraf-trading-co-llc,,,,,
