Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Ain Pharmacy Zakher Branch,+971 502402798,+971 37807767,info@alain-pharmacy.com,Zakhir - Abu Dhabi - United Arab Emirates,Zakhir,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,4441,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-zakher-branch,,,,,
Al Ain Pharmacy Main Branch,+971 508064341,+971 37655120,info@alain-pharmacy.com,Central District - Al Ain - United Arab Emirates,Central District,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,5971,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-main-branch,,,,,
Yateem Optician Al Ain Mall,+971 37510025,,yateemdubai@yateemgroup.ae,"Al Ain Mall,Al Ain - United Arab Emirates",Al Ain Others,Abu Dhabi,UAE,"The Yateem legacy began as one of the first optical shops and pharmacy in Bahrain in the year 1910.Late Mr. Ahmed Ali Yateem, was a pioneer in the Middle East region and he saw the need for having a home-grown optical presence to serve the needs of the community.Following his footsteps, the late Mr. Abdulla Ali Yateem formed the foundation for spreading the yateem group through strategic expansions in the region.In 1971 Mr. Naser Abdulla Yateem who had joined the business, ventured out to tap...",http://yateemgroup.com/,2792,,https://uae.arablocal.com/business/view/yateem-optician-al-ain-mall,https://www.facebook.com/yateemoptician/,https://www.instagram.com/yateemoptician_uae/,http://www.linkedin.com/company/yateem-opticians,,https://www.youtube.com/user/YateemOpticians
Ahmed Khalil Al Baker Medical Supplies LLC,+971 42852621,+971 502024100,,Box No. 1169,Dubai Others,Dubai,UAE,,http://www.al-baker.com,3079,,https://uae.arablocal.com/business/view/ahmed-khalil-al-baker-medical-supplies-llc,,,,,
Magrabi Optical Marina Mall Abu Dhabi,+971 26816961,,customercare@magrabi.com,"Marina Mall, Shop GN 7, Ground Floor - Marina Mall Ring Rd - Abu Dhabi - United Arab Emirates",Dubai marina,Dubai,UAE,"MAGRABi – where eye care is both a science and an artFor over 90 years we’ve been leading innovations in eyewear while constantly challenging boundaries. From the opening of our first store in 1927 we’ve made the marriage of avant-garde style and state-of-the-art eye care our purpose in life.With more than 150 stores across 5 countries, and with 20 pioneering MAGRABi hospitals focused on vision and eye health research, we’re the Middle East’s leading fashion eyewear and medical eye care speci...",http://magrabi.com/,2932,,https://uae.arablocal.com/business/view/magrabi-optical-marina-mall-abu-dhabi,https://www.facebook.com/MAGRABiOptical/,https://www.instagram.com/magrabi/?hl=en,,https://twitter.com/MagrabiOpt,https://www.youtube.com/channel/UCR7irrK1degRm8kzggsygmA
Al Ain Pharmacy Al Yahar Branch,+971 567191886,+971 37669884,info@alain-pharmacy.com,Aliah Mall - Al Yahar South - Abu Dhabi - United Arab Emirates,Al Yahar,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,2847,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-al-yahar-branch,,,,,
Aster Pharmacy 137,+971 44224515,,info@asterpharmacy.com,Pavillion Mall - International CityFrance Cluster - Dubai - United Arab Emirates,France Cluster,Dubai,UAE,"Starting the journey with just one pharmacy in 1987, Aster Pharmacy, a division of Aster DM Healthcare has evolved over the years & established itself as a responsible healthcare provider. Recognized today as the region’s leading pharmacy retail chain, Aster Pharmacy started with a focus on “delivering good health and happiness” through friendly neighborhood pharmacies which were customer centric and easily accessible.Over the Years, the network has expanded leaps & bounds, reaching up to a s...",http://asterpharmacy.com/pharmacy-network/,3107,800700600,https://uae.arablocal.com/business/view/aster-pharmacy-137,https://www.facebook.com/AsterPharmacy,,https://www.linkedin.com/company/3880711,https://twitter.com/Aster_Pharmacy,https://www.youtube.com/channel/UCWTiiPzPymfbo11-dt2OGSQ
Supercare Pharmacy Waitrose motorcity,+971 44566383,,info.me@supercare.ae,"D61 Green Community Waitrose,Dubai, Dubai",Dubai Others,Dubai,UAE,"We always believe in putting family first, especially their health and wellness. We know you do too. Which is why, Supercare will be the perfect health destination for you and your loved ones. We are one of the leading pharmacy-steered healthcare & lifestyle retailer brand with a pan UAE presence with over 40 years of experience. Today, we have grown to become a world-class pharmacy representing international Nutrition, Pharma, Fitness, Skin Care and Lifestyle brands. With a rapidly growing c...",http://www.super-care.ae/,2921,43504500,https://uae.arablocal.com/business/view/supercare-pharmacy-waitrose-motorcity,https://www.facebook.com/supercarepharmacyUAE/,https://www.instagram.com/supercarepharmacy/,,,https://www.youtube.com/channel/UCrr3E5mVN2-0E0Z81NAig9Q
Al Ain Pharmacy Al Bateen Branch,+971 505226375,+971 37669770,info@alain-pharmacy.com,Beside Souq Extra - Abu Dhabi - United Arab Emirates,Abu Dhabi Others,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,2710,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-al-bateen-branch,,,,,
VIVA Pharmacy Nad Shamma Pharmacy LLC,+971 42514107,,NadShamma@VivaPharmacy.com,Al Rashidiya - Dubai - United Arab Emirates,Al Rashidiya,Dubai,UAE,"Viva Pharmacy is your online gateway for medicines and other healthcare products with assurance of the best quality and the best price. We aim at simplifying the medical needs of people and connect them to genuine products in a hassle-free manner. That is why, our store welcomes walk-in buyers as well as order and pick-up or online ordering and doorstep delivery of medicines.Over the years, we have tapped across the top industry players and procure medicines only from the trusted brands so th...",http://www.vivapharmacy.com/,2667,,https://uae.arablocal.com/business/view/viva-pharmacy-nad-shamma-pharmacy-llc,,,,,
LIFE Pharmacy Corporate Office,+971 45610000,,care@lifepharmacy.com,Marasi Dr - Business BayBay Square - Dubai - United Arab Emirates,Business Bay,Dubai,UAE,"We commenced our journey as a retail pharmacy group in 1996 with a strong vision to grow over the last twenty years. Starting with just a single store, life pharmacy has grown to operate over 200 retail outlets throughout the UAE consisting of Pharmacies, Healthcare Hypermarkets, Health and Wellness stores catering to an average annual customer base of more than ten million walk-ins!Evolving to more than just retail outlets, we are proud to announce the launch of our official online portal Li...",http://www.lifepharmacy.com/,2654,,https://uae.arablocal.com/business/view/life-pharmacy-corporate-office,https://www.facebook.com/lifepharmacyme,https://www.instagram.com/lifepharmacyme/,https://www.linkedin.com/company/life-pharmacy,https://twitter.com/lifepharmacyme,
Yateem Optician Khalifa Street,+971 26277022,,yateemdubai@yateemgroup.ae,319 3rd St - Zone 1E5 - Abu Dhabi,Zone 1,Abu Dhabi,UAE,"The Yateem legacy began as one of the first optical shops and pharmacy in Bahrain in the year 1910.Late Mr. Ahmed Ali Yateem, was a pioneer in the Middle East region and he saw the need for having a home-grown optical presence to serve the needs of the community.Following his footsteps, the late Mr. Abdulla Ali Yateem formed the foundation for spreading the yateem group through strategic expansions in the region.In 1971 Mr. Naser Abdulla Yateem who had joined the business, ventured out to tap...",http://yateemgroup.com/,2495,,https://uae.arablocal.com/business/view/yateem-optician-khalifa-street,https://www.facebook.com/yateemoptician/,https://www.instagram.com/yateemoptician_uae/,http://www.linkedin.com/company/yateem-opticians,,https://www.youtube.com/user/YateemOpticians
Yateem Optician Abu Dhabi Mall,+971 26451566,,yateemdubai@yateemgroup.ae,Street 2 - Al Zahiyah - Abu Dhabi,Al Zahiyah,Abu Dhabi,UAE,"The Yateem legacy began as one of the first optical shops and pharmacy in Bahrain in the year 1910.Late Mr. Ahmed Ali Yateem, was a pioneer in the Middle East region and he saw the need for having a home-grown optical presence to serve the needs of the community.Following his footsteps, the late Mr. Abdulla Ali Yateem formed the foundation for spreading the yateem group through strategic expansions in the region.In 1971 Mr. Naser Abdulla Yateem who had joined the business, ventured out to tap...",http://yateemgroup.com/,2568,,https://uae.arablocal.com/business/view/yateem-optician-abu-dhabi-mall,https://www.facebook.com/yateemoptician/,https://www.instagram.com/yateemoptician_uae/,http://www.linkedin.com/company/yateem-opticians,,https://www.youtube.com/user/YateemOpticians
Aster Pharmacy Abu Dhabi Branch 5,+971 24489240,,info@asterpharmacy.com,"Building No. 37 Zayed The First St, Electra - Abu Dhabi - United Arab Emirates",Abu Dhabi Others,Abu Dhabi,UAE,"Starting the journey with just one pharmacy in 1987, Aster Pharmacy, a division of Aster DM Healthcare has evolved over the years & established itself as a responsible healthcare provider. Recognized today as the region’s leading pharmacy retail chain, Aster Pharmacy started with a focus on “delivering good health and happiness” through friendly neighborhood pharmacies which were customer centric and easily accessible.Over the Years, the network has expanded leaps & bounds, reaching up to a s...",http://asterpharmacy.com/pharmacy-network/,2519,800700600,https://uae.arablocal.com/business/view/aster-pharmacy-abu-dhabi-branch-5,https://www.facebook.com/AsterPharmacy,,https://www.linkedin.com/company/3880715,https://twitter.com/Aster_Pharmacy,https://www.youtube.com/channel/UCWTiiPzPymfbo11-dt2OGSQ
Al Neem Medicine and Medical Equip Store LLC,+971 65525598,,info@alneem.com,Ind # 18 Behind Tasjil Maliha Road Sharjah,Maliha Road,Sharjah,UAE,"We take pride in our dedication to the idea that quality care means more than simply the prompt filling of prescriptions. To us, quality care means you get the prescriptions and medications you need, along with the personal care and attention you deserve. When you come to Alneem pharmacy, you'll be able to count on dependable care from a knowledgeable pharmacist with 38 years of experience - one who takes the time to get to know you and your unique health needs. Our staff is caring, knowledge...",http://www.alneem.com/,2552,,https://uae.arablocal.com/business/view/al-neem-medicine-and-medical-equip-store-llc,https://www.facebook.com/Al-Neem-Group-103002944675548,,,,
Magrabi Optical Al Ain Mall,+971 37646171,,customercare@magrabi.com,"Al Ain Mall, Shop G39, Ground Floor - Othman Bin Affan St - Abu Dhabi - United Arab Emirates",Al Ain Others,Abu Dhabi,UAE,"MAGRABi – where eye care is both a science and an artFor over 90 years we’ve been leading innovations in eyewear while constantly challenging boundaries. From the opening of our first store in 1927 we’ve made the marriage of avant-garde style and state-of-the-art eye care our purpose in life.With more than 150 stores across 5 countries, and with 20 pioneering MAGRABi hospitals focused on vision and eye health research, we’re the Middle East’s leading fashion eyewear and medical eye care speci...",http://magrabi.com/,2347,,https://uae.arablocal.com/business/view/magrabi-optical-al-ain-mall,https://www.facebook.com/MAGRABiOptical/,https://www.instagram.com/magrabi/?hl=en,,https://twitter.com/MagrabiOpt,https://www.youtube.com/channel/UCR7irrK1degRm8kzggsygmA
Adam And Eve Specialized Medical Centre,+971 26767366,+971 521555300,,"Near Royal Rose Hotel, Pink Building (501) Floor 01, Electra Street",Electra Street,Abu Dhabi,UAE,"AESMC - one of the specialized medical Centre in Abu Dhabi aim to be a centre of excellence handling all medical specialties and delivering comprehensive state-of-the-art solutions in healthcare at an affordable cost. harmonize therapeutic expertise with technological advancements, and professional care with personal attention to offer patients true value and reassurance. Focused on providing primary care as well as preventive medical services offer a range of healthcare packages to match all...",http://aesmc.com/,2341,,https://uae.arablocal.com/business/view/adam-and-eve-specialized-medical-centre,,,,,
