Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Ac Nielsen Amer Shj Branch,+971 65724848,,,,P.O Box 22525,Dubai Others,Dubai,UAE,"A/C Nielsen Amer (Shj. Branch) is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1515,,https://uae.arablocal.com/business/view/ac-nielsen-amer-shj-branch,,,,,
Asmacs FZE,+971 65260711,,,,"Hamriyah Free Zone,",Hamriyah Free Zone,Sharjah,UAE,,,1647,,https://uae.arablocal.com/business/view/asmacs-fze,,,,,
Al-Hiba Intellectual Property,+971 42547700,,,,"Floor #1, Office #109,",Hor Al Anz East,Dubai,UAE,Al-Hiba Intellectual Property,,1495,,https://uae.arablocal.com/business/view/al-hiba-intellectual-property,,,,,
Al Arabia Operation and Maintenance LLC,+971 42851145,,,,"Juma Al Majid Building, Al Marakech Street, Umm Ramool,",Al Rashidiya,Dubai,UAE,Al Arabia Operation and Maintenance LLC,,1407,,https://uae.arablocal.com/business/view/al-arabia-operation-and-maintenance-llc,,,,,
Al Arab and Asia Oil Fields Services LLC,+971 65615711,,,,Sharjah,Umm Altaraffa,Sharjah,UAE,Al Arab and Asia Oil Fields Services LLC,,1383,,https://uae.arablocal.com/business/view/al-arab-and-asia-oil-fields-services-llc,,,,,
Dumarques Llc,+971 2211425,,,,Box No. 5899,Dubai Others,Dubai,UAE,"DUMARQUES LLC is located in Dubai, UAE. Company is working in Trading business activities.",,1390,,https://uae.arablocal.com/business/view/dumarques--llc,,,,,
Flex Facility Management LLC,+971 42205999,,,,"Office # 124, 1st Floor, Al Fahad Building # 4, Damascus Street, Al Qusais Ind. Second,",Al Qusais,Dubai,UAE,Flex Facility Management LLC,,1326,,https://uae.arablocal.com/business/view/flex-facility-management-llc,,,,,
Binghatti Holding Limited,+971 43863538,,,,"Level 1, Gate Village 6, Office 8 and 9, 312th Road,",Dubai International Financial Centre,Dubai,UAE,Binghatti Holding Limited,,1360,,https://uae.arablocal.com/business/view/binghatti-holding-limited,,,,,
Frontier General Trading Llc,+971 3517712,,,,P.O Box 120181,Dubai Others,Dubai,UAE,"FRONTIER GENERAL TRADING (L.L.C) is located in Dubai, UAE. Company is working in Small Business, General Traders business activities. If you have any questions, please contact us",,1283,,https://uae.arablocal.com/business/view/frontier-general-trading--llc,,,,,
Avenues World FZ LLC,+971 45531029,,,,"Building #10, 3rd Floor, Office #313,",Dubai Internet City,Dubai,UAE,Avenues World FZ LLC,,1306,,https://uae.arablocal.com/business/view/avenues-world-fz-llc,,,,,
American Global International University,,,,,Po Box 39362,Dubai Others,Dubai,UAE,"AMERICAN GLOBAL INTERNATIONAL UNIVERSITY is located in Dubai, UAE. Company is working in Trading, Agricultural, Veterinary Pesticides Trading, Colleges and Universities, Schools business activities.",,1274,,https://uae.arablocal.com/business/view/american-global-international-university,,,,,
Fujairah National Dairy Farm,+971 92443021,,,,"P.O.Box No.11680, DIB",Dibba,Fujairah,UAE,"FUJAIRAH NATL DAIRY FARM is located in P.O.Box No.11680, DIB, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1268,,https://uae.arablocal.com/business/view/fujairah-national-dairy-farm,,,,,
Al Suraa Al Faiqah Electrical Devices Trading,+971 65562505,,,,"Tehsil Building - Block B, 1st Floor, Industrial Area 13,",Industrial Area,Sharjah,UAE,Al Suraa Al Faiqah Electrical Devices Trading,,1262,,https://uae.arablocal.com/business/view/al-suraa-al-faiqah-electrical-devices-trading,,,,,
East Sun Trading,+971 42732812,,,,Area :,Dubai Others,Dubai,UAE,"East Sun Trading is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading business activities. If you have any questions, please contact us",,1261,,https://uae.arablocal.com/business/view/east-sun-trading,,,,,
Huawei Tech UAE FZ LLC,+971 43915608,,,,Dubai,Al Sufouh 2,Dubai,UAE,Huawei Tech UAE FZ LLC,,1566,,https://uae.arablocal.com/business/view/huawei-tech-uae-fz-llc,,,,,
110 General Trading LLC,+971 2738510,,,,Box No. 11217,Dubai Others,Dubai,UAE,"110 GENERAL TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,1216,,https://uae.arablocal.com/business/view/110-general-trading-llc,,,,,
Abu Faisal Services Est,+971 37654783,,,,"Khalifa Street,",Al Ain,Abu Dhabi,UAE,Abu Faisal Services Est,,1212,,https://uae.arablocal.com/business/view/abu-faisal-services-est,,,,,
Delma Co-Operative Society,+971 26669440,,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Delma Co-Operative Society,,1538,,https://uae.arablocal.com/business/view/delma-co-operative-society,,,,,
ASC FZ LLC,+971 44293900,,,,"2nd Floor, Building 4,",Dubai Outsource Zone,Dubai,UAE,,,1199,,https://uae.arablocal.com/business/view/asc-fz-llc,,,,,
Al Sariya General Trading,+971 42266110,,,,Al Shamal St,Dubai Others,Dubai,UAE,"AL SARIYA GENERAL TRADING is located in Dubai, UAE. Company is working in Overseas Business, Import and Export Agents, Trading business activities. If you have any questions, please contact us",,1197,,https://uae.arablocal.com/business/view/al-sariya-general-trading,,,,,
Ali Khalifa Ali Trading LLC,,,,,"Ground Floor, Bin Thani Building,",Deira,Dubai,UAE,Ali Khalifa Ali Trading LLC,,1498,,https://uae.arablocal.com/business/view/ali-khalifa-ali-trading-llc,,,,,
AppWhiz,+971 42949442,,,,"Business Avenue Building, Suite # 806, Sheikh Rashid Road,",Al Khabaisi,Dubai,UAE,,,1194,,https://uae.arablocal.com/business/view/appwhiz,,,,,
Alwafaa Group,,,,,"Mezzanine Floor , Atrium Building / NBQ Bank Building, Office # M23, Al Doha Street, Abu Hail,",Deira,Dubai,UAE,Alwafaa Group,,1185,,https://uae.arablocal.com/business/view/alwafaa-group,,,,,
Links Commercial Brokers LLC,+971 43325777,,,,"Third Floor, Fairmont Hotel, Sheikh Zayed Road,",Trade Center,Dubai,UAE,Links Commercial Brokers LLC,,1183,,https://uae.arablocal.com/business/view/links-commercial-brokers-llc,,,,,
Leadergate Typing and Administration,+971 25566051,,,,"Ground Floor, Building # 13, Mussafah (M-9),",Musaffah,Abu Dhabi,UAE,Leadergate Typing and Administration,,1162,,https://uae.arablocal.com/business/view/leadergate-typing-and-administration,,,,,
Al Baraka Manpower Supply Services,+971 42628816,,,,Dubai,Hor Al Anz,Dubai,UAE,Al Baraka Manpower Supply Services,,1158,,https://uae.arablocal.com/business/view/al-baraka-manpower-supply-services,,,,,
Belad Alkhair General Trading LLC,+971 2583559,,,,Box No. 7648,Dubai Airport Free Zone,Dubai,UAE,"BELAD ALKHAIR GENERAL TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,1151,,https://uae.arablocal.com/business/view/belad-alkhair-general-trading-llc,,,,,
Fitra International Fzco,+971 48045300,,,,P.O Box 16946,Dubai Others,Dubai,UAE,"Fitra International FZCO is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1144,,https://uae.arablocal.com/business/view/fitra-international-fzco,,,,,
Cactus General Trading LLC,+971 44477428,,,,P.O. Box: 234307,Sharjah Others,Sharjah,UAE,"Cactus Gen Trdg LLC is located in Dubai, UAE. Company is working in Small Business, General Traders business activities.",,1133,,https://uae.arablocal.com/business/view/cactus-general-trading-llc,,,,,
Al Tariq Trading Company LLC,+971 42263605,,,,"Al Zarooni building, Murshid Bazaar, , P.O. Box: 3305",Deira,Dubai,UAE,"Al Tariq Trading Company LLC is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading business activities.",,1120,,https://uae.arablocal.com/business/view/al-tariq-trading-company--llc,,,,,
Al Furqan Trading Co,+971 42676634,,,,Dubai,Deira,Dubai,UAE,Al Furqan Trading Co,,1378,,https://uae.arablocal.com/business/view/al-furqan-trading-co,,,,,
Leader Express,+971 42384664,,,,"5th Floor, Ministry of Economy Building, Office # 501, Near Clock Tower,",Business Village,Dubai,UAE,Leader Express,,1111,,https://uae.arablocal.com/business/view/leader-express,,,,,
Khazan,+971 65350606,,,,"11, P.O. Box: 66335",Industrial Area 11,Sharjah,UAE,"Khazan is located in Sharjah, UAE. Company is working in Overseas Business, Import and Export Agents business activities.",,1106,,https://uae.arablocal.com/business/view/khazan,,,,,
Al Wasi Technical Service LLC,+971 3937132,,,,Box No. 46486,Dubai Others,Dubai,UAE,"AL WASI TECHNICAL SERVICE LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Carpentry & Flooring, Contractors, Electromechanical Equipment Installation business activities.",,1100,,https://uae.arablocal.com/business/view/al-wasi-technical-service--llc,,,,,
Al Nameer Trading Agencies Co,+971 3349993,,,,Box No. 1604,Dubai Others,Dubai,UAE,"AL NAMEER TRADING AGENCIES CO. is located in Dubai, UAE. Company is working in Trading business activities.",,1101,,https://uae.arablocal.com/business/view/al-nameer-trading-agencies-co,,,,,
Al Rubaya Group,+971 26272000,,,,"7, ADNIC Bldg, Khalifa,",Al Danah,Abu Dhabi,UAE,Al Rubaya Group,,1086,,https://uae.arablocal.com/business/view/al-rubaya-group,,,,,
Wimpey Laboratories Dubai,+971 44410518,,,,"Floor # 41, Platinum Tower, Office # 4105,",Jumeirah Lakes towers,Dubai,UAE,Wimpey Laboratories Dubai,,1073,,https://uae.arablocal.com/business/view/wimpey-laboratories-dubai,,,,,
Omran Al Rawi Lawyer and Legal Consultancy,+971 42776297,,,,"Floor # 10 & 26, JBC # 04, Office # 1002 & 2603, AL Sarayat Street,",Jumeirah Lakes towers,Dubai,UAE,Omran Al Rawi Lawyer and Legal Consultancy,,1063,,https://uae.arablocal.com/business/view/omran-al-rawi-lawyer-and-legal-consultancy,,,,,
All Details Middle East Fz LLC,+971 44484670,,,,"Floor # 3, Building # 10, Dubai Media City(DMC),",Umm Suqeim,Dubai,UAE,All Details Middle East Fz LLC,,1057,,https://uae.arablocal.com/business/view/all-details-middle-east-fz-llc,,,,,
Lucky Engineering Services,+971 5395075,,,,P.O Box 40432,Dubai Others,Dubai,UAE,"Lucky Engineering Services is located in Dubai, UAE. Company is working in Trading, Basic Steel Products business activities.",,1054,,https://uae.arablocal.com/business/view/lucky-engineering-services,,,,,
Arab coupons,+971 44179611,,,,"Tower X2, Suite 403,",Jumeirah Lakes towers,Dubai,UAE,Arab coupons,,1048,,https://uae.arablocal.com/business/view/arab-coupons,,,,,
Anderson HR Consulting and Training -AHRC FZ LLC,+971 43658363,,,,"Floor # 8, Business Central Tower WA, Dubai Media City(DMC),",Umm Suqeim,Dubai,UAE,Anderson HR Consulting and Training -AHRC FZ LLC,,1046,,https://uae.arablocal.com/business/view/anderson-hr-consulting-and-training-ahrc-fz-llc,,,,,
Almentor FZCO,+971 43448248,,,,"Floor # 2, Techno Hub 2, 1A 4 A Street,",Dubai Silicon Oasis,Dubai,UAE,Almentor FZCO,,1046,,https://uae.arablocal.com/business/view/almentor-fzco,,,,,
Advanced Facilities Management,+971 28829023,,,,Abu Dhabi,Al Bateen,Abu Dhabi,UAE,Advanced Facilities Management,,1040,,https://uae.arablocal.com/business/view/advanced-facilities-management,,,,,
Farooq International Stationery W L L Abu Dhabi Branch,+971 26210056,,,,44306,Abu Dhabi City,Abu Dhabi,UAE,"Farooq International Stationery - W L L - Abu Dhabi - Branch is located in Abu Dhabi, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1039,,https://uae.arablocal.com/business/view/farooq-international-stationery--w-l-l--abu-dhabi--branch,,,,,
Al Nasr Services Co,+971 65690348,,,,Sharjah,Al Jubail,Sharjah,UAE,Al Nasr Services Co,,1418,,https://uae.arablocal.com/business/view/al-nasr-services-co,,,,,
Al Khawaneej Tyre Co,+971 65338271,,,,Sharjah,Industrial Area 7,Sharjah,UAE,Al Khawaneej Tyre Co,,1351,,https://uae.arablocal.com/business/view/al-khawaneej-tyre-co,,,,,
Gulf Horizon International Establishment,+971 6347888,,,,P.O Box 43248,Dubai Others,Dubai,UAE,"GULF HORIZON INTERNATIONAL ESTABLISHMENT is located in Dubai, UAE. Company is working in Overseas Business, Import and Export Agents business activities.",,1025,,https://uae.arablocal.com/business/view/gulf-horizon-international-establishment,,,,,
1890 LLC,+971 3933633,,,,Box No. 290,Dubai Others,Dubai,UAE,"1890 LLC is located in Dubai, UAE. Company is working in Trading, Fire Safety Equipment business activities. If you have any questions, please contact us",,1023,,https://uae.arablocal.com/business/view/1890-llc,,,,,
Al Kharbash Facilities Management,+971 43338733,,,,"Ras Al Khor Industrial Area # 2,",Ras Al Khor,Dubai,UAE,Al Kharbash Facilities Management,,1017,,https://uae.arablocal.com/business/view/al-kharbash-facilities-management,,,,,
Al Warda Al Masiyah Facilities Management Services LLC,+971 43244303,,,,"Ground Floor, Deira Business Center, Office # 09, Street # 16-A, Al Khabaisi,",Deira,Dubai,UAE,Al Warda Al Masiyah Facilities Management Services LLC,,1014,,https://uae.arablocal.com/business/view/al-warda-al-masiyah-facilities-management-services-llc,,,,,
Elixir General Trading Llc,+971 42251265,,,,"103, Al Buteen building, Murshid Bazar, P.O. Box: 1549",Deira,Dubai,UAE,"Elixir General Trading LLC is located in Dubai, UAE. Company is working in Overseas Business, Import and Export Agents business activities.",,1006,,https://uae.arablocal.com/business/view/elixir-general-trading--llc,,,,,
Cluster General Trading Llc,+971 2222207,,,,Box No. 35888,Dubai Others,Dubai,UAE,"CLUSTER GENERAL TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,1006,,https://uae.arablocal.com/business/view/cluster-general-trading--llc,,,,,
Fine Fair Ready Made Garments Trading Llc Al Alain Branch,+971 37557266,,,,P.O. Box: 105756,Al Ain,Abu Dhabi,UAE,"FINE FAIR READY MADE GARMENTS TRADING - LLC - AL ALAIN BRANCH is located in Al Ain, UAE. Company is working in Professional Services, Tailors business activities.",,1003,,https://uae.arablocal.com/business/view/fine-fair-ready-made-garments-trading---llc--al-alain-branch,,,,,
Mohammed AL Qubaisi Enterprises LLC,+971 26423999,,,,"Al Dhafrah,",Abu Dhabi City,Abu Dhabi,UAE,Mohammed AL Qubaisi Enterprises LLC,,1003,,https://uae.arablocal.com/business/view/mohammed-al-qubaisi-enterprises-llc,,,,,
Advance Creations,+971 42563075,,,,"Office # 512, 5th Floor, City Tower Building, Damascus Street,",Al Qusais,Dubai,UAE,Advance Creations,,998,,https://uae.arablocal.com/business/view/advance-creations,,,,,
CA Mena FZ LLC,+971 43616710,,,,"Dubai Internet City (DIC),",Dubai Internet City,Dubai,UAE,CA Mena FZ LLC,,992,,https://uae.arablocal.com/business/view/ca-mena-fz-llc,,,,,
Crown International Trading Company Limited,+971 26449272,,,,"1003, Natl Bank of building, Salam St, P.O. Box: 47428",Salam Street,Abu Dhabi,UAE,"Crown International Trading Company Limited is located in Abu Dhabi, UAE. Company is working in Overseas Business, Import and Export Agents, Small Business, General Traders business activities.",,991,,https://uae.arablocal.com/business/view/crown-international-trading-company-limited,,,,,
G R C Group Of Companies,+971 42724914,,,,Area :,Deira,Dubai,UAE,"G R C Group Of Companies is located in Dubai, UAE. Company is working in Small Business, General Traders business activities. If you have any questions, please contact us",,988,,https://uae.arablocal.com/business/view/g-r-c-group-of-companies,,,,,
Al Serb Trading Co LLC,+971 3554815,,,,Box No. 51268,Dubai Others,Dubai,UAE,"AL SERB TRADING CO LLC is located in Dubai, UAE. Company is working in Trading business activities.",,979,,https://uae.arablocal.com/business/view/al-serb-trading-co--llc,,,,,
Al Azbi Trading LLC,+971 3540235,,,,Box No. 46065,Dubai Others,Dubai,UAE,"AL AZBI TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,979,,https://uae.arablocal.com/business/view/al-azbi-trading-llc,,,,,
Al Mujahid Trading And General Contracting Establishment,+971 2413564,,,,P.O. Box: 46681,Abu Dhabi City,Abu Dhabi,UAE,"AL MUJAHID TRADING & GENERAL CONTRACTING ESTABLISHMENT is located in Abu Dhabi, UAE. Company is working in Retail Services, Packaging Solutions business activities.",,977,,https://uae.arablocal.com/business/view/al-mujahid-trading--and-general-contracting-establishment,,,,,
Consulum FZ LLC,+971 43606591,,,,"Ground Floor, Loft Office 3, Dubai Media City(DMC),",Umm Suqeim,Dubai,UAE,Consulum FZ LLC,,986,,https://uae.arablocal.com/business/view/consulum-fz-llc,,,,,
A H Trading Establishment,+971 42674216,,,,"Al Qusais, P.O. Box: 12521",Al Qusais,Dubai,UAE,"A H Trading Establishment is located in Dubai, UAE. Company is working in Small Business, General Traders business activities.",,972,,https://uae.arablocal.com/business/view/a-h-trading-establishment,,,,,
Arab General Trading Co LLC,+971 48819995,,,,P.O.Box No.17999,Abu Dhabi City,Abu Dhabi,UAE,"ARAB GENERAL TRADING CO LLC is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,964,,https://uae.arablocal.com/business/view/arab-general-trading-co-llc,,,,,
Petro-Tech Trading Co LLC,+971 65260073,,,,"Hamriyah Free Zone,",Hamriyah Free Zone,Sharjah,UAE,Petro-Tech Trading Co LLC,,962,,https://uae.arablocal.com/business/view/petro-tech-trading-co-llc,,,,,
Connect Telecom General Trading Llc,+971 2255402,,,,Box No. 63826,Dubai Others,Dubai,UAE,"CONNECT TELECOM GENERAL TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,954,,https://uae.arablocal.com/business/view/connect-telecom-general-trading--llc,,,,,
Al Firdous General Trading LLC,+971 47447577,,,,Al Karama,Al Karama,Ajman,UAE,"AL FIRDOUS GENERAL TRADING L.L.C is located in Ajman, UAE. Company is working in Overseas Business, Import and Export Agents business activities.",,960,,https://uae.arablocal.com/business/view/al-firdous-general-trading-llc,,,,,
Al Saeed General Trading,+971 42621611,,,,"Hor Al Anz,",Deira,Dubai,UAE,Al Saeed General Trading,,1175,,https://uae.arablocal.com/business/view/al-saeed-general-trading,,,,,
1 Stop Auto Electrician,+971 72223773,,,,Area :,Ras Al Khaimah,Ras Al Khaimah,UAE,"1 Stop Auto Electrician is located in Ras Al Khaimah, UAE. Company is working in Trading, Auto Spare Parts, Components Trading, Bicycles & Spare Parts, Car Parts and Accessories business activities.",,949,,https://uae.arablocal.com/business/view/1-stop-auto-electrician,,,,,
Al Fayez General Trading LLC,+971 42958571,,,,P.O Box 64336,Dubai Others,Dubai,UAE,"Al Fayez General Trading (LLC) is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,944,,https://uae.arablocal.com/business/view/al-fayez-general-trading-llc,,,,,
Adzouk Advertising FZ LLC,+971 44549740,,,,"Floor # 4, Loft Office# 2, Dubai Media City(DMC),",Umm Suqeim,Dubai,UAE,Adzouk Advertising FZ LLC,,941,,https://uae.arablocal.com/business/view/adzouk-advertising-fz-llc,,,,,
Alokozay General Trading LLC,+971 48871155,,,,Box No. 119842,Abu Dhabi City,Abu Dhabi,UAE,"We build brands that people love - and that add value to the everyday lives of millions around the world. We’re the Alokozay Group of Companies. With a glorious history that spans over a century, we’re one of the largest FMCG multinational companies in the Middle East. Headquartered in Dubai, we have a wide manufacturing and distribution network spread across the Middle East, Asia, Africa, North America and Europe. As a brand, we’re passionate about offering our customers only the best, this ...",,936,,https://uae.arablocal.com/business/view/alokozay-general-trading-llc,,,,,
Iftin General Trading Fze,+971 65261002,,,,P.O. Box: 42336,Al Hamriya Free Zone,Sharjah,UAE,"IFTIN General Trading FZE is located in Sharjah, UAE. Company is working in Overseas Business, Import and Export Agents business activities.",,928,,https://uae.arablocal.com/business/view/iftin-general-trading-fze,,,,,
Al Rowaad Electrical Sanitary And Ac Installations LLC,+971 2954595,,,,Box No. 5492,Dubai Others,Dubai,UAE,"AL ROWAAD ELECTRICAL , SANITARY & A/C INSTALLATIONS LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Electrical Fitting, Plumbing & Sanitary business activities.",,923,,https://uae.arablocal.com/business/view/al-rowaad-electrical--sanitary--and-ac-installations--llc,,,,,
Weidmuller Middle East,+971 42103000,+971 504814832,,,"HQ Building - C Wing, Office # 705,",Dubai Silicon Oasis,Dubai,UAE,Weidmuller Middle East,,1227,,https://uae.arablocal.com/business/view/weidmuller-middle-east,,,,,
Ajman Labour Recruitment Services,+971 67424747,,,,Sharjah,Al Rashidiya 3,Sharjah,UAE,Ajman Labour Recruitment Services,,914,,https://uae.arablocal.com/business/view/ajman-labour-recruitment-services,,,,,
Arabian Resources Trading Establishment,+971 25559393,,,,"M 9, Mussafah, P.O. Box: 34128",Sharjah Others,Sharjah,UAE,"Arabian Resources Trading Establishment is located in Abu Dhabi, UAE. Company is working in Small Business, General Traders, Oil & Natural Gas business activities.",,903,,https://uae.arablocal.com/business/view/arabian-resources-trading-establishment,,,,,
Habib Gulzar International LLC,+971 42255077,,,,Dubai,Al Barsha 1,Dubai,UAE,Habib Gulzar International LLC,,1165,,https://uae.arablocal.com/business/view/habib-gulzar-international-llc,,,,,
Sky Packing Material Trading Llc,+971 65441772,,,,"Near Geco Round About, 12, P.O. Box: 47404",Industrial Area 12,Sharjah,UAE,"Sky Packing Material Trading LLC is located in Sharjah, UAE. Company is working in Retail Services, Packaging Solutions business activities.",,885,,https://uae.arablocal.com/business/view/sky-packing-material-trading-llc,,,,,
Classic Employment Demand Services,+971 43995591,,,,"Floor # 38, Concord Tower, Office # 3810, Al Bourooj Street,",Dubai Media City,Dubai,UAE,Classic Employment Demand Services,,883,,https://uae.arablocal.com/business/view/classic-employment-demand-services,,,,,
Audex Fujairah L.L FZE,+971 92281075,,,,"Unit 6, Ground, Block U Unit 6, Fujairah Free Zone,",Free Zone,Fujairah,UAE,Audex Fujairah L.L FZE,,883,,https://uae.arablocal.com/business/view/audex-fujairah-l-l-fze,,,,,
VFS Tasheel International DMCC,+971 24458095,,,,"Al Khalidiyah,",Al Khalidiyah,Abu Dhabi,UAE,VFS Tasheel International DMCC,,880,,https://uae.arablocal.com/business/view/vfs-tasheel-international-dmcc,,,,,
Abdulla Hussain And Sons Grp,+971 26272555,,,,Khalifa Street,Khalifa City,Abu Dhabi,UAE,"Abdulla Hussain & Sons Grp is located in Abu Dhabi, UAE. Company is working in Small Business, General Traders business activities. If you have any questions, please contact us",,877,,https://uae.arablocal.com/business/view/abdulla-hussain-and-sons-grp,,,,,
Assiriah Collection DMCC,+971 43792954,,,,"Level#15, The Dome Tower, Floor#1502,",Jumeirah Lakes towers,Dubai,UAE,Assiriah Collection DMCC,,876,,https://uae.arablocal.com/business/view/assiriah-collection-dmcc,,,,,
East Coast Contracting Co Fujairah,+971 92222349,,,,P.O.Box No.153,Fujairah,Fujairah,UAE,"EAST COAST CONTRACTING CO is located in Fujairah, UAE. Company is working in Others business activities.",,871,,https://uae.arablocal.com/business/view/east-coast-contracting-co-fujairah,,,,,
Rsr Trading Fzc,+971 65260426,,,,Area :,Hamriya Free Zone,Sharjah,UAE,"Rsr Trading Fzc is located in Sharjah, UAE. Company is working in Overseas Business, Import and Export Agents business activities.",,864,,https://uae.arablocal.com/business/view/rsr-trading-fzc,,,,,
K G International Marketing,+971 67444614,,,,Area :,Ajman Free Zone,Ajman,UAE,"K G Int'l Marketing is located in Ajman, UAE. Company is working in Overseas Business, Import and Export Agents business activities. If you have any questions, please contact us",,863,,https://uae.arablocal.com/business/view/k-g-international-marketing,,,,,
Al Quds Mechanical Engineering Est,+971 37211210,,,,P.O.Box 19314,Al Ain,Abu Dhabi,UAE,"AL QUDS MECHANICAL ENGINEERING EST. is located in Al Ain, UAE. Company is working in Professional Services, Air Conditioning business activities.",,855,,https://uae.arablocal.com/business/view/al-quds-mechanical-engineering-est,,,,,
Al Ward Al Jori Ladies Fashion Tailoring,+971 37515581,,,,Area :,Al Ain,Abu Dhabi,UAE,"Al Ward Al Jori Ladies Fashion Tailoring is located in Al Ain, UAE. Company is working in Others business activities.",,853,,https://uae.arablocal.com/business/view/al-ward-al-jori-ladies-fashion-tailoring,,,,,
Sino And Gulf General Trading Collc,+971 42268386,+971 2265370,,,Box No. 3799,Dubai Others,Dubai,UAE,"SINO & GULF GENERAL TRADING CO.LLC is located in Dubai, UAE. Company is working in Procurement, Trading business activities.",,850,,https://uae.arablocal.com/business/view/sino--and--gulf-general-trading-collc,,,,,
Gv Tech Fzc,+971 505185302,,,,PO Box 43509,Ajman Others,Ajman,UAE,"G.V TECH F-Z-C is located in Ajman, UAE. Company is working in Others business activities.",,848,,https://uae.arablocal.com/business/view/gv-tech-fzc,,,,,
AA Engineering,+971 48818330,,,,"25, T5,",Saif Zone,Sharjah,UAE,AA Engineering,,845,,https://uae.arablocal.com/business/view/aa-engineering,,,,,
