Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Falaj Pure Drinking Water Co,+971 67667040,,,Umm Al Quwain,Industrial Area,Umm Al Quwain,UAE,Al Falaj Pure Drinking Water Co,,,2702,https://uae.arablocal.com/business/view/al-falaj-pure-drinking-water-co,,,,,
Sana Mineral Water LLC Dubai,+971 42723047,,,Dubai,Al Murar,Dubai,UAE,Sana Mineral Water LLC Dubai,,,2356,https://uae.arablocal.com/business/view/sana-mineral-water-llc-dubai,,,,,
Al Kawkab Sewing Machines and Accessories Trading LLC,+971 42290210,+971 505505204,,"Ground Floor, Sheikh Ahmed Bin Juma Al Maktoum Building, Shop# 1, Naif,",Deira,Dubai,UAE,Al Kawkab Sewing Machines and Accessories Trading LLC,,,2476,https://uae.arablocal.com/business/view/al-kawkab-sewing-machines-and-accessories-trading-llc,,,,,
Al Ain Mineral Water Co Sharjah,+971 65343412,,,Sharjah,Industrial Area 13,Sharjah,UAE,Al Ain Mineral Water Co Sharjah,,,2147,https://uae.arablocal.com/business/view/al-ain-mineral-water-co-sharjah,,,,,
Masafi Mineral Water Co LLC Sharjah,+971 65420225,,,Sharjah,Industrial Area 5,Sharjah,UAE,Masafi Mineral Water Co LLC Sharjah,,,2097,https://uae.arablocal.com/business/view/masafi-mineral-water-co-llc-sharjah,,,,,
Gulf Carpet International FZE Jebel Ali Dubai,+971 48812654,,,"Jebel Ali,",Jebel Ali,Dubai,UAE,Gulf Carpet International FZE Jebel Ali Dubai,,,2068,https://uae.arablocal.com/business/view/gulf-carpet-international-fze-jebel-ali-dubai,,,,,
Dawn Mineral Water Co,+971 67485222,,,"Al Jurf,",Al Jurf,Ajman,UAE,Dawn Mineral Water Co,,,1881,https://uae.arablocal.com/business/view/dawn-mineral-water-co,,,,,
Hatta Mineral Water Co,+971 48523424,,,Dubai,Hatta,Dubai,UAE,Hatta Mineral Water Co,,,1870,https://uae.arablocal.com/business/view/hatta-mineral-water-co,,,,,
Al Arabi Pure Drinking Water Factory,+971 67646869,,,Umm Al Quwain,Industrial Area,Umm Al Quwain,UAE,Al Arabi Pure Drinking Water Factory,,,1830,https://uae.arablocal.com/business/view/al-arabi-pure-drinking-water-factory,,,,,
Camira Fabrics,+971 43967629,,,"GPO,",Al Quoz,Dubai,UAE,Camira Fabrics,,,1813,https://uae.arablocal.com/business/view/camira-fabrics,,,,,
Abu Faisal Al Raeesi Trading,+971 37642662,,,Area :,Al Ain,Abu Dhabi,UAE,"Abu Faisal Al Raeesi Trading is located in Al Ain, UAE. Company is working in Clothing and Accessories, Mens Clothes business activities.",,,1785,https://uae.arablocal.com/business/view/abu-faisal-al-raeesi-trading,,,,,
Al Ain Mineral Water Co Abu Dhabi,+971 26731811,,,Abu Dhabi,Zayed Port,Abu Dhabi,UAE,Al Ain Mineral Water Co Abu Dhabi,,,1808,https://uae.arablocal.com/business/view/al-ain-mineral-water-co-abu-dhabi,,,,,
Al Utba Curtains and Decoration LLC,+971 26210449,+971 505329391,,"Ground Floor, Sail Salam Saqub Building, Zayid 1 Khalidiyah Street,",Al Khalidiyah,Abu Dhabi,UAE,Al Utba Curtains and Decoration LLC,,,1759,https://uae.arablocal.com/business/view/al-utba-curtains-and-decoration-llc,,,,,
Al Faraj General Trading,+971 42267504,,,Dubai,Al Sabkha,Dubai,UAE,Al Faraj General Trading,,,1749,https://uae.arablocal.com/business/view/al-faraj-general-trading,,,,,
C D C Abu Dhabi LLC Couture Dubai Branch,+971 43235322,,,Box No. 121717,Dubai Others,Dubai,UAE,Women's Footwear And Bag Trading,,,1710,https://uae.arablocal.com/business/view/c-d-c-abu-dhabi-llc-couture-dubai-branch,,,,,
Ajman Tannery Factory,+971 6438668,,,P.O. Box: 2100,Sharjah Others,Sharjah,UAE,"AJMAN TANNERY FACTORY is located in Sharjah, UAE. Company is working in Handbags & Leather Products business activities.",,,1641,https://uae.arablocal.com/business/view/ajman-tannery-factory,,,,,
New Romana Water Purification LLC,+971 25559525,,,Abu Dhabi,Mussafah 3,Abu Dhabi,UAE,New Romana Water Purification LLC,,,1630,https://uae.arablocal.com/business/view/new-romana-water-purification-llc,,,,,
Zara Home Dubai Marina Dubai,+971 44380650,,,Dubai,Dubai marina,Dubai,UAE,Zara Home Dubai Marina Dubai,,,1590,https://uae.arablocal.com/business/view/zara-home-dubai-marina-dubai,,,,,
Hussain General Trading Est,+971 42232490,,,Dubai,Naif,Dubai,UAE,Hussain General Trading Est,,,1583,https://uae.arablocal.com/business/view/hussain-general-trading-est,,,,,
Hilali Light Industries Co,+971 65330101,,,Sharjah,Industrial Area 1,Sharjah,UAE,Hilali Light Industries Co,,,1551,https://uae.arablocal.com/business/view/hilali-light-industries-co,,,,,
Al Mana Color Stamps LLC,+971 42663444,,,"Ground, Ismail Al Bana,",Hor Al Anz East,Dubai,UAE,Al Mana Color Stamps LLC,,,1516,https://uae.arablocal.com/business/view/al-mana-color-stamps-llc,,,,,
Gulfa Mineral Water and Processing Industries Co Ltd Al rashidiya 1 Ajman,+971 67407100,,,Ajman,Al Rashidiya 1,Ajman,UAE,Gulfa Mineral Water and Processing Industries Co Ltd Al rashidiya 1 Ajman,,,1493,https://uae.arablocal.com/business/view/gulfa-mineral-water-and-processing-industries-co-ltd-al-rashidiya-1-ajman,,,,,
Biba Boutique,+971 65624217,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"Biba Boutique is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,1483,https://uae.arablocal.com/business/view/biba-boutique,,,,,
Adidas Emerging Markets Fze,+971 42068000,,,"Box No. 32512, Jebel Ali Free Zone",Jebel Ali Freezone,Dubai,UAE,"adidas emerging markets fze is located in Jebel Ali Free Zone, UAE. Company is working in Clothing and Accessories, Sportswear business activities.",,,1481,https://uae.arablocal.com/business/view/adidas-emerging-markets-fze,,,,,
Zamzam Pharmacy Sharjah,+971 65352888,,,"zamzam packaging,",Industrial Area 15,Sharjah,UAE,Zamzam Pharmacy Sharjah,,,1448,https://uae.arablocal.com/business/view/zamzam-pharmacy-sharjah,,,,,
Alibaba Shops Trading,+971 65725928,,,Area :,Sharjah Others,Sharjah,UAE,"Alibaba Shops Trading is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,1413,https://uae.arablocal.com/business/view/alibaba-shops-trading,,,,,
Al Tayeb Detergents Ind. L.L.C,+971 65358007,,,"Ground Floor, Shed # 5, Industrial Area 17 ,",Industrial Area,Sharjah,UAE,Al Tayeb Detergents Ind. L.L.C,,,1392,https://uae.arablocal.com/business/view/al-tayeb-detergents-ind-l-l-c,,,,,
Brands For Less L L C Abudhabi Branch,+971 26716033,,,P.O.Box 53790,Al Ain,Abu Dhabi,UAE,"Brands For Less - L L C - Abudhabi Branch is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities. If you have any questions, please contact us",,,1336,https://uae.arablocal.com/business/view/brands-for-less-l-l-c-abudhabi-branch,,,,,
Awafi Mineral Water Est Ras Al Khaimah,+971 72461222,,,Ras Al Khaimah,Dibba Masafi,Ras Al Khaimah,UAE,Awafi Mineral Water Est Ras Al Khaimah,,,1360,https://uae.arablocal.com/business/view/awafi-mineral-water-est-ras-al-khaimah,,,,,
Al Fajar Detergent Industries Co LLC,+971 67409372,,,Ajman,Ajman Industrial 1,Ajman,UAE,Al Fajar Detergent Industries Co LLC,,,1299,https://uae.arablocal.com/business/view/al-fajar-detergent-industries-co-llc,,,,,
Al Mana Retail LLC LLC,+971 3511190,,,Box No. 115183,Dubai Others,Dubai,UAE,"AL MANA RETAIL L.L.C LLC is located in Dubai, UAE. Company is working in Clothing and Accessories, Shoes, Gifts business activities.",,,1292,https://uae.arablocal.com/business/view/al-mana-retail--llc--llc,,,,,
Al Bayan Purification and Potable Water LLC Sharjah,+971 65345357,,,Sharjah,Industrial Area 17,Sharjah,UAE,Al Bayan Purification and Potable Water LLC Sharjah,,,1241,https://uae.arablocal.com/business/view/al-bayan-purification-and-potable-water-llc-sharjah,,,,,
Al Fajer Pure Water Co,+971 67666113,,,Umm Al Quwain,Industrial Area,Umm Al Quwain,UAE,Al Fajer Pure Water Co,,,1233,https://uae.arablocal.com/business/view/al-fajer-pure-water-co,,,,,
Awafi Mineral Water Est Dubai,+971 42853353,,,Dubai,Umm Ramool,Dubai,UAE,Awafi Mineral Water Est Dubai,,,1220,https://uae.arablocal.com/business/view/awafi-mineral-water-est-dubai,,,,,
Abu Dhabi Printing Services LLC ADDPRINT,+971 42274550,,,"Ground Floor, Bhatia Brothers Building, Al Sabka Road,",Deira,Dubai,UAE,Abu Dhabi Printing Services LLC ADDPRINT,,,1218,https://uae.arablocal.com/business/view/abu-dhabi-printing-services-llc-addprint,,,,,
Oasis Water Company Dubai,+971 48845656,,,"Jebel Ali Industrial Area # 2,",Jebel Ali Industrial Area # 2,Dubai,UAE,Oasis Water Company Dubai,,,1207,https://uae.arablocal.com/business/view/oasis-water-company-dubai,,,,,
Al Bayan Purification and Potable Water LLC Dubai,+971 42733779,,,Dubai,Muteena,Dubai,UAE,Al Bayan Purification and Potable Water LLC Dubai,,,1207,https://uae.arablocal.com/business/view/al-bayan-purification-and-potable-water-llc-dubai,,,,,
Al Bayan Purification and Potable Water LLC Abu Dhabi,+971 25510370,,,Abu Dhabi,Mussafah 40,Abu Dhabi,UAE,Al Bayan Purification and Potable Water LLC Abu Dhabi,,,1206,https://uae.arablocal.com/business/view/al-bayan-purification-and-potable-water-llc-abu-dhabi,,,,,
Jeema Mineral Water PSC,+971 43210706,,,Dubai,Ras Al Khor Industrial Area 2,Dubai,UAE,Jeema Mineral Water PSC,,,1190,https://uae.arablocal.com/business/view/jeema-mineral-water-psc,,,,,
Najmat Bait Al Madeena Trading Llc Dubai Branch,+971 43388439,+971 3429825,,Box No. 14874,Dubai Others,Dubai,UAE,"NAJMAT BAIT AL MADEENA TRADING L.L.C (DUBAI BRANCH) is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes business activities.",,,1173,https://uae.arablocal.com/business/view/najmat-bait-al-madeena-trading-llc-dubai-branch,,,,,
Essa Abdul Rahman Plastic Bags Trading Al Qusais Dubai,+971 42670921,,,"Ground Floor, Warehouse B 23, 711th Street,",Al Qusais,Dubai,UAE,Essa Abdul Rahman Plastic Bags Trading Al Qusais Dubai,,,1169,https://uae.arablocal.com/business/view/essa-abdul-rahman-plastic-bags-trading-al-qusais-dubai,,,,,
Ahmed Awadh Sewing Machine Repair Shop,+971 26323341,,,Abu Dhabi,Madinat Zayed,Abu Dhabi,UAE,Ahmed Awadh Sewing Machine Repair Shop,,,1139,https://uae.arablocal.com/business/view/ahmed-awadh-sewing-machine-repair-shop,,,,,
Abu Karwa Sewing Machines Trading LLC,+971 42250067,,,Dubai,Deira,Dubai,UAE,Abu Karwa Sewing Machines Trading LLC,,,1139,https://uae.arablocal.com/business/view/abu-karwa-sewing-machines-trading-llc,,,,,
Addprint Stamp Manufacturing LLC Deira Dubai,+971 42274550,,,"Ground Floor, Bhatia Brothers Building, Al Sabkha,",Deira,Dubai,UAE,Addprint Stamp Manufacturing LLC Deira Dubai,,,1138,https://uae.arablocal.com/business/view/addprint-stamp-manufacturing-llc-deira-dubai,,,,,
Nespresso Abu Dhabi,+971 26509950,,,"Abu Dhabi Mall, Street # 10, Tourist Club,",Abu Dhabi City,Abu Dhabi,UAE,Nespresso Abu Dhabi,,,1136,https://uae.arablocal.com/business/view/nespresso-abu-dhabi,,,,,
Marco Polo Gulf Trading FZE,+971 48872002,,,"Jebel Ali,",Jebel Ali,Dubai,UAE,Marco Polo Gulf Trading FZE,,,1120,https://uae.arablocal.com/business/view/marco-polo-gulf-trading-fze,,,,,
Arabian Pure Drinking Water LLC,+971 67646869,,,"G, Arabian Water, UAQ Industrial,",Industrial Area,Sharjah,UAE,Arabian Pure Drinking Water LLC,,,1088,https://uae.arablocal.com/business/view/arabian-pure-drinking-water-llc,,,,,
Qumsieh Intellectual Property,+971 42281848,,,"Riggat Al Buteen,",Deira,Dubai,UAE,Qumsieh Intellectual Property,,,1083,https://uae.arablocal.com/business/view/qumsieh-intellectual-property,,,,,
Chemex Chemical and Hygiene Products LLC Abu Dhabi,+971 25597277,,,"Hamdan Street,",Mussafah 45,Abu Dhabi,UAE,Chemex Chemical and Hygiene Products LLC Abu Dhabi,,,1082,https://uae.arablocal.com/business/view/chemex-chemical-and-hygiene-products-llc-abu-dhabi,,,,,
Attar Mohammed Dawood Trading LLC,+971 2259132,,,Box No. 20623,Dubai Others,Dubai,UAE,"ATTAR MOHAMMED DAWOOD TRADING LLC is located in Dubai, UAE. Company is working in Trading, Agarwood & Incense Trading, Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Textile, Handbags & Leather Products business activities. If you have any questions, please contact us",,,1075,https://uae.arablocal.com/business/view/attar-mohammed-dawood-trading-llc,,,,,
Haji Mohd Imam Metalic Const Ind LLC,+971 65433491,,,Sharjah,Industrial Area 3,Sharjah,UAE,Haji Mohd Imam Metalic Const Ind LLC,,,1042,https://uae.arablocal.com/business/view/haji-mohd-imam-metalic-const-ind-llc,,,,,
Al Baraka Cleaning Materials Est,+971 26666452,,,Abu Dhabi,Musaffah,Abu Dhabi,UAE,Al Baraka Cleaning Materials Est,,,1036,https://uae.arablocal.com/business/view/al-baraka-cleaning-materials-est,,,,,
Areeca Furniture and Curtains,+971 26790010,,,"Ground Floor, Said Rashid Al Nuaimi Building, Al Mina Road, Tourist Club,",Abu Dhabi City,Abu Dhabi,UAE,Areeca Furniture and Curtains,,,1028,https://uae.arablocal.com/business/view/areeca-furniture-and-curtains,,,,,
Houshmand Trading Co Llc,+971 42284614,,,Box No. 376340,Dubai Others,Dubai,UAE,"HOUSHMAND TRADING CO. LLC is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes business activities.",,,1023,https://uae.arablocal.com/business/view/houshmand-trading-co-llc,,,,,
Medas Furniture,+971 65682780,,,Sharjah,Al Shuwaihean,Sharjah,UAE,Medas Furniture,,,1021,https://uae.arablocal.com/business/view/medas-furniture,,,,,
Noor Life Pure Water LLC,+971 44258444,,,"Warehouse # 416,",Dubai Maritime City,Dubai,UAE,Noor Life Pure Water LLC,,,1020,https://uae.arablocal.com/business/view/noor-life-pure-water-llc,,,,,
Al Jaliya General Trading Company LLC,+971 48855925,,,"Warehouse # 5/16/17/20,",Jebel Ali Industrial Area # 1,Dubai,UAE,Al Jaliya General Trading Company LLC,,,994,https://uae.arablocal.com/business/view/al-jaliya-general-trading-company-llc,,,,,
Al Najma Cleaning Materials Trading,+971 72338226,,,"Office # 01, Ground Floor,",Al Mamourah,Ras Al Khaimah,UAE,Al Najma Cleaning Materials Trading,,,1008,https://uae.arablocal.com/business/view/al-najma-cleaning-materials-trading,,,,,
Al Ain Mineral Water Co Dubai,+971 43471190,,,Dubai,Al Quoz Industrial Area 4,Dubai,UAE,Al Ain Mineral Water Co Dubai,,,998,https://uae.arablocal.com/business/view/al-ain-mineral-water-co-dubai,,,,,
Al Beed for Stamps,+971 26672555,,,Abu Dhabi,Al Hisn,Abu Dhabi,UAE,Al Beed for Stamps,,,991,https://uae.arablocal.com/business/view/al-beed-for-stamps,,,,,
Al Itqan Cleaning Materials Est,+971 25523537,,,Abu Dhabi,Mussafah 11,Abu Dhabi,UAE,Al Itqan Cleaning Materials Est,,,989,https://uae.arablocal.com/business/view/al-itqan-cleaning-materials-est,,,,,
Aal Mir Antiseptic Factory Ltd,+971 65342606,,,Sharjah,Industrial Area 11,Sharjah,UAE,Aal Mir Antiseptic Factory Ltd,,,983,https://uae.arablocal.com/business/view/aal-mir-antiseptic-factory-ltd,,,,,
Al Burairat Sweet Water,+971 72443121,,,Ras Al Khaimah,Al Kharan,Ras Al Khaimah,UAE,Al Burairat Sweet Water,,,967,https://uae.arablocal.com/business/view/al-burairat-sweet-water,,,,,
Ajyad Furniture,+971 65354899,,,Sharjah,Industrial Area 11,Sharjah,UAE,Ajyad Furniture,,,964,https://uae.arablocal.com/business/view/ajyad-furniture,,,,,
Emirates Natural Drinking Water Co Fujairah,+971 92388355,,,Fujairah,Al Bidya,Fujairah,UAE,Emirates Natural Drinking Water Co Fujairah,,,962,https://uae.arablocal.com/business/view/emirates-natural-drinking-water-co-fujairah,,,,,
Abdulla Al Hamadi Trading Est,+971 65326966,,,Sharjah,Mughaidir Suburb,Sharjah,UAE,Abdulla Al Hamadi Trading Est,,,961,https://uae.arablocal.com/business/view/abdulla-al-hamadi-trading-est,,,,,
Al Faleh Woven Plastic Bags Ind LLC,+971 65347995,,,"Ground Floor, 7th Street, Industrial Area 17 ,",Industrial Area,Sharjah,UAE,Al Faleh Woven Plastic Bags Ind LLC,,,958,https://uae.arablocal.com/business/view/al-faleh-woven-plastic-bags-ind-llc,,,,,
Aati Dubai,+971 43377825,,,"Al Karama,",Bur Dubai,Dubai,UAE,,,,1336,https://uae.arablocal.com/business/view/aati-dubai,,,,,
Juki Middle East,+971 48833228,,,"Shed # ZB05, 13th Roundabout,",Jebel Ali Freezone,Dubai,UAE,Juki Middle East,,,938,https://uae.arablocal.com/business/view/juki-middle-east,,,,,
Abis Packaging Industries LLC,+971 67667296,,,"Old Industrial,",Industrial Area,Umm Al Quwain,UAE,Abis Packaging Industries LLC,,,938,https://uae.arablocal.com/business/view/abis-packaging-industries-llc,,,,,
BBL Enterprises LLC,+971 42718483,,,Dubai,Dubai Maritime City,Dubai,UAE,BBL Enterprises LLC,,,933,https://uae.arablocal.com/business/view/bbl-enterprises-llc,,,,,
Al Kamal Shampoo and Cleaning Mat Int LLC,+971 65436166,,,Sharjah,Industrial Area 3,Sharjah,UAE,Al Kamal Shampoo and Cleaning Mat Int LLC,,,927,https://uae.arablocal.com/business/view/al-kamal-shampoo-and-cleaning-mat-int-llc,,,,,
Ahmed and Saleem Plastic Products Industry LLC,+971 65342833,,,Sharjah,Emirates Industrial City,Sharjah,UAE,Ahmed and Saleem Plastic Products Industry LLC,,,930,https://uae.arablocal.com/business/view/ahmed-and-saleem-plastic-products-industry-llc,,,,,
Emtex Carpet Manufacturing FZE,+971 48815662,,,"Jebel Ali,",Jebel Ali,Dubai,UAE,Emtex Carpet Manufacturing FZE,,,920,https://uae.arablocal.com/business/view/emtex-carpet-manufacturing-fze,,,,,
Al Shemail Garment Trading,+971 65398570,,,"Behind Lacnor Juice Factory, Industrial Area 4, P.O. Box: 62196",Industrial Area 4,Sharjah,UAE,"Al Shemail Garment Trading is located in Sharjah, UAE. Company is working in Clothing and Accessories business activities.",,,916,https://uae.arablocal.com/business/view/al-shemail-garment-trading,,,,,
Abdul Salam Oriental Carpets Trading LLC,+971 43685550,,,"Shop # 66A, Ground Floor, Ibn Battuta Mall - Egypt Court,",Trade Center,Dubai,UAE,Abdul Salam Oriental Carpets Trading LLC,,,908,https://uae.arablocal.com/business/view/abdul-salam-oriental-carpets-trading-llc,,,,,
Alpha Star Wood Joinery LLC,+971 43400214,,,Box No. 5239,Al Ain,Abu Dhabi,UAE,"ALPHA STAR WOOD JOINERY LLC is located in Dubai, UAE. Company is working in Wooden Products business activities. Visit our company website for more information about us : http://www.alphastarjoinery.com",,,902,https://uae.arablocal.com/business/view/alpha-star-wood-joinery-llc,,,,,
Modern Detergent Industries,+971 67436603,,,Ajman,Ajman Industrial 1,Ajman,UAE,Modern Detergent Industries,,,902,https://uae.arablocal.com/business/view/modern-detergent-industries,,,,,
Nawaloka Polysacks Limited,+971 65570541,,,"Floor #002, Building #E3,",Saif Zone,Sharjah,UAE,Nawaloka Polysacks Limited,,,902,https://uae.arablocal.com/business/view/nawaloka-polysacks-limited,,,,,
Al Anaj Plastic and Cleaning Materials Factory,+971 67438446,,,Sharjah,New Industrial Area,Ajman,UAE,Al Anaj Plastic and Cleaning Materials Factory,,,902,https://uae.arablocal.com/business/view/al-anaj-plastic-and-cleaning-materials-factory,,,,,
City Timber Factory Llc,+971 42673177,,,Box No. 31099,Dubai Others,Dubai,UAE,"CITY TIMBER FACTORY LLC is located in Dubai, UAE. Company is working in Wooden Products business activities. If you have any questions, please contact us",,,890,https://uae.arablocal.com/business/view/city-timber-factory--llc,,,,,
Al Arab Trading Est,+971 42241618,,,Box No. 65296,Dubai Others,Dubai,UAE,"AL ARAB TRADING EST. is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,890,https://uae.arablocal.com/business/view/al-arab-trading-est,,,,,
Badr Cleaning Company,+971 65342410,,,Sharjah,Industrial Area 11,Sharjah,UAE,Badr Cleaning Company,,,884,https://uae.arablocal.com/business/view/badr-cleaning-company,,,,,
Al Jaliya Cleaning Materials Co LLC,+971 25514458,,,"Warehouse 1, Mussafah,",Musaffah,Abu Dhabi,UAE,Al Jaliya Cleaning Materials Co LLC,,,884,https://uae.arablocal.com/business/view/al-jaliya-cleaning-materials-co-llc,,,,,
Accurate Edge Precision Equipment Ind LLC,+971 65355292,,,"W/H # 6, Industrial Area 17 ,",Industrial Area,Sharjah,UAE,Accurate Edge Precision Equipment Ind LLC,,,884,https://uae.arablocal.com/business/view/accurate-edge-precision-equipment-ind-llc,,,,,
Al Meher Contracting Co LLC,+971 3319770,,,Box No. 11694,Dubai Others,Dubai,UAE,"AL MEHER CONTRACTING CO LLC is located in Dubai, UAE. Company is working in Metal Products, Carpentry & Flooring, Contractors, Decoration Materials & Partitions business activities.",,,883,https://uae.arablocal.com/business/view/al-meher-contracting-co--llc,,,,,
Daylight Cleaners and Detergents Trading LLC,+971 26508817,,,"Ground Floor,",Ziyani,Abu Dhabi,UAE,Daylight Cleaners and Detergents Trading LLC,,,877,https://uae.arablocal.com/business/view/daylight-cleaners-and-detergents-trading-llc,,,,,
Blue Sea Detergent and Disinfectants Industry,+971 67404961,,,"Ground Floor,",Al Jarf,Ajman,UAE,Blue Sea Detergent and Disinfectants Industry,,,867,https://uae.arablocal.com/business/view/blue-sea-detergent-and-disinfectants-industry,,,,,
Al Najlaa International Gen Trading Est,+971 65741115,,,"101, 1, Crystal Tower, Buhairah Corniche,",Al Majaaz 1,Sharjah,UAE,Al Najlaa International Gen Trading Est,,,867,https://uae.arablocal.com/business/view/al-najlaa-international-gen-trading-est,,,,,
Winchem Industries LLC Al Nahda 2 Dubai,+971 42580121,,,Dubai,Al Nahda 2,Dubai,UAE,Winchem Industries LLC Al Nahda 2 Dubai,,,865,https://uae.arablocal.com/business/view/winchem-industries-llc-al-nahda-2-dubai,,,,,
Al Sahara Trading Co LLC,+971 42275280,,,"Ground Floor, Juma Al Thani Building, Naif Road, Naif,",Deira,Dubai,UAE,Al Sahara Trading Co LLC,,,864,https://uae.arablocal.com/business/view/al-sahara-trading-co-llc,,,,,
Anwar Makkah General Trading LLC,+971 67441167,+971 508476634,,"Al Jurf,",Al Jurf,Ajman,UAE,Anwar Makkah General Trading LLC,,,860,https://uae.arablocal.com/business/view/anwar-makkah-general-trading-llc,,,,,
Gulf Floor Carpet Trading LLC,+971 24919266,,,"Store # 43, Mina Free Port, Mina Road, Mina Zayed,",Al Mina,Abu Dhabi,UAE,Gulf Floor Carpet Trading LLC,,,856,https://uae.arablocal.com/business/view/gulf-floor-carpet-trading-llc,,,,,
Alka King,+971 48839225,,,Area :,Dubai Others,Dubai,UAE,"Alka King is located in Dubai, UAE. Company is working in Clothing and Accessories business activities.",,,854,https://uae.arablocal.com/business/view/alka-king,,,,,
Day To Day International Trading Llc,+971 2995253,,,P.O Box 41424,Dubai Others,Dubai,UAE,"DAY TO DAY INTERNATIONAL TRADING (L.L.C) is located in Dubai, UAE. Company is working in Handbags & Leather Products business activities.",,,848,https://uae.arablocal.com/business/view/day-to-day-international-trading--llc,,,,,
Alwadi Pure Water,+971 25516162,,,"Mussafah (M-10),",Musaffah,Abu Dhabi,UAE,Alwadi Pure Water,,,847,https://uae.arablocal.com/business/view/alwadi-pure-water,,,,,
Hygiene Cleaning Products LLC Abu Dhabi,+971 24452663,,,Abu Dhabi,Al Etihad,Abu Dhabi,UAE,Hygiene Cleaning Products LLC Abu Dhabi,,,843,https://uae.arablocal.com/business/view/hygiene-cleaning-products-llc-abu-dhabi,,,,,
Al Mohannad Trading,+971 37656889,,,Area :,Al Ain,Abu Dhabi,UAE,"Al Mohannad Trading is located in Al Ain, UAE. Company is working in Clothing and Accessories, Clothes Shops, Fashion Accessories, Headwear, Ladies Clothing business activities.",,,836,https://uae.arablocal.com/business/view/al-mohannad-trading,,,,,
Al Yababea Sweet Water,+971 72336727,,,Ras Al Khaimah,Sidroh,Ras Al Khaimah,UAE,Al Yababea Sweet Water,,,828,https://uae.arablocal.com/business/view/al-yababea-sweet-water,,,,,
Clean Trend General Trading LLC,+971 42676283,,,"Al Qusais,",Al Qusais,Dubai,UAE,Clean Trend General Trading LLC,,,824,https://uae.arablocal.com/business/view/clean-trend-general-trading-llc,,,,,
