Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook
Abu Dhabi National Cement Factory,+971 25503766,,,,"Ground Floor,",I CAD 1,Abu Dhabi,UAE,Abu Dhabi National Cement Factory,,2690,,https://uae.arablocal.com/business/view/abu-dhabi-national-cement-factory,
Amar Al Khaleej Construction,+971 42869966,,,,"2, Flower of Garhoud Building, 208, Al Garhoud,",Al Garhoud,Dubai,UAE,Amar Al Khaleej Construction,,2794,,https://uae.arablocal.com/business/view/amar-al-khaleej-construction,
Galadari Trucks and Heavy Equipment Co Ltd LLC Mussafah 14 Abu Dhabi,+971 25559700,,,,"Mussafah Industrial Area,",Mussafah 14,Abu Dhabi,UAE,Galadari Trucks and Heavy Equipment Co Ltd LLC Mussafah 14 Abu Dhabi,,2646,,https://uae.arablocal.com/business/view/galadari-trucks-and-heavy-equipment-co-ltd-llc-mussafah-14-abu-dhabi,
Nafees Bastan General Trading LLC,+971 43352355,,,,"ToufiqY Building, Flat# 2, Manama Road, Ras Al Khor Industrial Area # 2,",Ras Al Khor,Dubai,UAE,Nafees Bastan General Trading LLC,,2790,,https://uae.arablocal.com/business/view/nafees-bastan-general-trading-llc,
Noor Al Sahara General Contracting L.L.C,+971 25591901,,,,Abu Dhabi,ICAD 3,Abu Dhabi,UAE,Noor Al Sahara General Contracting L.L.C,,2726,,https://uae.arablocal.com/business/view/noor-al-sahara-general-contracting-l-l-c,
Mohamed Abdulrahman Al-Bahar Sharjah,+971 65433555,,,,Sharjah,Industrial Area 3,Sharjah,UAE,Mohamed Abdulrahman Al-Bahar Sharjah,,2531,,https://uae.arablocal.com/business/view/mohamed-abdulrahman-al-bahar-sharjah,
Al Jazeera Factory for Const Materials AAC Thermalite Blocks,+971 25822768,,,,"Al Ain Truck Road, Industrial Area,",Al Mafraq,Abu Dhabi,UAE,Al Jazeera Factory for Const Materials AAC Thermalite Blocks,,2530,,https://uae.arablocal.com/business/view/al-jazeera-factory-for-const-materials-aac-thermalite-blocks,
Al Nakheel Industrial Marble,+971 72223486,,,,Ras Al Khaimah,Al Sall,Ras Al Khaimah,UAE,Al Nakheel Industrial Marble,,2463,,https://uae.arablocal.com/business/view/al-nakheel-industrial-marble,
A M V I N Construction LLC,+971 43883928,,,,"Al Quoz 4,",Al Quoz 4,Dubai,UAE,A M V I N Construction LLC,,2428,,https://uae.arablocal.com/business/view/a-m-v-i-n-construction-llc,
Abu Dhabi Precast Concrete Plant,+971 37838355,+971 521875644,,,"Ground Floor, Truck Road,",New Industrial Area,Abu Dhabi,UAE,Abu Dhabi Precast Concrete Plant,,2380,,https://uae.arablocal.com/business/view/abu-dhabi-precast-concrete-plant,
Almoftah Aldhabi Building Contracting L.L.C,+971 42507444,,,,"3, Nissan Showroom, 310, Al Ittihad Road, Port Saeed,",Deira,Dubai,UAE,Almoftah Aldhabi Building Contracting L.L.C,,2268,,https://uae.arablocal.com/business/view/almoftah-aldhabi-building-contracting-l-l-c,
Al Satari Trading Est,+971 37211611,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Satari Trading Est,,2257,,https://uae.arablocal.com/business/view/al-satari-trading-est,
Emirates Precast Fences Factory Aswar,+971 25500911,,,,"Mussafah,",Al Selmiyyah,Abu Dhabi,UAE,Emirates Precast Fences Factory Aswar,,2256,,https://uae.arablocal.com/business/view/emirates-precast-fences-factory-aswar,
Al Amana Marble and Granite Factory,+971 67407950,,,,"Ground Floor,",Al Rashidiya 1,Ajman,UAE,Al Amana Marble and Granite Factory,,2247,,https://uae.arablocal.com/business/view/al-amana-marble-and-granite-factory,
Abdul Aziz Al Majid Est,+971 42664116,,,,"Al Muraqqabat,",Deira,Dubai,UAE,Abdul Aziz Al Majid Est,,2166,,https://uae.arablocal.com/business/view/abdul-aziz-al-majid-est,
Al Tamayoz Contracting Co L.L.C,+971 43520985,,,,"1st Floor, Unimix, 102-104, Sheikh Zayed Rd,",Al Quoz 3,Dubai,UAE,Al Tamayoz Contracting Co L.L.C,,2162,,https://uae.arablocal.com/business/view/al-tamayoz-contracting-co-l-l-c,
Tamil Sandhai Supermarket L L C,+971 25500911,,,,Abu Dhabi,I CAD 1,Abu Dhabi,UAE,Tamil Sandhai Supermarket L L C,,2149,,https://uae.arablocal.com/business/view/tamil-sandhai-supermarket-l-l-c,
Abu Faisal Automotive Parts LLC Sharjah,+971 65390882,,,,"Ground Floor, Office # 4, Caterpillar Road,",Industrial Area,Sharjah,UAE,Abu Faisal Automotive Parts LLC Sharjah,,2137,,https://uae.arablocal.com/business/view/abu-faisal-automotive-parts-llc-sharjah,
Al Khalidiya Concrete Readymix,+971 37213070,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Khalidiya Concrete Readymix,,2101,,https://uae.arablocal.com/business/view/al-khalidiya-concrete-readymix,
Abu Faisal Auto Motive Parts LLC Mussafah Abu Dhabi,+971 25555414,,,,"Shop #3, Ground Floor, Plot #57, Mussafah (M-11),",Musaffah,Abu Dhabi,UAE,Abu Faisal Auto Motive Parts LLC Mussafah Abu Dhabi,,2101,,https://uae.arablocal.com/business/view/abu-faisal-auto-motive-parts-llc-mussafah-abu-dhabi,
Al Muhairy General Contracting Co Industrial Area Abu Dhabi,+971 26334100,,,,Abu Dhabi,Industrial Area,Abu Dhabi,UAE,Al Muhairy General Contracting Co Industrial Area Abu Dhabi,,2087,,https://uae.arablocal.com/business/view/al-muhairy-general-contracting-co-industrial-area-abu-dhabi,
Ajman Cement Co,+971 67481999,,,,Ajman,Al Jerf Industrial 3,Ajman,UAE,Ajman Cement Co,,2077,,https://uae.arablocal.com/business/view/ajman-cement-co,
Best Block and Precast Products Factory,+971 67439332,,,,Ajman,Al Jerf Industrial 1,Ajman,UAE,Best Block and Precast Products Factory,,2051,,https://uae.arablocal.com/business/view/best-block-and-precast-products-factory,
Abr Al Khaleej Construction,+971 26711881,,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Abr Al Khaleej Construction,,2033,,https://uae.arablocal.com/business/view/abr-al-khaleej-construction,
Abdul Latif Mohammed Al Zarooni Contracting Co,+971 67656236,,,,Umm Al Quwain,Al Hawiyah,Umm Al Quwain,UAE,Abdul Latif Mohammed Al Zarooni Contracting Co,,2018,,https://uae.arablocal.com/business/view/abdul-latif-mohammed-al-zarooni-contracting-co,
Al Yamama Pile Foundation LLC,+971 67494199,,,,Ajman,Al Muwaihat 2,Ajman,UAE,Al Yamama Pile Foundation LLC,,2017,,https://uae.arablocal.com/business/view/al-yamama-pile-foundation-llc,
Ghantoot Transport and General Contracting LLC Al Ajban Abu Dhabi,+971 26214466,,,,Abu Dhabi,Al Ajban,Abu Dhabi,UAE,Ghantoot Transport and General Contracting LLC Al Ajban Abu Dhabi,,1998,,https://uae.arablocal.com/business/view/ghantoot-transport-and-general-contracting-llc-al-ajban-abu-dhabi,
Al Ain General Contracting Co LLC ALGECO Companies Camp Abu Dhabi,+971 37825606,,,,"Mazyad Road,",Companies camps,Abu Dhabi,UAE,Al Ain General Contracting Co LLC ALGECO Companies Camp Abu Dhabi,,1995,,https://uae.arablocal.com/business/view/al-ain-general-contracting-co-llc-algeco-companies-camp-abu-dhabi,
Dafco Concrete Products Inds Co WLL,+971 68825447,,,,"Dhaid,",Dhaid,Sharjah,UAE,Dafco Concrete Products Inds Co WLL,,1940,,https://uae.arablocal.com/business/view/dafco-concrete-products-inds-co-wll,
Al Zamalek Gen Contg Co,+971 67423706,,,,Ajman,Al Rashidiya 3,Ajman,UAE,Al Zamalek Gen Contg Co,,1922,,https://uae.arablocal.com/business/view/al-zamalek-gen-contg-co,
Transgulf Readymix Concrete Co Ltd Abu dhabi,+971 25511777,,,,"Plot # 58/59/60, Street # 15,",Musaffah,Abu Dhabi,UAE,Transgulf Readymix Concrete Co Ltd Abu dhabi,,1912,,https://uae.arablocal.com/business/view/transgulf-readymix-concrete-co-ltd-abu-dhabi,
Belhasa Industrial Stones LLC Sharjah,+971 65443336,,,,"Al Doori Building, Industrial Area 15,",Industrial Area,Sharjah,UAE,Belhasa Industrial Stones LLC Sharjah,,1909,,https://uae.arablocal.com/business/view/belhasa-industrial-stones-llc-sharjah,
Ceramica Cleopatra,+971 42627877,,,,Dubai,Hor Al Anz,Dubai,UAE,Ceramica Cleopatra,,1863,,https://uae.arablocal.com/business/view/ceramica-cleopatra,
Al Wathba Al Mafraq And Al Ain Concrete Block Factories,+971 25822400,,,,"Al Mafraq Industrial Area, P.O. Box: 31901",Al Mafraq Industrial Area,Abu Dhabi,UAE,"Al Wathba, Al Mafraq and Al Ain Concrete Block Factories is located in Abu Dhabi, UAE. Company is working in Building Materials, Construction Services business activities.",,1859,,https://uae.arablocal.com/business/view/al-wathba-al-mafraq-and-al-ain-concrete-block-factories,
Bin Harmal Cement Products Factory,+971 37222313,,,,"Office # 1, 1st Floor, Italian Palace Bldg, Sanaiya Street,",Al Ain,Abu Dhabi,UAE,Bin Harmal Cement Products Factory,,1853,,https://uae.arablocal.com/business/view/bin-harmal-cement-products-factory,
Emirates Roads Contracting Co LLC Ras Al Khaimah,+971 72446662,,,,Ras Al Khaimah,Business Bay,Ras Al Khaimah,UAE,Emirates Roads Contracting Co LLC Ras Al Khaimah,,1848,,https://uae.arablocal.com/business/view/emirates-roads-contracting-co-llc-ras-al-khaimah,
Acttell Construction LLC Dubai,+971 42844166,,,,"Ground Floor, Bin Drai Building, Office R2A, Umm Ramool,",Al Garhoud,Dubai,UAE,Acttell Construction LLC Dubai,,1825,,https://uae.arablocal.com/business/view/acttell-construction-llc-dubai,
Emirates Roads Contracting Co LLC Sharjah,+971 92220964,,,,Fujairah,Business Bay,Dubai,UAE,Emirates Roads Contracting Co LLC Sharjah,,1803,,https://uae.arablocal.com/business/view/emirates-roads-contracting-co-llc-sharjah,
AB Building Contracting Co LLC,+971 43312371,,,,"2nd Floor, Union Co-operative Society, Al Dhiyafah Street, Al Satwa,",Al Zaabeel,Dubai,UAE,AB Building Contracting Co LLC,,1799,,https://uae.arablocal.com/business/view/ab-building-contracting-co-llc,
Al Telal Cement Trading,+971 72225566,,,,Ras Al Khaimah,Al Nakheel,Ras Al Khaimah,UAE,Al Telal Cement Trading,,1782,,https://uae.arablocal.com/business/view/al-telal-cement-trading,
Abu Hail Contracting Co. LLC Deira Dubai,+971 42975757,,,,"Mezzanine Floor, Al Bassam Building, Office # 446, Al Riqqa,",Deira,Dubai,UAE,Abu Hail Contracting Co. LLC Deira Dubai,,1785,,https://uae.arablocal.com/business/view/abu-hail-contracting-co-llc-deira-dubai,
Mcdermott Middle East INC. Jebel Ali Free Zone Dubai,+971 48835200,,,,"Jebel Ali Free Zone,",Jebel Ali Freezone,Dubai,UAE,Mcdermott Middle East INC. Jebel Ali Free Zone Dubai,,1775,,https://uae.arablocal.com/business/view/mcdermott-middle-east-inc-jebel-ali-free-zone-dubai,
Jesr Al Sharq Wa Al Gharb Marbles and Granite Trdg.LLC,+971 65352687,+971 566516227,,,"Ground Floor, Industrial Area 15,",Industrial Area,Sharjah,UAE,Jesr Al Sharq Wa Al Gharb Marbles and Granite Trdg.LLC,,1773,,https://uae.arablocal.com/business/view/jesr-al-sharq-wa-al-gharb-marbles-and-granite-trdg-llc,
Al Kauther Contracting Co LLC Sharjah,+971 65629660,,,,"Ground Floor, Al Kauther Building,",Al Shuwaihean,Sharjah,UAE,Al Kauther Contracting Co LLC Sharjah,,1772,,https://uae.arablocal.com/business/view/al-kauther-contracting-co-llc-sharjah,
Star Cement Co LLC,+971 47073382,,,,Dubai,Al Muraqqabat,Dubai,UAE,Star Cement Co LLC,,1760,,https://uae.arablocal.com/business/view/star-cement-co-llc,
Bucomac Industries Ltd - Block Factory Sharjah,+971 65333549,,,,"BMW Road,",Industrial Area 2,Sharjah,UAE,Bucomac Industries Ltd - Block Factory Sharjah,,1761,,https://uae.arablocal.com/business/view/bucomac-industries-ltd-block-factory-sharjah,
Ali Mousa and Sons Group,+971 65311444,,,,Sharjah,Al Sajaa,Sharjah,UAE,Ali Mousa and Sons Group,,1729,,https://uae.arablocal.com/business/view/ali-mousa-and-sons-group,
Otis LLC Abu Dhabi,+971 26446550,,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Otis LLC Abu Dhabi,,1743,,https://uae.arablocal.com/business/view/otis-llc-abu-dhabi,
Dream House Contracting L.L.C,+971 42945008,,,,"2, Al Huda Building, 204, Service Rd, Al Garhoud,",Al Garhoud,Dubai,UAE,Dream House Contracting L.L.C,,1706,,https://uae.arablocal.com/business/view/dream-house-contracting-l-l-c,
Al Ain Ready Mix Co,+971 37211120,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Ain Ready Mix Co,,1705,,https://uae.arablocal.com/business/view/al-ain-ready-mix-co,
Delmon Autoclaved Aerated Concrete Factory - AAC Thermalite Blocks,+971 48842280,+971 504467394,,,"Jebel Ali Industrial Area # 2,",Jebel Ali Industrial Area # 2,Dubai,UAE,Delmon Autoclaved Aerated Concrete Factory - AAC Thermalite Blocks,,1685,,https://uae.arablocal.com/business/view/delmon-autoclaved-aerated-concrete-factory-aac-thermalite-blocks,
Adnan Contracting Co LLC,+971 43369550,,,,Dubai,Oud Metha,Dubai,UAE,Adnan Contracting Co LLC,,1664,,https://uae.arablocal.com/business/view/adnan-contracting-co-llc,
Bin Ojan Group,+971 26457777,,,,Abu Dhabi,Al Zahiyah,Abu Dhabi,UAE,Bin Ojan Group,,1657,,https://uae.arablocal.com/business/view/bin-ojan-group,
Al Rayan Marble Factory LLC,+971 67662341,,,,"Umm Al Quwain-Industrial area,",Umm Al Quwain-Industrial area,Umm Al Quwain,UAE,Al Rayan Marble Factory LLC,,1651,,https://uae.arablocal.com/business/view/al-rayan-marble-factory-llc,
Masters Crane Co LLC,+971 65282111,,,,Sharjah,Al Layyeh Suburb,Sharjah,UAE,Masters Crane Co LLC,,1657,,https://uae.arablocal.com/business/view/masters-crane-co-llc,
National Ready Mix Concrete Co Sharjah,+971 65345544,,,,Sharjah,Industrial Area 17,Sharjah,UAE,National Ready Mix Concrete Co Sharjah,,1640,,https://uae.arablocal.com/business/view/national-ready-mix-concrete-co-sharjah,
Al Fahad Tiles and Mosaic Factory Tiles Division,+971 43470040,,,,"Al Quoz Industrial Area# 3,",Al Quoz Industrial Area 3,Dubai,UAE,Al Fahad Tiles and Mosaic Factory Tiles Division,,1634,,https://uae.arablocal.com/business/view/al-fahad-tiles-and-mosaic-factory-tiles-division,
Al Mada Marble,+971 67485455,,,,"Al Jurf,",Al Jerf Industrial 1,Ajman,UAE,Al Mada Marble,,1601,,https://uae.arablocal.com/business/view/al-mada-marble,
AG MELCO Elevator Co LLC Dubai,+971 42795000,,,,"1st Floor, Dubai Municipality Building, Salahuddin Road,",Deira,Dubai,UAE,AG MELCO Elevator Co LLC Dubai,,1595,,https://uae.arablocal.com/business/view/ag-melco-elevator-co-llc-dubai,
Al Meraikhi Industrial Complex Al Meraikhi Precast,+971 26729077,,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Al Meraikhi Industrial Complex Al Meraikhi Precast,,1592,,https://uae.arablocal.com/business/view/al-meraikhi-industrial-complex-al-meraikhi-precast,
Terrazzo Dubai Co LLC Al Quoz Dubai,+971 43386129,,,,"Al Quoz Ind. Second,",Al Quoz,Dubai,UAE,Terrazzo Dubai Co LLC Al Quoz Dubai,,1593,,https://uae.arablocal.com/business/view/terrazzo-dubai-co-llc-al-quoz-dubai,
Al Batoul Marble and Granite Trading LLC,+971 67431004,,,,Ajman,Ajman Industrial 2,Ajman,UAE,Al Batoul Marble and Granite Trading LLC,,1589,,https://uae.arablocal.com/business/view/al-batoul-marble-and-granite-trading-llc,
Aashiana Contracting LLC,+971 42632535,,,,"Al Qusais,",Al Qusais,Dubai,UAE,Aashiana Contracting LLC,,1580,,https://uae.arablocal.com/business/view/aashiana-contracting-llc,
Gulf Precast Concrete Co LLC Abu Dhabi,+971 25502044,,,,Abu Dhabi,I CAD I,Abu Dhabi,UAE,Gulf Precast Concrete Co LLC Abu Dhabi,,1568,,https://uae.arablocal.com/business/view/gulf-precast-concrete-co-llc-abu-dhabi,
Macro Contracting LLC,+971 44472330,,,,"Floor #7, Warsan Building, #701, Sheik Zyed Road, Tecom,",Al Barsha,Dubai,UAE,Macro Contracting LLC,,1562,,https://uae.arablocal.com/business/view/macro-contracting-llc,
Nova Way Contracting L.L.C,+971 43322284,,,,"25th, SIT Tower, 2508, Sheikh Mohammed Bin Zayed Road,",Dubai Silicon Oasis,Dubai,UAE,Nova Way Contracting L.L.C,,1544,,https://uae.arablocal.com/business/view/nova-way-contracting-l-l-c,
Anchor Allied Factory Limited,+971 65342091,,,,"Ground Floor, Industrial Area 15,",Industrial Area,Sharjah,UAE,Anchor Allied Factory Limited,,1549,,https://uae.arablocal.com/business/view/anchor-allied-factory-limited,
Al Ain Cement and Marble Products Co,+971 37211454,,,,Abu Dhabi,Al Wutah,Abu Dhabi,UAE,Al Ain Cement and Marble Products Co,,1542,,https://uae.arablocal.com/business/view/al-ain-cement-and-marble-products-co,
Al Taameer Gen Contg Co,+971 72222988,,,,Ras Al Khaimah,Al Qurm,Ras Al Khaimah,UAE,Al Taameer Gen Contg Co,,1532,,https://uae.arablocal.com/business/view/al-taameer-gen-contg-co,
Al Dhaid Contracting Co,+971 65331010,,,,Sharjah,Al Dhaid,Sharjah,UAE,Al Dhaid Contracting Co,,1532,,https://uae.arablocal.com/business/view/al-dhaid-contracting-co,
MAK Heavy Equipment and Machinery Spare Parts Trading LLC,+971 65280799,+971 563419000,,,"Ground Floor, Arwani Building, Office #1, Caterpillar Road,",Industrial Area 3,Sharjah,UAE,MAK Heavy Equipment and Machinery Spare Parts Trading LLC,,1527,,https://uae.arablocal.com/business/view/mak-heavy-equipment-and-machinery-spare-parts-trading-llc,
Emirates Post Tension LLC Sharjah,+971 65754373,,,,"Office # 1903, 19th Floor, Bel Rashid Tower, Buhairah Cornich Road, Buhaira Corniche,",Corniche,Sharjah,UAE,Emirates Post Tension LLC Sharjah,,1515,,https://uae.arablocal.com/business/view/emirates-post-tension-llc-sharjah,
Dirham Contracting LLC,+971 42975755,,,,"Floor #10, RAK Ceramic Building, Office #102, Al Khabaisi,",Deira,Dubai,UAE,Dirham Contracting LLC,,1515,,https://uae.arablocal.com/business/view/dirham-contracting-llc,
Al Fahad Ready Mix,+971 67666984,,,,Umm Al Quwain,Emirates Modern Industrial Area,Umm Al Quwain,UAE,Al Fahad Ready Mix,,1512,,https://uae.arablocal.com/business/view/al-fahad-ready-mix,
PDB International General Trading LLC,+971 43991186,,,,"Office 1401, 14th Floor, X3 Tower,",Jumeirah Lakes towers,Dubai,UAE,PDB International General Trading LLC,,1502,,https://uae.arablocal.com/business/view/pdb-international-general-trading-llc,
Al Mustwa Hydraulics Machines and Pumps Trading LLC,+971 65398760,,,,Sharjah,Industrial Area 3,Sharjah,UAE,Al Mustwa Hydraulics Machines and Pumps Trading LLC,,1502,,https://uae.arablocal.com/business/view/al-mustwa-hydraulics-machines-and-pumps-trading-llc,
Al Ahsan Technology Co LLC,+971 65331288,,,,"First Floor, Office #9, Al Wahda Street,",Industrial Area 4,Sharjah,UAE,Al Ahsan Technology Co LLC,,1501,,https://uae.arablocal.com/business/view/al-ahsan-technology-co-llc,
Al Firas General Contracting And Maint Establishment,+971 26669600,,,,"M Floor, Snow White Laundry building, Al Khalidiya St, P.O. Box: 4490",Al Khalidiya,Abu Dhabi,UAE,"Al Firas General Contg and Maint Establishment is located in Abu Dhabi, UAE. Company is working in Building Maintenance, Contractors business activities.",,1496,,https://uae.arablocal.com/business/view/al-firas-general-contracting-and-maint-establishment,
Abraj Al Khaleej Construction,+971 42613300,,,,"Office # M04, Mezannine Floor, Muzna Building, 24th Street, Al Qusais First,",Al Qusais,Dubai,UAE,Abraj Al Khaleej Construction,,1495,,https://uae.arablocal.com/business/view/abraj-al-khaleej-construction,
Ahli Building Contracting Llc,+971 42837753,,,,"3, Ahli House 1, 305, Al Nahda 2,",Al Qusais,Dubai,UAE,Ahli Building Contracting Llc,,1481,,https://uae.arablocal.com/business/view/ahli-building-contracting-llc,
Sedar Dubai,+971 43454597,,,,Dubai,Al Bada'a,Dubai,UAE,Sedar Dubai,,1458,,https://uae.arablocal.com/business/view/sedar-dubai,
Al Amazoon Building Contg LLC,+971 65737091,,,,Sharjah,Al Nud,Sharjah,UAE,Al Amazoon Building Contg LLC,,1441,,https://uae.arablocal.com/business/view/al-amazoon-building-contg-llc,
Terrazzo Ltd Abu Dhabi,+971 26427485,,,,"Al Khalidiyah,",Al Khalidiyah,Abu Dhabi,UAE,Terrazzo Ltd Abu Dhabi,,1437,,https://uae.arablocal.com/business/view/terrazzo-ltd-abu-dhabi,
Al Marwan General Contracting Co Sharjah,+971 65645230,,,,"Emirates Road, Industrial Area 13,",Industrial Area,Sharjah,UAE,Al Marwan General Contracting Co Sharjah,,1422,,https://uae.arablocal.com/business/view/al-marwan-general-contracting-co-sharjah,
Mohd.Bin Ghalaita Trading,+971 44588163,,,,"Sobha Sapphire, Office#310,",Business Bay,Dubai,UAE,Mohd.Bin Ghalaita Trading,,1421,,https://uae.arablocal.com/business/view/mohd-bin-ghalaita-trading,
Al Muhriz Technical Services L.L.C,+971 25584075,,,,"Mussafah (M-14),",Musaffah,Abu Dhabi,UAE,Al Muhriz Technical Services L.L.C,,1417,,https://uae.arablocal.com/business/view/al-muhriz-technical-services-l-l-c,
Al Abraj Marble Cutting,+971 65384242,,,,Sharjah,Industrial Area 13,Sharjah,UAE,Al Abraj Marble Cutting,,1416,,https://uae.arablocal.com/business/view/al-abraj-marble-cutting,
Sultan Ahmed Lootah Contracting Co Dubai,+971 42953978,,,,Dubai,Al Khabaisi,Dubai,UAE,Sultan Ahmed Lootah Contracting Co Dubai,,1405,,https://uae.arablocal.com/business/view/sultan-ahmed-lootah-contracting-co-dubai,
Al Azani Ready Mix,+971 43473777,,,,Dubai,Al Quoz Industrial Area 3,Dubai,UAE,Al Azani Ready Mix,,1407,,https://uae.arablocal.com/business/view/al-azani-ready-mix,
Megaton Facilities Management,+971 26749392,+971 554405311,,,"Mezzanine Floor, Harmony Building, Office # 02, Khaleefa Street,",Al Danah,Abu Dhabi,UAE,Megaton Facilities Management,,1397,,https://uae.arablocal.com/business/view/megaton-facilities-management,
Al Aas Group LLC,+971 37554747,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Aas Group LLC,,1396,,https://uae.arablocal.com/business/view/al-aas-group-llc,
Dubai Precast LLC - Abu Dhabi Branch,+971 25502503,,,,"Mussafa Industrial,",Mussafah Industrial Area,Abu Dhabi,UAE,Dubai Precast LLC - Abu Dhabi Branch,,1395,,https://uae.arablocal.com/business/view/dubai-precast-llc-abu-dhabi-branch,
Al Madina Interlock,+971 67666860,,,,Umm Al Quwain,Industrial Area,Umm Al Quwain,UAE,Al Madina Interlock,,1389,,https://uae.arablocal.com/business/view/al-madina-interlock,
Copri Construction Enterprises Est,+971 26319626,,,,"Sohaila Al Khalifa Al Mirri Bldg, Zayed Street,",Al Hisn,Abu Dhabi,UAE,Copri Construction Enterprises Est,,1395,,https://uae.arablocal.com/business/view/copri-construction-enterprises-est,
Euro Machinery and Agricultural Equipment Trading,+971 25543959,,,,"Plot # 5, Street # 13, Mussafah (M-9),",Musaffah,Abu Dhabi,UAE,Euro Machinery and Agricultural Equipment Trading,,1388,,https://uae.arablocal.com/business/view/euro-machinery-and-agricultural-equipment-trading,
Gulf Ready Mix Fujairah,+971 92238872,,,,"Al Hail Industrial Area,",Al Hail Industrial Area,Fujairah,UAE,Gulf Ready Mix Fujairah,,1382,,https://uae.arablocal.com/business/view/gulf-ready-mix-fujairah,
Al Fadha Marbles and Granite Tr LLC,+971 65352107,,,,"Ground Floor, Street #10, Industrial Area 15,",Industrial Area,Sharjah,UAE,Al Fadha Marbles and Granite Tr LLC,,1377,,https://uae.arablocal.com/business/view/al-fadha-marbles-and-granite-tr-llc,
Al Nahla Trading LLC,+971 2856705,,,,Box No. 79789,Dubai Others,Dubai,UAE,"AL NAHLA TRADING LLC is located in Dubai, UAE. Company is working in Secretarial Services, Photocopying, Computer Services, Computer Equipment, Computer Software, Event Equipment, Audio Visual, Beauty Products, Cosmetics, Electrical Goods, Home and Garden, Mobile Phone Shops, Construction Equipment business activities.",,1377,,https://uae.arablocal.com/business/view/al-nahla-trading--llc,
Al Holy Contracting and Construction Co,+971 72282487,,,,Ras Al Khaimah,Al Seer,Ras Al Khaimah,UAE,Al Holy Contracting and Construction Co,,1371,,https://uae.arablocal.com/business/view/al-holy-contracting-and-construction-co,
Al Shafar Tiles Mosaic &Marble Factory LLC,+971 42858632,,,,"Umm Ramool,",Al Rashidiya,Dubai,UAE,Al Shafar Tiles Mosaic &Marble Factory LLC,,1373,,https://uae.arablocal.com/business/view/al-shafar-tiles-mosaic-marble-factory-llc,
