Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Saaed Hospitality For Hotel Suites,+966 148278518,,,"Prince Abdul Majed Street, Al Madinah Al Munawarah, Prince Abdul Majed Street, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Prince Abdul Majed Street,Madinah Province,Saudi Arabia,Al Saaed Hospitality For Hotel Suites,,https://arablocal.com/business/view/al-saaed-hospitality-for-hotel-suites,,,,,
Golden Renad housing units,+966 148358999,,,"Second Ring, Al Madinah Al Munawarah, Second Ring, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Second Ring,Madinah Province,Saudi Arabia,Golden Renad housing units,,https://arablocal.com/business/view/golden-renad-housing-units,,,,,
Royal Gulf Hotel,+966 584668680,,,"King Saud Street, Uhud Dist., Dammam, Uhud Dist., Dammam, Eastern Province, Saudi Arabia",King Saud Street,Eastern Province,Saudi Arabia,Royal Gulf Hotel,,https://arablocal.com/business/view/royal-gulf-hotel,,,,,
Al Bait Baitak Furnished Apartments,+966 138336337,,,"King Saud, King Saud Street, Dammam, King Saud Street, Dammam, Eastern Province, Saudi Arabia",King Saud,Eastern Province,Saudi Arabia,Al Bait Baitak Furnished Apartments,,https://arablocal.com/business/view/al-bait-baitak-furnished-apartments,,,,,
Al Ezzah Palace,+966 126178319,,,"Beni Malek Dist., Jeddah, Beni Malek Dist., Jeddah, Makkah Province, Saudi Arabia",Beni Malek Dist.,Makkah Province,Saudi Arabia,Al Ezzah Palace,,https://arablocal.com/business/view/al-ezzah-palace,,,,,
Al Nayfa hotel,+966 138084422,,,"King Saud Street, Uhud Dist., Dammam, Uhud Dist., Dammam, Eastern Province, Saudi Arabia",King Saud Street,Eastern Province,Saudi Arabia,Al Nayfa hotel,,https://arablocal.com/business/view/al-nayfa-hotel,,,,,
Al-Hashel Prefabricated Houses And Rooms,+966 533938889,,,"Al Muntzhat Dist., Jeddah, Al Muntzhat Dist., Jeddah, Makkah Province, Saudi Arabia",Al Muntzhat Dist.,Makkah Province,Saudi Arabia,Al-Hashel Prefabricated Houses And Rooms,,https://arablocal.com/business/view/al-hashel-prefabricated-houses-and-rooms,,,,,
Al Naseem Suites for Residential Units,+966 122889058,,,"Naaeem Dist., Jeddah, Naaeem Dist., Jeddah, Makkah Province, Saudi Arabia",Naaeem Dist.,Makkah Province,Saudi Arabia,Al Naseem Suites for Residential Units,,https://arablocal.com/business/view/al-naseem-suites-for-residential-units,,,,,
Tama Trading Services Group,+966 114508414,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Tama Trading Services Group,,https://arablocal.com/business/view/tama-trading-services-group,,,,,
Luxury Tower Hotel,+966 112228333,,,"Al Shohda Dist., Riyadh, Al Shohda Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Shohda Dist.,Riyadh Province,Saudi Arabia,Luxury Tower Hotel,,https://arablocal.com/business/view/luxury-tower-hotel,,,,,
Al Kamal Hotel Suites,+966 138091021,,,"Street No. 18, Al Zhoor Dist., Dammam, Al Zhoor Dist., Dammam, Eastern Province, Saudi Arabia",Street No. 18,Eastern Province,Saudi Arabia,Al Kamal Hotel Suites,,https://arablocal.com/business/view/al-kamal-hotel-suites,,,,,
Al Abiri For Hotels And Furnished Apartments,+966 172276677,,,"Khamis Mushait, Asir, Khamis Mushait, Asir, Asir Province, Saudi Arabia",Khamis Mushait,Asir Province,Saudi Arabia,Al Abiri For Hotels And Furnished Apartments,,https://arablocal.com/business/view/al-abiri-for-hotels-and-furnished-apartments,,,,,
Al Lehaidan Comm. Center,+966 165342233,,,"Hail, Hail, Hail, Hail Province, Saudi Arabia",Hail,Hail Province,Saudi Arabia,Al Lehaidan Comm. Center,,https://arablocal.com/business/view/al-lehaidan-comm-center,,,,,
Global House For Realstate And Industrial Development,+966 133498888,,,"Jubail Industrail Area, Jubail, Jubail Industrail Area, Jubail, Eastern Province, Saudi Arabia",Jubail Industrail Area,Eastern Province,Saudi Arabia,Global House For Realstate And Industrial Development,,https://arablocal.com/business/view/global-house-for-realstate-and-industrial-development,,,,,
Castle Middle Furnished Residential Units,+966 540811586,,,"28th Street, Aziziyah Dist., Dammam, Aziziyah Dist., Dammam, Eastern Province, Saudi Arabia",28th Street,Eastern Province,Saudi Arabia,Castle Middle Furnished Residential Units,,https://arablocal.com/business/view/castle-middle-furnished-residential-units,,,,,
Al Bustan Hotel Arar City,+966 146633000,,,"Prince Abdul Mohsen bin Jalawi Street, Arar, Arar City, Arar, Arar City, Northern Borders Province, Saudi Arabia",Prince Abdul Mohsen bin Jalawi Street,Northern Borders Province,Saudi Arabia,Al Bustan Hotel Arar City,,https://arablocal.com/business/view/al-bustan-hotel-arar-city,,,,,
Omer Ahmed O. Basahi Est.,+966 122898323,,,"Wadi Merrikh Dist., Jeddah, Wadi Merrikh Dist., Jeddah, Makkah Province, Saudi Arabia",Wadi Merrikh Dist.,Makkah Province,Saudi Arabia,Omer Ahmed O. Basahi Est.,,https://arablocal.com/business/view/omer-ahmed-o-basahi-est,,,,,
Al Janadriyah Co. For Furnished Apartments.4 Al Khobar,+966 138942094,,,"Khobar North, Al Khobar, Khobar North, Al Khobar, Eastern Province, Saudi Arabia",Khobar North,Eastern Province,Saudi Arabia,Al Janadriyah Co. For Furnished Apartments.4 Al Khobar,,https://arablocal.com/business/view/al-janadriyah-co-for-furnished-apartments-4-al-khobar,,,,,
Al Howail Hotel Suites,+966 138093082,,,"Dammam Cornice, Corniche, Dammam, Corniche, Dammam, Eastern Province, Saudi Arabia",Dammam Cornice,Eastern Province,Saudi Arabia,Al Howail Hotel Suites,,https://arablocal.com/business/view/al-howail-hotel-suites,,,,,
Wardat Al Khaleej For Hotel Apartments,+966 138096211,,,"Cornice Street, Al Shatei Dist., Dammam, Al Shatei Dist., Dammam, Eastern Province, Saudi Arabia",Cornice Street,Eastern Province,Saudi Arabia,Wardat Al Khaleej For Hotel Apartments,,https://arablocal.com/business/view/wardat-al-khaleej-for-hotel-apartments,,,,,
Mohammed Saleh Al Sharif Est,,,,"Al Balad Dist., Jeddah, Al Balad Dist., Jeddah, Makkah Province, Saudi Arabia",Al Balad Dist.,Makkah Province,Saudi Arabia,Mohammed Saleh Al Sharif Est,,https://arablocal.com/business/view/mohammed-saleh-al-sharif-est,,,,,
Manazil Al Aswaf Hotel,+966 148185500,,,"Al kurban St., Al Haram Area, Al Madinah Al Munawarah, Al Haram Area, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Al kurban St.,Madinah Province,Saudi Arabia,Manazil Al Aswaf Hotel,,https://arablocal.com/business/view/manazil-al-aswaf-hotel,,,,,
Al Majd Palace Furnished Suites,+966 138970035,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Al Majd Palace Furnished Suites,,https://arablocal.com/business/view/al-majd-palace-furnished-suites,,,,,
Gharafi Lights Houses Co. Ltd. Al Mashael Riyadh,+966 592829526,,,"Al Mashael Dist., Riyadh, Al Mashael Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Mashael Dist.,Riyadh Province,Saudi Arabia,Gharafi Lights Houses Co. Ltd. Al Mashael Riyadh,,https://arablocal.com/business/view/gharafi-lights-houses-co-ltd-al-mashael-riyadh,,,,,
AL Eyairi Furnished Center,+966 148238389,,,"Second Ring, Al Madinah Al Munawarah, Second Ring, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Second Ring,Madinah Province,Saudi Arabia,AL Eyairi Furnished Center,,https://arablocal.com/business/view/al-eyairi-furnished-center,,,,,
Mera Houses,+966 581900882,,,"King Khaled Rd., Biljurshi, Al Baha, Biljurshi, Al Baha, Bahah Province, Saudi Arabia",King Khaled Rd.,Bahah Province,Saudi Arabia,Mera Houses,,https://arablocal.com/business/view/mera-houses,,,,,
Al Hayat Tower For Hotel Suites,+966 114757555,,,"Al Jamiah Street, Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Jamiah Street,Riyadh Province,Saudi Arabia,Al Hayat Tower For Hotel Suites,,https://arablocal.com/business/view/al-hayat-tower-for-hotel-suites,,,,,
Raydan Factory For Prefabricated Houses,+966 126655941,,,"Tahlia Street, Rouwais Dist., Jeddah, Rouwais Dist., Jeddah, Makkah Province, Saudi Arabia",Tahlia Street,Makkah Province,Saudi Arabia,Raydan Factory For Prefabricated Houses,,https://arablocal.com/business/view/raydan-factory-for-prefabricated-houses,,,,,
Mobile Homes Factory,+966 556337004,,,"Al Sulay Dist., Riyadh, Al Sulay Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Sulay Dist.,Riyadh Province,Saudi Arabia,Mobile Homes Factory,,https://arablocal.com/business/view/mobile-homes-factory,,,,,
Wardat Al Khubar Hotel Suites,+966 138691444,,,"The Custodian of the Two Holy Mosques, Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",The Custodian of the Two Holy Mosques,Eastern Province,Saudi Arabia,Wardat Al Khubar Hotel Suites,,https://arablocal.com/business/view/wardat-al-khubar-hotel-suites,,,,,
Durrat Al Sultan Hotel Suites,+966 138893272,,,"Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Khobar,Eastern Province,Saudi Arabia,Durrat Al Sultan Hotel Suites,,https://arablocal.com/business/view/durrat-al-sultan-hotel-suites,,,,,
Rodina East Hotel Suites,+966 133446668,,,"King Abdulaziz Road, Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",King Abdulaziz Road,Eastern Province,Saudi Arabia,Rodina East Hotel Suites,,https://arablocal.com/business/view/rodina-east-hotel-suites,,,,,
Layali Abha Hotel Suites,+966 172249229,,,"Al Hezam Road, Abha, Al Hezam Road, Abha, Asir Province, Saudi Arabia",Al Hezam Road,Asir Province,Saudi Arabia,Layali Abha Hotel Suites,,https://arablocal.com/business/view/layali-abha-hotel-suites,,,,,
Jawharat Qurban,+966 148260250,,,"Qurbaan St., Al Madinah Al Munawarah, Qurbaan, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Qurbaan St.,Madinah Province,Saudi Arabia,Jawharat Qurban,,https://arablocal.com/business/view/jawharat-qurban,,,,,
Al Nimran Hotel,+966 138675618,,,"Prince Faisal Bin Fahad Road, Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Prince Faisal Bin Fahad Road,Eastern Province,Saudi Arabia,Al Nimran Hotel,,https://arablocal.com/business/view/al-nimran-hotel,,,,,
Range House For Hotel Suites,+966 138693644,,,"Jawhrah Dist., Al Khobar, Jawhrah Dist., Al Khobar, Eastern Province, Saudi Arabia",Jawhrah Dist.,Eastern Province,Saudi Arabia,Range House For Hotel Suites,,https://arablocal.com/business/view/range-house-for-hotel-suites,,,,,
Al Jouri For Hotel Apartments,+966 138204624,,,"Dist. 91, Dammam, Dist. 91, Dammam, Eastern Province, Saudi Arabia",Dist. 91,Eastern Province,Saudi Arabia,Al Jouri For Hotel Apartments,,https://arablocal.com/business/view/al-jouri-for-hotel-apartments,,,,,
Aleairy No.4 Atheer Dammam,+966 138411034,,,"Ahmad El Katib Street, Atheer Dist., Dammam, Atheer Dist., Dammam, Eastern Province, Saudi Arabia",Ahmad El Katib Street,Eastern Province,Saudi Arabia,Aleairy No.4 Atheer Dammam,,https://arablocal.com/business/view/aleairy-no-4-atheer-dammam,,,,,
Green Star For Units Furnished Housing,+966 126620945,,,"Al Bawadei Dist., Jeddah, Al Bawadei Dist., Jeddah, Makkah Province, Saudi Arabia",Al Bawadei Dist.,Makkah Province,Saudi Arabia,Green Star For Units Furnished Housing,,https://arablocal.com/business/view/green-star-for-units-furnished-housing,,,,,
Lamak Hotel,+966 143981010,,,"King Abdul Aziz Road Beside Al Maala Markets, Yanbu Al Bahar, Yanbu, Yanbu Al Bahar, Yanbu, Madinah Province, Saudi Arabia",King Abdul Aziz Road Beside Al Maala Markets,Madinah Province,Saudi Arabia,Lamak Hotel,,https://arablocal.com/business/view/lamak-hotel,,,,,
Rwaq Hotel Suites Flora Ar Rayyan Riyadh,+966 504838953,+966 112608080,,"Sheikh Omar Bin Sulayem Street, Ar Rayyan Dist., Riyadh, Ar Rayyan Dist., Riyadh, Riyadh Province, Saudi Arabia",Sheikh Omar Bin Sulayem Street,Riyadh Province,Saudi Arabia,Rwaq Hotel Suites Flora Ar Rayyan Riyadh,,https://arablocal.com/business/view/rwaq-hotel-suites-flora-ar-rayyan-riyadh,,,,,
Sama Inn Hotel Apartments,+966 114551919,,,"Yasmine Quarter, Riyadh, Yasmine Quarter, Riyadh, Riyadh Province, Saudi Arabia",Yasmine Quarter,Riyadh Province,Saudi Arabia,Sama Inn Hotel Apartments,,https://arablocal.com/business/view/sama-inn-hotel-apartments,,,,,
Ready House,+966 503659772,+966 126541351,,"Wadi Merrikh Dist., Jeddah, Wadi Merrikh Dist., Jeddah, Makkah Province, Saudi Arabia",Wadi Merrikh Dist.,Makkah Province,Saudi Arabia,Ready House,,https://arablocal.com/business/view/ready-house,,,,,
Heraa Hotel,+966 126986272,,,"Salama Dist., Jeddah, Salama Dist., Jeddah, Makkah Province, Saudi Arabia",Salama Dist.,Makkah Province,Saudi Arabia,Heraa Hotel,,https://arablocal.com/business/view/heraa-hotel,,,,,
Zamzam Pearl Hotel,+966 148244035,,,"Balad, Al Madinah Al Munawarah, Balad, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Balad,Madinah Province,Saudi Arabia,Zamzam Pearl Hotel,,https://arablocal.com/business/view/zamzam-pearl-hotel,,,,,
Rimaz Furnished Suites Hotel,+966 114727900,,,"Malaz Dist., Riyadh, Malaz Dist., Riyadh, Riyadh Province, Saudi Arabia",Malaz Dist.,Riyadh Province,Saudi Arabia,Rimaz Furnished Suites Hotel,,https://arablocal.com/business/view/rimaz-furnished-suites-hotel,,,,,
Essence Of Perfction Factory Prefabricated House,+966 133621414,,,"Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail,Eastern Province,Saudi Arabia,Essence Of Perfction Factory Prefabricated House,,https://arablocal.com/business/view/essence-of-perfction-factory-prefabricated-house,,,,,
Al Meknan Residentail Units Prince Abdul Majed Street Al Madinah Al Munawarah,+966 148374444,,,"Prince Abdul Majed Street, Al Madinah Al Munawarah, Prince Abdul Majed Street, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Prince Abdul Majed Street,Madinah Province,Saudi Arabia,Al Meknan Residentail Units Prince Abdul Majed Street Al Madinah Al Munawarah,,https://arablocal.com/business/view/al-meknan-residentail-units-prince-abdul-majed-street-al-madinah-al-munawarah,,,,,
Peninsula Suites Hotel Dammam,+966 138097888,,,"18th Street, Al Salam Dist., Dammam, Al Salam Dist., Dammam, Eastern Province, Saudi Arabia",18th Street,Eastern Province,Saudi Arabia,Peninsula Suites Hotel Dammam,,https://arablocal.com/business/view/peninsula-suites-hotel-dammam,,,,,
Layan For Hotel Suites,+966 138978989,,,"3 Street near Prince Street Hammoud, Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",3 Street near Prince Street Hammoud,Eastern Province,Saudi Arabia,Layan For Hotel Suites,,https://arablocal.com/business/view/layan-for-hotel-suites,,,,,
Mohammed H. Al Wabsi Real Estate Co. Tabuk Star,+966 144228000,,,"Tabuk City, Tabuk, Tabuk City, Tabuk, Tabuk Province, Saudi Arabia",Tabuk City,Tabuk Province,Saudi Arabia,Mohammed H. Al Wabsi Real Estate Co. Tabuk Star,,https://arablocal.com/business/view/mohammed-h-al-wabsi-real-estate-co-tabuk-star,,,,,
Al Awayel Furnished Suites,+966 112788000,,,"Khaleej Dist., Riyadh, Khaleej Dist., Riyadh, Riyadh Province, Saudi Arabia",Khaleej Dist.,Riyadh Province,Saudi Arabia,Al Awayel Furnished Suites,,https://arablocal.com/business/view/al-awayel-furnished-suites,,,,,
Al Baydaa Hotel Group Madinah Al Madinah Al Munawarah,+966 148276800,,,"Al Salam Street, Madinah, Al Madinah Al Munawarah, Madinah, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Al Salam Street,Madinah Province,Saudi Arabia,Al Baydaa Hotel Group Madinah Al Madinah Al Munawarah,,https://arablocal.com/business/view/al-baydaa-hotel-group-madinah-al-madinah-al-munawarah,,,,,
Bahr 4 Hotel,+966 138226324,,,"King Saud St, Al Anood Dist., Dammam, Al Anood Dist., Dammam, Eastern Province, Saudi Arabia",King Saud St,Eastern Province,Saudi Arabia,Bahr 4 Hotel,,https://arablocal.com/business/view/bahr-4-hotel,,,,,
Marina Suites,+966 114609440,,,"Al Worood Dist., Riyadh, Al Worood Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Worood Dist.,Riyadh Province,Saudi Arabia,Marina Suites,,https://arablocal.com/business/view/marina-suites,,,,,
The Saudi Factories for Modern Buildings,+966 126203669,,,"Kilo 16, Old Makkah Road, Jeddah, Old Makkah Road, Jeddah, Makkah Province, Saudi Arabia",Kilo 16,Makkah Province,Saudi Arabia,The Saudi Factories for Modern Buildings,,https://arablocal.com/business/view/the-saudi-factories-for-modern-buildings,,,,,
Naya Hotel,+966 558835005,,,"Nayef Ibn Abd Elaziz Street, Jamaeen Dist., Dammam, Jamaeen Dist., Dammam, Eastern Province, Saudi Arabia",Nayef Ibn Abd Elaziz Street,Eastern Province,Saudi Arabia,,,https://arablocal.com/business/view/naya-hotel,,,,,
Al Meknan Residentail Units King Abdul Aziz Road Al Madinah Al Munawarah,+966 148347744,,,"King Abdul Aziz Road, Al Madinah Al Munawarah, King Abdul Aziz Road, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",King Abdul Aziz Road,Madinah Province,Saudi Arabia,Al Meknan Residentail Units King Abdul Aziz Road Al Madinah Al Munawarah,,https://arablocal.com/business/view/al-meknan-residentail-units-king-abdul-aziz-road-al-madinah-al-munawarah,,,,,
Amasi For Hotel Suites,+966 112131279,,,"Aziziyah Dist., Riyadh, Aziziyah Dist., Riyadh, Riyadh Province, Saudi Arabia",Aziziyah Dist.,Riyadh Province,Saudi Arabia,Amasi For Hotel Suites,,https://arablocal.com/business/view/amasi-for-hotel-suites,,,,,
Nojoom Al Jazirah For Furnished Apartments And Suites,+966 144242888,,,"Ulaya Dist, Tabuk, Ulaya Dist, Tabuk, Tabuk Province, Saudi Arabia",Ulaya Dist,Tabuk Province,Saudi Arabia,Nojoom Al Jazirah For Furnished Apartments And Suites,,https://arablocal.com/business/view/nojoom-al-jazirah-for-furnished-apartments-and-suites,,,,,
Sahari Hotels Suites,+966 138651200,,,"Third Street near Prince Street Hammoud, Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Third Street near Prince Street Hammoud,Eastern Province,Saudi Arabia,Sahari Hotels Suites,,https://arablocal.com/business/view/sahari-hotels-suites,,,,,
Fanar Al Jubail Hotel Suites,+966 133617666,,,"Al Balad, Jubail, Al Balad, Jubail, Eastern Province, Saudi Arabia",Al Balad,Eastern Province,Saudi Arabia,Fanar Al Jubail Hotel Suites,,https://arablocal.com/business/view/fanar-al-jubail-hotel-suites,,,,,
Retaj Hotel Suites,+966 114661777,,,"Ulaya Dist., Riyadh, Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Ulaya Dist.,Riyadh Province,Saudi Arabia,Retaj Hotel Suites,,https://arablocal.com/business/view/retaj-hotel-suites,,,,,
Jawan Hotel Suites,+966 148222254,,,"Hijrah Dist., Al Madinah Al Munawarah, Hijrah Dist., Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Hijrah Dist.,Madinah Province,Saudi Arabia,Jawan Hotel Suites,,https://arablocal.com/business/view/jawan-hotel-suites,,,,,
Al Meknan Hotel,+966 148224466,,,"Qurbaan St., Al Madinah Al Munawarah, Qurbaan, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",Qurbaan St.,Madinah Province,Saudi Arabia,Al Meknan Hotel,,https://arablocal.com/business/view/al-meknan-hotel,,,,,
Al Mansour Real Estate Office,+966 148844825,,,"AL ULA, Al Madinah Al Munawarah, AL ULA, Al Madinah Al Munawarah, Madinah Province, Saudi Arabia",AL ULA,Madinah Province,Saudi Arabia,Al Mansour Real Estate Office,,https://arablocal.com/business/view/al-mansour-real-estate-office,,,,,
Al Jomairah Hotel Suites,+966 112263888,,,"Ashplyah Dist., Riyadh, Ashplyah Dist., Riyadh, Riyadh Province, Saudi Arabia",Ashplyah Dist.,Riyadh Province,Saudi Arabia,Al Jomairah Hotel Suites,,https://arablocal.com/business/view/al-jomairah-hotel-suites,,,,,
Aryaf Al Dammam Hotel Suites,+966 138095975,,,"Al Shatei Dist., Dammam, Al Shatei Dist., Dammam, Eastern Province, Saudi Arabia",Al Shatei Dist.,Eastern Province,Saudi Arabia,Aryaf Al Dammam Hotel Suites,,https://arablocal.com/business/view/aryaf-al-dammam-hotel-suites,,,,,
Palace touches 2 hotels,+966 126893941,,,"Al Rowdah Dist., Jeddah, Al Rowdah Dist., Jeddah, Makkah Province, Saudi Arabia",Al Rowdah Dist.,Makkah Province,Saudi Arabia,Palace touches 2 hotels,,https://arablocal.com/business/view/palace-touches-2-hotels,,,,,
Rest Home Hotel Apartments Dammam,+966 138200900,,,"King Saud Street, Uhud Dist., Dammam, Uhud Dist., Dammam, Eastern Province, Saudi Arabia",King Saud Street,Eastern Province,Saudi Arabia,Rest Home Hotel Apartments Dammam,,https://arablocal.com/business/view/rest-home-hotel-apartments-dammam,,,,,
Al Rashid Mall Hotel,+966 138814411,,,"Al Rashid Mall, Khobar, Al Khobar, Khobar, Al Khobar, Eastern Province, Saudi Arabia",Al Rashid Mall,Eastern Province,Saudi Arabia,Al Rashid Mall Hotel,,https://arablocal.com/business/view/al-rashid-mall-hotel,,,,,
Yanbu Stars For Hotel Suites,+966 143902444,,,"Jeddah Road, Yenbu, Yanbu, Yenbu, Yanbu, Madinah Province, Saudi Arabia",Jeddah Road,Madinah Province,Saudi Arabia,Yanbu Stars For Hotel Suites,,https://arablocal.com/business/view/yanbu-stars-for-hotel-suites,,,,,
Jala House For Furnished Apartments,+966 138090987,,,"Al Hamra Dist., Dammam, Al Hamra Dist., Dammam, Eastern Province, Saudi Arabia",Al Hamra Dist.,Eastern Province,Saudi Arabia,Jala House For Furnished Apartments,,https://arablocal.com/business/view/jala-house-for-furnished-apartments,,,,,
Etqaan For Hospitality Management,+966 505826291,+966 138935353,,"Al Dammam -18, Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia",Al Dammam -18,Eastern Province,Saudi Arabia,Etqaan For Hospitality Management,,https://arablocal.com/business/view/etqaan-for-hospitality-management,,,,,
Durat Al Nakheel Hotel Suites,+966 112051717,,,"Al Nakheel Dist., Riyadh, Al Nakheel Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Nakheel Dist.,Riyadh Province,Saudi Arabia,Durat Al Nakheel Hotel Suites,,https://arablocal.com/business/view/durat-al-nakheel-hotel-suites,,,,,
Aleairy No.3 Al Zhoor Dammam,+966 138306248,,,"King Abd Elaziz Street, Al Zhoor Dist., Dammam, Al Zhoor Dist., Dammam, Eastern Province, Saudi Arabia",King Abd Elaziz Street,Eastern Province,Saudi Arabia,Aleairy No.3 Al Zhoor Dammam,,https://arablocal.com/business/view/aleairy-no-3-al-zhoor-dammam,,,,,
Dar Raneem Furnished Appartment,+966 144241010,,,"Al Mahrjan Dist., Tabuk, Al Mahrjan Dist., Tabuk, Tabuk Province, Saudi Arabia",Al Mahrjan Dist.,Tabuk Province,Saudi Arabia,Dar Raneem Furnished Appartment,,https://arablocal.com/business/view/dar-raneem-furnished-appartment,,,,,
Watd Arabia for Prefabricated Houses Co.,+966 505670116,,,"Al Rawabei Dist., Jeddah, Al Rawabei Dist., Jeddah, Makkah Province, Saudi Arabia",Al Rawabei Dist.,Makkah Province,Saudi Arabia,Watd Arabia for Prefabricated Houses Co.,,https://arablocal.com/business/view/watd-arabia-for-prefabricated-houses-co,,,,,
The East Crystal,+966 138224835,,,"King Saud street, Uhud Dist., Dammam, Uhud Dist., Dammam, Eastern Province, Saudi Arabia",King Saud street,Eastern Province,Saudi Arabia,The East Crystal,,https://arablocal.com/business/view/the-east-crystal,,,,,
Budel Hotel,+966 138093333,,,"Prince Mohamed Bin Fahd Road, Nasiriyah Dist., Dammam, Nasiriyah Dist., Dammam, Eastern Province, Saudi Arabia",Prince Mohamed Bin Fahd Road,Eastern Province,Saudi Arabia,Budel Hotel,,https://arablocal.com/business/view/budel-hotel,,,,,
House Al Bafrj,+966 138056559,,,"Laborer City, Dammam, Laborer City, Dammam, Eastern Province, Saudi Arabia",Laborer City,Eastern Province,Saudi Arabia,House Al Bafrj,,https://arablocal.com/business/view/house-al-bafrj,,,,,
Industrialized Buildings Saudi Factories,+966 126213333,,,"Old Makkah Road, Jeddah, Old Makkah Road, Jeddah, Makkah Province, Saudi Arabia",Old Makkah Road,Makkah Province,Saudi Arabia,Industrialized Buildings Saudi Factories,,https://arablocal.com/business/view/industrialized-buildings-saudi-factories,,,,,
Leen For Hotel Suites,+966 138956677,,,"Khobar North, Al Khobar, Khobar North, Al Khobar, Eastern Province, Saudi Arabia",Khobar North,Eastern Province,Saudi Arabia,Leen For Hotel Suites,,https://arablocal.com/business/view/leen-for-hotel-suites,,,,,
Dorat El Nayfa Hotel,+966 138130394,,,"Imam Mohamad Ibn Abd Elwahab street, Al Shullah Dist., Dammam, Al Shullah Dist., Dammam, Eastern Province, Saudi Arabia",Imam Mohamad Ibn Abd Elwahab street,Eastern Province,Saudi Arabia,Dorat El Nayfa Hotel,,https://arablocal.com/business/view/dorat-el-nayfa-hotel,,,,,
Al Falakia Furnished Suites,+966 138651344,,,"Al Aqrabiyah Dist, Al Khobar, Al Aqrabiyah Dist, Al Khobar, Eastern Province, Saudi Arabia",Al Aqrabiyah Dist,Eastern Province,Saudi Arabia,Al Falakia Furnished Suites,,https://arablocal.com/business/view/al-falakia-furnished-suites,,,,,
Wonder Plaza Seouts,+966 112515555,,,"Khaled bin Al Waleed Street, Ghurnatah Dist., Riyadh, Ghurnatah Dist., Riyadh, Riyadh Province, Saudi Arabia",Khaled bin Al Waleed Street,Riyadh Province,Saudi Arabia,Wonder Plaza Seouts,,https://arablocal.com/business/view/wonder-plaza-seouts,,,,,
Al Amrosiyah Furnished Hotel Suites,+966 138994448,,,"Khobar North, Al Khobar, Khobar North, Al Khobar, Eastern Province, Saudi Arabia",Khobar North,Eastern Province,Saudi Arabia,Al Amrosiyah Furnished Hotel Suites,,https://arablocal.com/business/view/al-amrosiyah-furnished-hotel-suites,,,,,
Shammas Hotel Suites,+966 138094314,,,"Al Salam Dist., Dammam, Al Salam Dist., Dammam, Eastern Province, Saudi Arabia",Al Salam Dist.,Eastern Province,Saudi Arabia,Shammas Hotel Suites,,https://arablocal.com/business/view/shammas-hotel-suites,,,,,
Sami Abdul Rahim Jalal Est.,+966 567304348,+966 126502344,,"Appartment No. 7, 2nd Floor, Al Samh Building, Toubah Street, Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Appartment No. 7,Makkah Province,Saudi Arabia,Sami Abdul Rahim Jalal Est.,,https://arablocal.com/business/view/sami-abdul-rahim-jalal-est,,,,,
