Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Shifa Al Jazeera Polyclinic Al Batha Riyadh,+966 546121901,+966 4024900,+966 4121855,info@shifaaljazeera.com.sa,"Batha Main street – Opp: Jamal Complex, Al Bat'ha Dist., Riyadh, Riyadh Province, Saudi Arabia",Batha Main street – Opp: Jamal Complex,Riyadh Province,Saudi Arabia,"Eighteen years back in the eve of a breezy cool day of November -2002 Shifa al Jazeera was started with a minimal number of Doctors ,Paramedics and other staff.Now we commands a commendable position in the health care sector of Riyadh, due to its integral,cost effective treatment reentered to its patients.When looking back from a simple and humble start we are here with a little pomp and pride.Eighteen years are surly a milestone in the step by step development of this clinic.Days have passed...",http://shifaaljazeera.com.sa/,https://arablocal.com/business/view/shifa-al-jazeera-polyclinic-al-batha-riyadh,,,,,
Al Maghlouth Medical Dispensary,+966 135313333,,,,"Makkah Street, Al Shurofiyah, Al Mubarraz, Eastern Province, Saudi Arabia",Makkah Street,Eastern Province,Saudi Arabia,Al Maghlouth Medical Dispensary,http://www.magclinic.com/,https://arablocal.com/business/view/al-maghlouth-medical-dispensary,,,,,
Salehiya Medical,+966 138260830,,,,"Hassan Al Basri, Al Tebashee Dist., Dammam, Al Tebashee Dist., Dammam, Eastern Province, Saudi Arabia",Hassan Al Basri,Eastern Province,Saudi Arabia,"Salehiya started commercial activities in 1964, as a specialized healthcare company. At present, it is one of the leading companies in Saudi Arabia specializing in the distribution of pharmaceuticals, medical and laboratory equipment, diagnostics, medical disposables and hospital supplies as well as consumer supplies. The company kept apace with the rapid development of the health sector and evolved along with the demands of a constantly growing market and ambitious development plans of the g...",http://www.salehiya.com,https://arablocal.com/business/view/salehiya-medical,,,,,
Saudi German Nursing Institute,+966 126623750,,,,"Al Zahra Dist., Makkah Al Mukarrmah, Al Zahra Dist., Mecca, Makkah Province, Saudi Arabia",Al Zahra Dist.,Makkah Province,Saudi Arabia,Saudi German Nursing Institute,http://www.sghgroup.com.sa/ar,https://arablocal.com/business/view/saudi-german-nursing-institute,https://www.facebook.com/SaudiGermanHospitals/,https://www.instagram.com/sgh.group/,https://www.linkedin.com/company/saudi-german-hospitals-group,https://www.twitter.com/sghgroup,https://www.youtube.com/user/SaudiGermanHospitals
Al Badr Medical Clinics,+966 125701287,,,,"Al Khansa Dist., Mecca, Makkah Province, Saudi Arabia",Al Khansa Dist.,Makkah Province,Saudi Arabia,Al Badr Medical Clinics,http://www.albadrmedical.com/,https://arablocal.com/business/view/al-badr-medical-clinics,,,,,
Chronic Care Specialty Hospital,+966 126180600,+966 536534791,,,"Hamza Shahta Street, Baghdadiya Al Gharbiya, Al Baghdadiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Hamza Shahta Street,Makkah Province,Saudi Arabia,"Chronic Care Specialty Hospital is the first transitional care hospital in the Kingdom of Saudi Arabia. Adapted from the western model of holistic care approach, transitional care offers smooth and carefully planned movement of a patient from a tertiary hospital to a more relaxed level of care, in a transitional care hospital offering long term healing and care.Most of such patients are chronic patients that have undergone a procedure at a tertiary hospital and now require a specialized healt...",http://www.chroniccare.sa/,https://arablocal.com/business/view/chronic-care-specialty-hospital,https://www.facebook.com/chroniccareksa/,https://instagram.com/chroniccareksa/,https://www.linkedin.com/company/chroniccare/,https://twitter.com/chroniccareksa/,
Saudi Health Services Institute Madinah Road Jeddah,+966 126974451,,,,"Madinah Road, Jeddah, Madinah Road, Jeddah, Makkah Province, Saudi Arabia",Madinah Road,Makkah Province,Saudi Arabia,Saudi Health Services Institute Madinah Road Jeddah,http://www.saudihealth.biz/,https://arablocal.com/business/view/saudi-health-services-institute-madinah-road-jeddah,https://www.facebook.com/Saudi-Health-Services-Company-Ltd-193701377380627/,,,,
Saba Clinics - Al Bawadei Jeddah,+966 126547842,,,,"West Of Siteen Street, Al Bawadei Dist., Jeddah, Al Bawadei Dist., Jeddah, Makkah Province, Saudi Arabia",West Of Siteen Street,Makkah Province,Saudi Arabia,Saba Clinics - Al Bawadei Jeddah,http://sabamedical.com/,https://arablocal.com/business/view/saba-clinics-al-bawadei-jeddah,https://www.facebook.com/pages/Saba-Medical-%D8%B3%D8%A7%D8%A8%D8%A7-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9/189169524447356,https://www.instagram.com/sabamedical/?hl=en,https://www.linkedin.com/company/saba-clinics/,https://twitter.com/SABAMEDICAL,https://www.youtube.com/user/SABAMEDICALKSA
Ram Dental And Orthodontic Clinics Dammam,+966 138425701,,,,"Othman Ibn Affan Street, Al Murakbat Dist., Dammam, Al Murakbat Dist., Dammam, Eastern Province, Saudi Arabia",Othman Ibn Affan Street,Eastern Province,Saudi Arabia,Ram Dental And Orthodontic Clinics Dammam,http://ramclinics.net/,https://arablocal.com/business/view/ram-dental-and-orthodontic-clinics-dammam,https://www.facebook.com/RamClinics/,https://www.instagram.com/ramclinics/,https://www.linkedin.com/company/13197747/,https://twitter.com/ramclinics,https://www.youtube.com/channel/UCfLOECTggBtJ0L4LZ7b0FFw
Thyrocare Gulf,,,,thyrocaregulf8@gmail.com,"43, Bldg No.737, Road 1510, BIIP, Al Ewaiqilah, Arar City, Northern Borders Province, Saudi Arabia",43,Northern Borders Province,Saudi Arabia,"Thyrocare is Bahrain fully automated diagnostic laboratory with a focus on providing quality at affordable costs to laboratories and hospitals in Bahrain and other countries. We have focus on strong technologies, strong brands and strong systems that enable all laboratories to give their clients the best of science and technology at an affordable cost. With a belief that 'Quality' is the heart of any intelligent management, Thyrocare became one of the first Indian diagnostic laboratories to o...",http://thyrocaregulf.com/,https://arablocal.com/business/view/thyrocare-gulf,https://www.facebook.com/thyrocaregulf/,,https://www.linkedin.com/company/thyrocare-gulf,https://twitter.com/thyrocare_gulf,
ShieldMe,,,,info@shieldmeglobal.com,"Exit 18, Istanbul Street, Al Fouzan Industrial Area, Sulayil, Riyadh, Riyadh Province, Saudi Arabia",Exit 18,Riyadh Province,Saudi Arabia,"SHIELDme™ is the home of a market-leading formula that is designed to destroy viruses and germs in an incredibly effective yet safe manner. Following the outbreak of Covid 19, the world has had to adapt to a new way of living. The KSA, like most countries around the globe, have implemented certain measures to keep their citizens safe. SHIELDme™ is playing a role in this, too, as our experts have created a formula that is safe for humans and the environment. The substance contains natural elem...",http://www.ksa.shieldmeglobal.com/,https://arablocal.com/business/view/shieldme,https://www.facebook.com/Shieldmeglobal-102961727986019,https://www.instagram.com/shieldmeglobal/,https://www.linkedin.com/company/shieldme%E2%84%A2-global/,https://twitter.com/ShieldmeGlobal,https://www.youtube.com/channel/UCBE0j73EdhG4nbcNACasikQ
