Name,Phone_1,Phone_2,Location,Area,Governorate,Country,About,Website,Rating,Views,URL
arablocal.com | 520: Web server is returning an unknown error,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/inox-kitchen-equipment
arablocal.com | 520: Web server is returning an unknown error,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/qatar-glass-industries
arablocal.com | 520: Web server is returning an unknown error,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/almuftah-carpentry-al-muftah-group
Al Bayader International,+974 44114356,,"Unnamed Road, Ar-Rayyan",Unnamed Road,,Qatar,Al Bayader International,http://www.albayader.com,,2719,https://qatar.arablocal.com/business/view/al-bayader-international
Al Hussaini Aluminium,+974 33349995,+974 44350589,"Shop 32, Souq Al Haraj ( Showroom ) / Sailiya ( Workshop ) P.O.Box 14316",Shop 32,,Qatar,Al Hussaini Aluminium,http://www.ahaqatar.com,,2679,https://qatar.arablocal.com/business/view/al-hussaini-aluminium
Ghd Global Pty Ltd,+974 44289444,,"City Plaza, Al Sadd St P.O.Box 14352",City Plaza,,Qatar,Ghd Global Pty Ltd,https://www.ghd.com,0,2654,https://qatar.arablocal.com/business/view/ghd-global-pty-ltd
Dar Al Handasah Consultants,+974 44389389,,"8Th Flr, Burj Al Qassar, West Bay P.O.Box 40358",8Th Flr,Burj Al Qassar,Qatar,Dar Al Handasah Consultants,http://www.dargroup.com,,2643,https://qatar.arablocal.com/business/view/dar-al-handasah-consultants
Al Baida Technical Svcs,+974 44128899,,Al Noor Street Hazm Al Markhiya Doha Qatar PO Box 37772,,,Qatar,Al Baida Technical Svcs,http://www.albaidagroup.com,,2435,https://qatar.arablocal.com/business/view/al-baida-technical-svcs
Al Jaber Group,+974 44375940,+974 44372551,"Al Jaber Tower, Museum St, Corniche P.O.Box 22628",Al Jaber Tower,Museum St,Qatar,Al Jaber Group,http://www.aljaberqatar.com,,2370,https://qatar.arablocal.com/business/view/al-jaber-group
Silver Falcon Contg and Trdg Co Wll,+974 44449970,+974 44449973,"First Floor, Barwa Commercial Avenue, East Industrial Street, Safwa Building Street 24, Doha P.O.Box 37057",First Floor,Safwa Building Street 24,Qatar,Silver Falcon Contg and Trdg Co Wll,http://www.silver-falcon.com,,2363,https://qatar.arablocal.com/business/view/silver-falcon-contg-and-trdg-co-wll
Al Rayyan Plastic Factory,+974 44160777,,Street 21 New,,,Qatar,Al Rayyan Plastic Factory,http://www.alrayyanplastics.com,0,2356,https://qatar.arablocal.com/business/view/al-rayyan-plastic-factory
Alamodi group for trading and contracting building materials,+974 44426456,,"25 Fareeq Bin Dirham, Building - 12,Al Manso ura",25 Fareeq Bin Dirham,Building - 12,Qatar,Alamodi group for trading and contracting building materials,http://www.alamodigroup.qa,0,2326,https://qatar.arablocal.com/business/view/alamodi-group-for-trading-and-contracting-building-materials
ALAMODI STORE,+974 44324943,,"Clock Round About,Down Town",Clock Round About,,Qatar,ALAMODI STORE,http://www.alamodigroup.qa,,2247,https://qatar.arablocal.com/business/view/alamodi-store
Blue House Companies Group,+974 44686453,,"Salwa Rd, Doha, Qatar",Salwa Rd,Doha,Qatar,Blue House Companies Group,http://www.bluehouseautomaticdoors.com,0,2203,https://qatar.arablocal.com/business/view/blue-house-companies-group
Bab Ishtar Group,+974 44580618,+974 44580630,"Ain Khaled R / A, Salwa Rd P.O.Box 20633",Ain Khaled R / A,,Qatar,Bab Ishtar Group,http://www.babishtargroup.com.qa,0,2111,https://qatar.arablocal.com/business/view/bab-ishtar-group
Al Dana Aluminum Products Qatar,+974 30009513,,Ar-Rayyan,,,Qatar,Al Dana Aluminum Products Qatar,http://www.aldana.qa,,2049,https://qatar.arablocal.com/business/view/al-dana-aluminum-products-qatar
ALAMODI CENTER Exclusive showroom,,,"Salwa Road,Midmac bridge Near almana Petrol",Salwa Road,,Qatar,ALAMODI CENTER Exclusive showroom,http://www.alamodigroup.qa,,2013,https://qatar.arablocal.com/business/view/alamodi-center-exclusive-showroom
