Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/ali-saz-international
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-anis-trading-co-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-wefaq-engg-and-contg-co-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/nador-maintenance
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/afridi-trading-and-contg-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/eid-bin-mohd-al-thani-and-sons-co
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/j-and-p-labor-camp
LENO TRADING and CONTRACTING COMPANY W L L,+974 44416934,,,"Yafa St, Doha , Qatar",Yafa St,Doha,Qatar,LENO TRADING and CONTRACTING COMPANY W L L,,,1669,https://qatar.arablocal.com/business/view/leno-trading-and-contracting-company-w-l-l
Exblowra Trdg and Contg Svcs Co,+974 44350154,+974 44418945,,"Ibn Mahmoud St, Doha, Qatar P.O.Box 12147",Ibn Mahmoud St,Doha,Qatar,Exblowra Trdg and Contg Svcs Co,,,1658,https://qatar.arablocal.com/business/view/exblowra-trdg-and-contg-svcs-co
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/sun-tech-trading-co-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/techso-engineering-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/the-maintainers
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/jones-engineering-group-llc
Qatar Building Company QBC Concrete Plant I,,,,Ar-Rayyan,,,Qatar,Qatar Building Company QBC Concrete Plant I,,0,1528,https://qatar.arablocal.com/business/view/qatar-building-company-qbc-concrete-plant-i
Seagull Trad and Cont Co Wll,+974 44313173,+974 44601892,,"Al attiya Market St. 23, Gate 81, Industrial Area, P.O.Box 40528, Doha, Qatar",Al attiya Market St. 23,Doha,Qatar,Seagull Trad and Cont Co Wll,,0,1454,https://qatar.arablocal.com/business/view/seagull-trad-and-cont-co-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/bojamhoor-trading-and-contracting-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/younis-contracting-and-trading-est
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/target-rotary-llc
502 Bad Gateway,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/mcdermott-eastern-hemisphere-limited
TechnoFayha Co W L L,+974 40068727,,,Area 56 Street 56/ Building 128/ Unit 4 Block 7? Doha - Industrial Area,,,Qatar,TechnoFayha Co W L L,,,1432,https://qatar.arablocal.com/business/view/technofayha-co-w-l-l
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/abir-akkad
502 Bad Gateway,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/mace-qatar-mechanical-and-civil-engineering-contractors-company-limited
Imar Trading and Contracting Company Wll,+974 44131770,,,"Bldg 125, Al Amir St No. 251, Zone No. 55 P.O.Box 22403",Bldg 125,Al Amir St No. 251,Qatar,"IMAR was founded in 1995, promptly establishing its reputation for excellence in the construction industry, specializing in architectural interior fit out before expanding to Qatar in year 2000.IMAR prides itself on an exceptional record of successfully completed projects. It has built its reputation on bringing jobs in on time and within budget. IMAR’s project delivery system is designed to provide quality and timeliness at competitive prices. This emphasis on quality and attention to detail...",http://www.groupimar.com,,5294,https://qatar.arablocal.com/business/view/imar-trading-and-contracting-company-wll
Alghanim International Qatar,+974 44374256,,,"Al Reem Tower, Buroog Tower, Al Meena St, Doha",Al Reem Tower,Al Meena St,Qatar,Alghanim International Qatar,http://www.falghanim.com,0,2985,https://qatar.arablocal.com/business/view/alghanim-international-qatar
Al Rayyan Swimming Pools Wll,+974 44663332,+974 44663331,,"Office 308, D Ring Rd P.O.Box 3366",Office 308,,Qatar,Al Rayyan Swimming Pools Wll,http://www.alrayyanpools.com,,3091,https://qatar.arablocal.com/business/view/al-rayyan-swimming-pools-wll
Al Khaleej Building Co Wll,+974 44340114,+974 44657855,,"Office 12, 1St Flr, Salwa Commercial Bldg,Nr Midmac R / A, Salwa Rd P.O.Box 5511",Office 12,Nr Midmac R / A,Qatar,Al Khaleej Building Co Wll,http://www.alkhaleejbuildings.com,,2460,https://qatar.arablocal.com/business/view/al-khaleej-building-co-wll
Astaldi Arabia Ltd,+974 44554703,+974 44672983,,"Al Mana Business Tower, C Ring Rd P.O.Box 23105",Al Mana Business Tower,,Qatar,Astaldi Arabia Ltd,http://www.astaldi.com,,2320,https://qatar.arablocal.com/business/view/astaldi-arabia-ltd
Mesopotamia For General Contracting Llc,+974 44413475,,,"P.O. Box: 37232, C Ring Rd",P.O. Box: 37232,,Qatar,Mesopotamia For General Contracting Llc,http://www.mgc.qa,0,2015,https://qatar.arablocal.com/business/view/mesopotamia-for-general-contracting-llc
Draieh Contracting Llc Draieh Logistic Services Co Wll,+974 44425284,+974 44361127,,"Al Sadd Mosque, Ibn Umayah St, Doha, Qatar P.O.Box 5113",Al Sadd Mosque,Doha,Qatar,Draieh Contracting Llc Draieh Logistic Services Co Wll,http://www.damacgroup.com,0,2037,https://qatar.arablocal.com/business/view/draieh-contracting-llc-draieh-logistic-services-co-wll
Al Qayed Trading and Contg Al Qayed Holding Group,+974 44072266,,,"P.O. Box: 158, D Ring Rd",P.O. Box: 158,,Qatar,Al Qayed Trading and Contg Al Qayed Holding Group,http://www.qayedco.com,0,1949,https://qatar.arablocal.com/business/view/al-qayed-trading-and-contg-al-qayed-holding-group
Al Khayarin Group Trdg and Contg Wll,+974 44651179,+974 44775671,,"Nr Al Jazeera Arabia R / A, Bin Omran P.O.Box 37461",Nr Al Jazeera Arabia R / A,,Qatar,Al Khayarin Group Trdg and Contg Wll,http://www.alkhayaringroup.com,0,1941,https://qatar.arablocal.com/business/view/al-khayarin-group-trdg-and-contg-wll
Crompton IntL Trdg and Contg Co Wll,+974 44681414,+974 55517324,,"Office 405 & 406, 4Th Flr, N B K - Musherib Bldg, Nr Doha Petrol Station, Musherib P.O.Box 37491",Office 405 & 406,Nr Doha Petrol Station,Qatar,Crompton IntL Trdg and Contg Co Wll,http://www.cromptonqatar.com,,1849,https://qatar.arablocal.com/business/view/crompton-intl-trdg-and-contg-co-wll
Power Systems and Information Technology PSTech,+974 40052828,,,"Doha, Qatar",Doha,,Qatar,Power Systems and Information Technology PSTech,http://www.emfigroup.com,,1762,https://qatar.arablocal.com/business/view/power-systems-and-information-technology-pstech
Al Farhana Crane and Forklift Hire,+974 44419047,+974 44865164,,"2Nd Flr, Vodafone Bldg, Fathmiya Complex, Al Attiya Market, St 23, Ind Area P.O.Box 1868",2Nd Flr,St 23,Qatar,Al Farhana Crane and Forklift Hire,http://www.alfarhanest.net,0,1689,https://qatar.arablocal.com/business/view/al-farhana-crane-and-forklift-hire
Al Khaleej Modern Lights Wll,+974 44413776,+974 44373604,alkhaleejmathew@hotmail.com,"P.O. Box: 10299, 1St Flr, Qpost Kgh Bldg, C Ring Rd",P.O. Box: 10299,Qpost Kgh Bldg,Qatar,Al Khaleej Modern Lights Wll,http://www.alkhaleejmodernlight.com,0,1656,https://qatar.arablocal.com/business/view/al-khaleej-modern-lights-wll
Al Sabbah Trdg and Contg Co Wll,+974 44417547,+974 44355321,,"Nr Al Shaheen, Al Muntazah P.O.Box 17717",Nr Al Shaheen,,Qatar,Al Sabbah Trdg and Contg Co Wll,http://www.alsabbahqatar.com,,1588,https://qatar.arablocal.com/business/view/al-sabbah-trdg-and-contg-co-wll
Archirodon Construction Overseas Co S A,+974 44102111,,,"1St Flr, Al Seif Bldg No 263, C Ring Rd P.O.Box 22256",1St Flr,Al Seif Bldg No 263,Qatar,Archirodon Construction Overseas Co S A,http://www.archirodon.net,,1542,https://qatar.arablocal.com/business/view/archirodon-construction-overseas-co-s-a
Al Hateem Trading and Contracting W L L,+974 44350015,,,"Room # 25, 2nd floor, MISR Insurance Building Opp. Al Emadi Business Centre, C Ring Rd, Doha",Room # 25,C Ring Rd,Qatar,Al Hateem Trading and Contracting W L L,http://www.alhateem.qa,0,1440,https://qatar.arablocal.com/business/view/al-hateem-trading-and-contracting-w-l-l
Baumeister Contracting and Trading Wll,+974 44340876,,,"Office 108, Souq Al Rawda 3, Nr Midmac Flyover, Salwa Rd P.O.Box 200334",Office 108,Nr Midmac Flyover,Qatar,"Since the expansion of our market in the Gulf, Baumeister Trading Corporation, QATAR (BTC) become affiliated with the applicator of many additional well known local and international manufactures and trading companies in the construction products. Our Qatar division is committed to provide you with the same outstanding quality of the highest skilled employees and professional management team in order to innovate, develop and implement solutions to frequent challenges of Engineering and Constr...",http://www.baumeistercorp.com,0,1421,https://qatar.arablocal.com/business/view/baumeister-contracting-and-trading-wll
