Category,Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram,Twitter,YouTube
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/fitness-time-gym-umm-salal,,,,
industrial,Al Fereej Consultancy and Designs,+974 44373337,,,"Al Fereej Bldg, C Ring Rd P.O.Box 6767",Al Fereej Bldg,,Qatar,Al Fereej Consultancy and Designs,http://www.alfereefgroup.com,,3964,https://qatar.arablocal.com/business/view/al-fereej-consultancy-and-designs,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/arab-club-swimming-pool,,,,
industrial,Al Wafa Carpentry,+974 44600849,,,"St 21, Gate 96, Salwa Ind Area P.O.Box 778",St 21,Gate 96,Qatar,Al Wafa Carpentry,http://www.alwafatrading.com,,3921,https://qatar.arablocal.com/business/view/al-wafa-carpentry,,,,
industrial,Al Ittefaq Steel Trading And Technical Co Street 18 Ar Rayyan,+974 44500512,,,"Street 18, Ar-Rayyan",Street 18,,Qatar,Al Ittefaq Steel Trading And Technical Co Street 18 Ar Rayyan,,,3918,https://qatar.arablocal.com/business/view/al-ittefaq-steel-trading-and-technical-co-street-18-ar-rayyan,,,,
industrial,Al Erada Auto Electrical And Ac Wrokshop,+974 55190476,,,Doha,,,Qatar,Al Erada Auto Electrical And Ac Wrokshop,,,3601,https://qatar.arablocal.com/business/view/al-erada-auto-electrical-and-ac-wrokshop,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/ain-khalid-gate-lap-pool,,,,
industrial,Al Misned Trading and Joinery Wll Al Misned Group Wll,+974 44651104,+974 44602115,,"St 23, Gate 149, Salwa Ind Area P.O.Box 40841",St 23,Gate 149,Qatar,Al Misned Trading and Joinery Wll Al Misned Group Wll,http://www.almisnedtj.cm,0,3573,https://qatar.arablocal.com/business/view/al-misned-trading-and-joinery-wll-al-misned-group-wll,,,,
cafeterias,Tea Time Qatar sport club,+974 50744888,,,"Unnamed Road, Doha",Unnamed Road,,Qatar,Tea Time Qatar sport club,http://www.teatimeqatar.com,,1873,https://qatar.arablocal.com/business/view/tea-time-qatar-sport-club,,,,
fitness,AL Reem Gardens Compound,+974 50695510,,,"Dukhan Hwy, Doha",Dukhan Hwy,,Qatar,AL Reem Gardens Compound,,,3733,https://qatar.arablocal.com/business/view/al-reem-gardens-compound,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/arabcal-icon-technical-solutions,,,,
industrial,Al Sadd Consulting Engineering Co,+974 44655586,,,Salwa Commercial Complex P.O.Box 39032,,,Qatar,"In its activities ALSADD CONSULTING includes all types of Architectural and Engineering consultancy services. As a Grade(A) consultancy firm, it is capable of taking the responsibility of designing and supervising all types of buildings and projects.",http://www.alsaddconsult.com,,3221,https://qatar.arablocal.com/business/view/al-sadd-consulting-engineering-co,,,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-time-umm-salal-muhammed,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-muftah-group,,,,
business-b2b,Al Sial Manpower Recruitment,+974 44476467,+974 44428319,,"Al Aziziya St, Doha, Qatar P.O.Box 202283",Al Aziziya St,Doha,Qatar,Al Sial Manpower Recruitment,http://www.alsialgroup.com,,2939,https://qatar.arablocal.com/business/view/al-sial-manpower-recruitment,,,,
fitness,Al Messila Swimming Pool,+974 33046332,,,Doha,,,Qatar,Al Messila Swimming Pool,,,3663,https://qatar.arablocal.com/business/view/al-messila-swimming-pool,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-shoumoukh-tower,,,,
fitness,Dr Nutrition Doha Festival City,+974 44519165,,,Doha Festival City,,,Qatar,Dr Nutrition Doha Festival City,http://www.drnutrition.com,,3610,https://qatar.arablocal.com/business/view/dr-nutrition-doha-festival-city,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-mana-group-wll,,,,
industrial,Al Watan Aluminium and Glass,+974 33417633,,,"Road no. 17 Gate No.115 -117 Industrial Area, Doha-Qatar P.O.Box 00000",Road no. 17 Gate No.115 -117 Industrial Area,,Qatar,"• All types of aluminum & glass work; doors, windows, claddings, hand rails, grill,Tempered Glass, Laminated Glass, Insulated Glass, Processed Glass, Mirrors.• All types of stainless-steel works; doors, windows, claddings, hand rails, grills,architectural metal works, decorative articles etc.• Doubling of glass, toughened glass, frameless doors, glass partitions, etc. buildings, residential buildings, villas, schools, hospitals etc.",http://www.alwatanglass.com,,3216,https://qatar.arablocal.com/business/view/al-watan-aluminium-and-glass,,,,
cafeterias,Nespresso Blue Salon,+974 44466120,,info@bluesalon.com,Suhaim Bin Hamad Street,,,Qatar,"The Nespresso story began with a simple idea: enable anyone to create the perfect cup of espresso coffee – just like a skilled barista. From its beginning in 1986, Nespresso has redefined and revolutionised the way millions of people enjoy their espresso coffee. It has shaped the global coffee culture. Every Nespresso capsule sold in the world is produced in one of our three state-of-the-art production centres in Switzerland.",http://www.abuissa.com,,1848,https://qatar.arablocal.com/business/view/nespresso-blue-salon,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-arabi-swimming-complex,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/alwakra-sports-club-swimming-pool,,,,
cafeterias,Exit coffee al aziziyah,+974 77790440,,,"55 Othman Bin Affan Street , Doha",55 Othman Bin Affan Street,,Qatar,Exit coffee al aziziyah,,0,1833,https://qatar.arablocal.com/business/view/exit-coffee-al-aziziyah,,,,
business-b2b,Al Raed Fresh Foods Processing Company,+974 33841560,,,"Roundabout, Ar-Rayyan, Qatar",Roundabout,Ar-Rayyan,Qatar,Al Raed Fresh Foods Processing Company,http://www.alraedfresh.com,,2648,https://qatar.arablocal.com/business/view/al-raed-fresh-foods-processing-company,,,,
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-amer-factory-for-aluminium-foil,,,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-time-lusail,,,,
fitness,German Fitness Centre Muaither Gym,+974 44213409,,,"Muaither p.o.box : 202157, Doha",Muaither p.o.box : 202157,,Qatar,German Fitness Centre Muaither Gym,,,3140,https://qatar.arablocal.com/business/view/german-fitness-centre-muaither-gym,,,,
industrial,Al Jattal Industry Co,+974 44321954,,,"Small & Medium Industry - Building No.?39, Street M, No.?21, Zone No.?81 POBox 10141, Doha",Small & Medium Industry - Building No.?39,Zone No.?81 POBox 10141,Qatar,Al Jattal Industry Co,http://www.aljattal.qa,,3195,https://qatar.arablocal.com/business/view/al-jattal-industry-co,,,,
business-b2b,ECCO GULF WLL,+974 44462600,,,"P.O. BOX 22466 DOHA, QATAR",P.O. BOX 22466 DOHA,,Qatar,ECCO GULF WLL,http://WWW.AAMAL.COM.QA,,2627,https://qatar.arablocal.com/business/view/ecco-gulf-wll,,,,
industrial,Advanced Plastic Factory,+974 44114632,+974 40298225,,Ar-Rayyan,,,Qatar,"We are pleased to extend our service in Qatar construction market with our new production facility Advanced Plastic Factory W.L.L. The new unit is established to cover the market needs from the pipes U P.V.C, P.P.R, M.D.P.E and H.D.P.E pipes that have good quality.",http://www.advanced-pipe.com,,3151,https://qatar.arablocal.com/business/view/advanced-plastic-factory,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/city-gym-wakra,,,,
cafeterias,Tea bake Juice Stall,+974 30052173,,,"Mehairja St, Doha",Mehairja St,,Qatar,Tea bake Juice Stall,http://www.business.site,,1741,https://qatar.arablocal.com/business/view/tea-bake-juice-stall,,,,
fitness,Fitness Time Al Mirqab Mall,+974 33417617,,,"Al Mirqab Al Jadeed St, Doha",Al Mirqab Al Jadeed St,,Qatar,Fitness Time Al Mirqab Mall,,,2981,https://qatar.arablocal.com/business/view/fitness-time-al-mirqab-mall,,,,
business-b2b,Al Noof Recruitment Services,+974 44422076,+974 44425869,,"Nr Doha Clinic, Al Mergab St, Frij Al Nasr P.O.Box 1282",Nr Doha Clinic,Al Mergab St,Qatar,"Welcome to al noof recruitment service.You'll always find many category of jobs every day as we are the Qatar's biggest recruitment compay. If you are looking for a new job or change you are in the right place. Al noof is the best recruiter on the internet regarding available jobs in Qatar. Our experience and trust, along with the security and simplicity of our website, has ensured us leadership on the world market. So..! find your dream job today! Many companies and institutions are waiting ...",,,2566,https://qatar.arablocal.com/business/view/al-noof-recruitment-services,,,,
industrial,Al Sahoo Trading Co Wll,+974 44696226,+974 44696446,,"Alymana Centre, Salwa Rd P.O.Box 23446",Alymana Centre,,Qatar,Al Sahoo Trading Co Wll,http://www.alsahoo.com,,3060,https://qatar.arablocal.com/business/view/al-sahoo-trading-co-wll,,,,
business-b2b,KHEIRA HOLDING WLL,+974 44501338,,,"St. 29, Bldg. 164, Zone 81, Al Maha Commercial Complex 1st Floor, Office no. C10, P.O. Box: 10815, New Industrial Area",St. 29,P.O. Box: 10815,Qatar,"Kheira Holding is a diversified Holding company that combines capital, innovation and exceptional services that are managed by our team of experts in their respective fields, directed to exceed customer expectations and deliver superior products and services. we manages businesses in different sectors throughout Qatar.",http://www.kheiraholding.com/,,2556,https://qatar.arablocal.com/business/view/kheira-holding-wll,,,,
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-rowad-for-aluminium-kitchens,,,,
cafeterias,Tea Time Lusail Marina,+974 66623113,,,"Lusail Marina, Lusail",Lusail Marina,,Qatar,Tea Time Lusail Marina,,,1737,https://qatar.arablocal.com/business/view/tea-time-lusail-marina,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/reem-alkhaleej-beauty-and-fitness-center,,,,
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-doha-turner-and-metals-foundry,,,,
industrial,Al Amal Store For Key Repairing,+974 55853022,,,"842, zone.no 25 Ziyad Bin Eyad St, Doha, Qatar",842,Doha,Qatar,Al Amal Store For Key Repairing,http://www.business.site,,2765,https://qatar.arablocal.com/business/view/al-amal-store-for-key-repairing,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/fba-fahad-bin-abdulla-group-fba-commercial,,,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/batteel-caf-ar-rayyan,,,,
industrial,Al Bayader International,+974 44114356,,,"Unnamed Road, Ar-Rayyan",Unnamed Road,,Qatar,Al Bayader International,http://www.albayader.com,0,2719,https://qatar.arablocal.com/business/view/al-bayader-international,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/sarins-lady-gym,,,,
fitness,Body Glaze Gents Spa,+974 44665857,+974 44659092,,"Madinat Khalifa South? Doha, Qatar",Madinat Khalifa South? Doha,,Qatar,Body Glaze Gents Spa,http://www.bodyglaze.net ^ www.bodyglazeqatar.com,,2663,https://qatar.arablocal.com/business/view/body-glaze-gents-spa,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/aspire-ladies-gym,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-khouri-manpower-supply-woodland-contg,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-qayed-holding-group,,,,
business-b2b,General Electric Company,+974 44242333,,,"Al Kinan St, Doha, Qatar",Al Kinan St,Doha,Qatar,General Electric Company,http://www.ge.com,,2337,https://qatar.arablocal.com/business/view/general-electric-company,,,,
business-b2b,Penal and Correctional Institutions Department,+974 44695777,,,Al Rayyan,,,Qatar,Penal and Correctional Institutions Department,http://www.portal.moi.gov.qa,,2312,https://qatar.arablocal.com/business/view/penal-and-correctional-institutions-department,,,,
business-b2b,Al Nasr Engineering and Construction Services Al Nasr Holding,+974 44184367,,,"Street 24, Salwa Industrial Area P.O.Box 96712",Street 24,,Qatar,Al Nasr Engineering and Construction Services Al Nasr Holding,http://www.alnasrholding.com,,2227,https://qatar.arablocal.com/business/view/al-nasr-engineering-and-construction-services-al-nasr-holding,,,,
industrial,Al Hussaini Aluminium,+974 33349995,+974 44350589,,"Shop 32, Souq Al Haraj ( Showroom ) / Sailiya ( Workshop ) P.O.Box 14316",Shop 32,,Qatar,Al Hussaini Aluminium,http://www.ahaqatar.com,,2679,https://qatar.arablocal.com/business/view/al-hussaini-aluminium,,,,
industrial,Ghd Global Pty Ltd,+974 44289444,,,"City Plaza, Al Sadd St P.O.Box 14352",City Plaza,,Qatar,Ghd Global Pty Ltd,https://www.ghd.com,,2654,https://qatar.arablocal.com/business/view/ghd-global-pty-ltd,,,,
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-alaya-plastic-factory,,,,
industrial,Dar Al Handasah Consultants,+974 44389389,,,"8Th Flr, Burj Al Qassar, West Bay P.O.Box 40358",8Th Flr,Burj Al Qassar,Qatar,Dar Al Handasah Consultants,http://www.dargroup.com,,2643,https://qatar.arablocal.com/business/view/dar-al-handasah-consultants,,,,
contractors,Imar Trading and Contracting Company Wll,+974 44131770,,,"Bldg 125, Al Amir St No. 251, Zone No. 55 P.O.Box 22403",Bldg 125,Al Amir St No. 251,Qatar,"IMAR was founded in 1995, promptly establishing its reputation for excellence in the construction industry, specializing in architectural interior fit out before expanding to Qatar in year 2000.IMAR prides itself on an exceptional record of successfully completed projects. It has built its reputation on bringing jobs in on time and within budget. IMAR’s project delivery system is designed to provide quality and timeliness at competitive prices. This emphasis on quality and attention to detail...",http://www.groupimar.com,,5294,https://qatar.arablocal.com/business/view/imar-trading-and-contracting-company-wll,,,,
contractors,Blue Star Qatar Wll Al- Rayyan,+974 44582271,+974 44883438,contact@bluestarqatar.com,Al Rayyan P.O.Box 47242,,,Qatar,Blue Star Qatar Wll,http://bluestarqatar.com/,,3427,https://qatar.arablocal.com/business/view/blue-star-qatar-wll,,,,
contractors,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-tawfeeq-trading-and-contracting-co-doha-qatar,,,,
contractors,Al Rayyan Swimming Pools Wll,+974 44663332,+974 44663331,,"Office 308, D Ring Rd P.O.Box 3366",Office 308,,Qatar,Al Rayyan Swimming Pools Wll,http://www.alrayyanpools.com,,3091,https://qatar.arablocal.com/business/view/al-rayyan-swimming-pools-wll,,,,
contractors,Alghanim International Qatar,+974 44374256,,,"Al Reem Tower, Buroog Tower, Al Meena St, Doha",Al Reem Tower,Al Meena St,Qatar,Alghanim International Qatar,http://www.falghanim.com,,2985,https://qatar.arablocal.com/business/view/alghanim-international-qatar,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/aletqan-manpower,,,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/cinnabon-seattle-s-best-coffee-bin-mahmoud,,,,
industrial,Al Tahrir Trading And Cont Barwa Village,+974 44475928,,,"SHOP NO 24 & 26, BUILDING NO.?05, Doha",SHOP NO 24 & 26,BUILDING NO.?05,Qatar,Al Tahrir Trading And Cont Barwa Village,,,2604,https://qatar.arablocal.com/business/view/al-tahrir-trading-and-cont-barwa-village,,,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/after-dark-cafe,,,,
industrial,Al Atkal Garage,+974 70930936,,,"Street 15, Ar-Rayyan",Street 15,,Qatar,Al Atkal Garage,,,2473,https://qatar.arablocal.com/business/view/al-atkal-garage,,,,
cafeterias,Tea Time Ooredoo Al Sadd,+974 50143622,,,Doha,,,Qatar,Tea Time Ooredoo Al Sadd,http://www.teatimeqatar.com,,1603,https://qatar.arablocal.com/business/view/tea-time-ooredoo-al-sadd,,,,
business-b2b,Al Ali Global Company,+974 66782217,,,"78, Wadi Al-Mushirb St., Doha/Qatar",78,Wadi Al-Mushirb St.,Qatar,Al Ali Global Company,http://www.alaliglobal.com,,2128,https://qatar.arablocal.com/business/view/al-ali-global-company,,,,
