Name,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,Phone,Twitter
Al Bassam RAK for Tanks LLC,,"Al Nakheel Street, Dafan Al Nakheel,",Dafan Al Nakheel,Ras Al Khaimah,UAE,Al Bassam RAK for Tanks LLC,,2612,,https://uae.arablocal.com/business/view/al-bassam-rak-for-tanks-llc,,,+971 72221026 72228011,
Packart Packing and Packaging Ajman,,"Shed# 3 & 4, Lootah Street,",New Industrial Area,Ajman,UAE,Packart Packing and Packaging Ajman,,2605,,https://uae.arablocal.com/business/view/packart-packing-and-packaging-ajman,,,+971 67431166 67431759,
Ahmad Talha Carton Boxes Factory LLC,,"Warehouse #54,",Industrial Area 12,Sharjah,UAE,Ahmad Talha Carton Boxes Factory LLC,,2506,,https://uae.arablocal.com/business/view/ahmad-talha-carton-boxes-factory-llc,,,+971 65384814; +971 503265409 65329556,
Mohammed Ibrahim Haji Aluminium Trading,,"Al Khabaisi,",Deira,Dubai,UAE,Mohammed Ibrahim Haji Aluminium Trading,,2496,,https://uae.arablocal.com/business/view/mohammed-ibrahim-haji-aluminium-trading,,,+971 42691523,
Al Wadi Sanitary Wares Company LLC Mussafah Abu Dhabi,,"Mussafah (M-9),",Musaffah,Abu Dhabi,UAE,Al Wadi Sanitary Wares Company LLC Mussafah Abu Dhabi,,2463,,https://uae.arablocal.com/business/view/al-wadi-sanitary-wares-company-llc-mussafah-abu-dhabi,,,+971 25551941 25551971,
Sawas Kitchen Equipment Co LLC Sharjah,,"Ground Floor, Sawas kitchen & Bakeries Equip Building, Jamal Abdel Nasser Road, Al Majaz 2,",Al Majaz District,Sharjah,UAE,Sawas Kitchen Equipment Co LLC Sharjah,,2447,,https://uae.arablocal.com/business/view/sawas-kitchen-equipment-co-llc-sharjah,,,+971 65554410 65554844,
Al Abbar Glass and Trading Co,,Dubai,Ras Al Khor Industrial Area 2,Dubai,UAE,Al Abbar Glass and Trading Co,,2363,,https://uae.arablocal.com/business/view/al-abbar-glass-and-trading-co,,,+971 43331588,
Al Fajer Detergent Industries Co LLC,,Ajman,Ajman Industrial 1,Ajman,UAE,Al Fajer Detergent Industries Co LLC,,2291,,https://uae.arablocal.com/business/view/al-fajer-detergent-industries-co-llc,,,+971 67436675 67436673,
Abdul Aziz Jassem Textiles LLC,,"Ground Floor, Al Buteen Building, Shop # 11, Murshid Bazaar Road,",Deira,Dubai,UAE,Abdul Aziz Jassem Textiles LLC,,2254,,https://uae.arablocal.com/business/view/abdul-aziz-jassem-textiles-llc,,,+971 42353947 2353957,
Cosmoplast Industrial Co LLC,,Sharjah,Industrial Area 1,Sharjah,UAE,Cosmoplast Industrial Co LLC,,2347,,https://uae.arablocal.com/business/view/cosmoplast-industrial-co-llc,,,+971 65331264,
Al Bayan Kitchen Equipment LLC Sharjah,,Sharjah,Industrial Area 4,Sharjah,UAE,Al Bayan Kitchen Equipment LLC Sharjah,,2254,,https://uae.arablocal.com/business/view/al-bayan-kitchen-equipment-llc-sharjah,,,+971 65550991 65550992,
Al Bahar Caterpillar,,"Al-Wasit Street,",Industrial Area 3,Sharjah,UAE,Al Bahar Caterpillar,,2222,,https://uae.arablocal.com/business/view/al-bahar-caterpillar,,,+971 65433555 65424024,
Al Sharqia Gypsum and Ceramic Factory,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Sharqia Gypsum and Ceramic Factory,,2274,,https://uae.arablocal.com/business/view/al-sharqia-gypsum-and-ceramic-factory,,,+971 37213433,
Atlas Plastic Factory LLC,,"Al Quoz Industrial,",Al Quoz,Dubai,UAE,Atlas Plastic Factory LLC,,2197,,https://uae.arablocal.com/business/view/atlas-plastic-factory-llc,,,+971 43479793 43479790,
International Rubber Company LLC,,"Ground Floor, Warehouse, Dubai Investment Park (DIP) First,",Jebel Ali,Dubai,UAE,International Rubber Company LLC,,2180,,https://uae.arablocal.com/business/view/international-rubber-company-llc,,,+971 48859880 48859890,
Al Khowahir Chemicals Mat Trading LLC Sharjah,,"Ground Floor, Salah Bin Salah Building, Caterpillar Street, Industrial Area 2,",Industrial Area,Sharjah,UAE,Al Khowahir Chemicals Mat Trading LLC Sharjah,,2178,,https://uae.arablocal.com/business/view/al-khowahir-chemicals-mat-trading-llc-sharjah,,,+971 65424694 65424016,
Abu Dhabi Weaving and Cloak Tailoring Factory,,Abu Dhabi,Mussafah 14,Abu Dhabi,UAE,Abu Dhabi Weaving and Cloak Tailoring Factory,,2141,,https://uae.arablocal.com/business/view/abu-dhabi-weaving-and-cloak-tailoring-factory,,,+971 25554187,
Noor Asadi Mirror and Frames L.L.C,,"Plot No # 28, Mussafah (M-13),",Musaffah,Abu Dhabi,UAE,Noor Asadi Mirror and Frames L.L.C,,2107,,https://uae.arablocal.com/business/view/noor-asadi-mirror-and-frames-l-l-c,,,+971 25552460 25552761,
Crown Emirates Co Ltd,,"Plot WWA, Office #160, Jebel Ali,",Jebel Ali Freezone,Dubai,UAE,Crown Emirates Co Ltd,,2097,,https://uae.arablocal.com/business/view/crown-emirates-co-ltd,,,+971 48835452 48835322,
Al Hamra Steel Pipe Factory Co LLC Al Sajaa Sharjah,,"Al Sajaa,",Al Sajaa,Sharjah,UAE,Al Hamra Steel Pipe Factory Co LLC Al Sajaa Sharjah,,2094,,https://uae.arablocal.com/business/view/al-hamra-steel-pipe-factory-co-llc-al-sajaa-sharjah,,,+971 65360127 65360128,
Al Waleed Refrigerant Gas Industry LLC,,"5th Floor, Technic Building, Office # 502, Salahuddin Road, Al Muraqqabat,",Deira,Dubai,UAE,Al Waleed Refrigerant Gas Industry LLC,,2441,,https://uae.arablocal.com/business/view/al-waleed-refrigerant-gas-industry-llc,,,+971 42730844 42730833,
Al Yamama UPVC Doors and Windows,,"Ground Floor, Al Rauwaidhi Building, Street # 16,",Sanaiya,Abu Dhabi,UAE,Al Yamama UPVC Doors and Windows,,2079,,https://uae.arablocal.com/business/view/al-yamama-upvc-doors-and-windows,,,+971 37216602 37216603,
Jindal Steel DMCC,,"Jumeirah Bay 2, Unit # 3309,",Jumeirah Lakes towers,Dubai,UAE,Jindal Steel DMCC,,2064,,https://uae.arablocal.com/business/view/jindal-steel-dmcc,,,+971 44264026 44247023,
Al Jazeera City Trailers Industries LLC,,Dubai,Ras al khor industrial area 1,Sharjah,UAE,Al Jazeera City Trailers Industries LLC,,2055,,https://uae.arablocal.com/business/view/al-jazeera-city-trailers-industries-llc,,,+971 43338942,
Abid Textile,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Abid Textile,,2048,,https://uae.arablocal.com/business/view/abid-textile,,,+971 37514030,
GT Steel Recycling DMCC,,"ALMAS Tower, Unit # ALMAS-06-A,",Jumeirah Lakes towers,Dubai,UAE,GT Steel Recycling DMCC,,1980,,https://uae.arablocal.com/business/view/gt-steel-recycling-dmcc,,,+971 44208385,
Al Ain Glass and Mirror Co LLC,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Ain Glass and Mirror Co LLC,,1929,,https://uae.arablocal.com/business/view/al-ain-glass-and-mirror-co-llc,,,+971 37641442,
Al Muntadhim Copper and Aluminium Scrap Trading,,"Industrial 10,",Industrial Area 10,Sharjah,UAE,Al Muntadhim Copper and Aluminium Scrap Trading,,1917,,https://uae.arablocal.com/business/view/al-muntadhim-copper-and-aluminium-scrap-trading,,,+971 65350060,
Arab Emirates Bandac Co LLC Dubai,,"Ground Floor, Umm Ramool,",Al Rashidiya,Dubai,UAE,Arab Emirates Bandac Co LLC Dubai,,1959,,https://uae.arablocal.com/business/view/arab-emirates-bandac-co-llc-dubai,,,+971 42858317 42858891,
Abdul Hameed Khouri Aluminium Glass Factory LLC,,Sharjah,Industrial Area 12,Sharjah,UAE,Abdul Hameed Khouri Aluminium Glass Factory LLC,,1904,,https://uae.arablocal.com/business/view/abdul-hameed-khouri-aluminium-glass-factory-llc,,,+971 65346800,
Mohamed Hareb Al Otaiba Kitchen Supplies LLC,,"Ground Floor, Mohamed Hareb Al Otaiba Building, Al Marabea Street, 65D,",Al Quoz Industrial Area,Dubai,UAE,Mohamed Hareb Al Otaiba Kitchen Supplies LLC,,1908,,https://uae.arablocal.com/business/view/mohamed-hareb-al-otaiba-kitchen-supplies-llc,,,+971 43414900; +971 504548187 43413226,
Qasr Al Ahlam Trading,,11857,Abu Dhabi City,Abu Dhabi,UAE,"QASR AL AHLAM TRADING is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories, Textile business activities.",,1808,,https://uae.arablocal.com/business/view/qasr-al-ahlam-trading,,,+971 6331224 6331228,
Ahmed Ramadhan Juma ARJ Group,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Ahmed Ramadhan Juma ARJ Group,,1846,,https://uae.arablocal.com/business/view/ahmed-ramadhan-juma-arj-group,,,+971 37218144,
Fikree Group of Companies L.L.C,,"Floor # 4, Montawa Building, Office # 406, Al Zabeel Street, Al Karama,",Bur Dubai,Dubai,UAE,Fikree Group of Companies L.L.C,,1813,,https://uae.arablocal.com/business/view/fikree-group-of-companies-l-l-c,,,+971 43377911 43375391,
Al Reyami Glass and Aluminium LLC Al Quoz Industrial area 2 Dubai,,Dubai,Al Quoz Industrial Area 2,Dubai,UAE,Al Reyami Glass and Aluminium LLC Al Quoz Industrial area 2 Dubai,,1791,,https://uae.arablocal.com/business/view/al-reyami-glass-and-aluminium-llc-al-quoz-industrial-area-2-dubai,,,+971 44329829; +971 800739264 44343807,
National Finland Auto Glass Co LLC Umm Al quwain,,Umm Al Quwain,Industrial Area,Sharjah,UAE,National Finland Auto Glass Co LLC Umm Al quwain,,1788,,https://uae.arablocal.com/business/view/national-finland-auto-glass-co-llc-umm-al-quwain,,,+971 67662630 67662640,
Obaid Al Shamsi Aluminium and Glass Industries LLC,,"Al Qusais 4,",Al Qusais,Dubai,UAE,Obaid Al Shamsi Aluminium and Glass Industries LLC,,1773,,https://uae.arablocal.com/business/view/obaid-al-shamsi-aluminium-and-glass-industries-llc,,,+971 42679100 42679200,
Gulf Gypsum Industries Co LLC,,"Al Maktoum St,",Deira,Dubai,UAE,Gulf Gypsum Industries Co LLC,,1749,,https://uae.arablocal.com/business/view/gulf-gypsum-industries-co-llc,,,+971 42242424,
Daeah Engineering Construction Co.Ltd,,"Mussafah (M-4),",Musaffah,Abu Dhabi,UAE,Daeah Engineering Construction Co.Ltd,,1750,,https://uae.arablocal.com/business/view/daeah-engineering-construction-co-ltd,,,+971 26426442 26426445,
Al Asfar Heavy Equipment Spare Parts Trading LLC,,"Industrial Area 13,",Industrial Area,Sharjah,UAE,Al Asfar Heavy Equipment Spare Parts Trading LLC,,1732,,https://uae.arablocal.com/business/view/al-asfar-heavy-equipment-spare-parts-trading-llc,,,+971 65424677,
Gelaf Carton Boxes Manufacturing LLC,,"Ground Floor, Al Ittihad Road,",Industrial Area,Sharjah,UAE,Gelaf Carton Boxes Manufacturing LLC,,1716,,https://uae.arablocal.com/business/view/gelaf-carton-boxes-manufacturing-llc,,,+971 67673828 67673829,
Al Madeena Plastic Pipe Mfrg Factory LLC,,"1, G Industrial,",Ajman Industrial 2,Ajman,UAE,Al Madeena Plastic Pipe Mfrg Factory LLC,,1729,,https://uae.arablocal.com/business/view/al-madeena-plastic-pipe-mfrg-factory-llc,,,+971 67480226,
Al Furat Refrigeration Devices Trading Co,,Sharjah,Industrial Area 11,Sharjah,UAE,Al Furat Refrigeration Devices Trading Co,,1705,,https://uae.arablocal.com/business/view/al-furat-refrigeration-devices-trading-co,,,+971 65342622,
SGS Gulf Limited Mussafah Abu Dhabi,,Abu Dhabi,Musaffah 14,Abu Dhabi,UAE,SGS Gulf Limited Mussafah Abu Dhabi,,1690,,https://uae.arablocal.com/business/view/sgs-gulf-limited-mussafah-abu-dhabi,,,+971 25557662,
Al Dhaid Tents Tr,,Sharjah,Al Dhaid,Sharjah,UAE,Al Dhaid Tents Tr,,1705,,https://uae.arablocal.com/business/view/al-dhaid-tents-tr,,,+971 68823892 68823893,
Al Nauras Rubber Factory LLC Jebel Ali Dubai,,"Dubai Investment Park (DIP),",Jebel Ali,Dubai,UAE,Al Nauras Rubber Factory LLC Jebel Ali Dubai,,1692,,https://uae.arablocal.com/business/view/al-nauras-rubber-factory-llc-jebel-ali-dubai,,,+971 48851815 48851819,
Al Mubarak Agrochemicals Al Ain Abu Dhabi,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Mubarak Agrochemicals Al Ain Abu Dhabi,,1701,,https://uae.arablocal.com/business/view/al-mubarak-agrochemicals-al-ain-abu-dhabi,,,+971 37223884,
Alloy Metal Works LLC,,"Floor # 1, Bin Haider Building, Office # 108,",Deira,Dubai,UAE,Alloy Metal Works LLC,,1666,,https://uae.arablocal.com/business/view/alloy-metal-works-llc,,,+971 43303021 43303156,
Al Ain Mineral Water Bottling Factory Cold Stores and Ice Plant Dept,pridepowermech@gmail.com,Al Ain,Al Ain,Abu Dhabi,UAE,Al Ain Mineral Water Bottling Factory Cold Stores and Ice Plant Dept,,1715,,https://uae.arablocal.com/business/view/al-ain-mineral-water-bottling-factory-cold-stores-and-ice-plant-dept,,,+971 37214377; +9715082 623 0,
ABC Chemical Exports Pvt Ltd,,"SAIF Zone,",Saif Zone,Sharjah,UAE,ABC Chemical Exports Pvt Ltd,,1663,,https://uae.arablocal.com/business/view/abc-chemical-exports-pvt-ltd,,,+971 65571266,
New Al Khalidiya Aluminium and Glass Co LLC,,"Ground Floor, Building# 45, Mussafah (M-37),",Musaffah,Abu Dhabi,UAE,New Al Khalidiya Aluminium and Glass Co LLC,,1689,,https://uae.arablocal.com/business/view/new-al-khalidiya-aluminium-and-glass-co-llc,,,+971 25559553; +971 505123627 25553841,
Maxwell Automatic Doors Co LLC Al Ain,,"Ground Floor,",Al Muwaiji,Abu Dhabi,UAE,Maxwell Automatic Doors Co LLC Al Ain,,1655,,https://uae.arablocal.com/business/view/maxwell-automatic-doors-co-llc-al-ain,,,+971 25515774; +971 559371622 35515779,
Sedana Trading Co LLC Sharjah,,"Green Belt,",Industrial Area,Sharjah,UAE,Sedana Trading Co LLC Sharjah,,1646,,https://uae.arablocal.com/business/view/sedana-trading-co-llc-sharjah,,,+971 65322200 65322205,
Al Masah Paper Industries LLC,,"Ground Floor, Office # 101,",Industrial Area 12,Sharjah,UAE,Al Masah Paper Industries LLC,,1602,,https://uae.arablocal.com/business/view/al-masah-paper-industries-llc,,,+971 65386804 65389580,
National Heritage Tents Ajman,,"New Industrial Area,",New Industrial Area,Ajman,UAE,National Heritage Tents Ajman,,1599,,https://uae.arablocal.com/business/view/national-heritage-tents-ajman,,,+971 67411224; +971 506792005 67411225,
Teeb Emirates Perfumes,,"South Zone,",Jebel Ali Freezone,Dubai,UAE,Teeb Emirates Perfumes,,1596,,https://uae.arablocal.com/business/view/teeb-emirates-perfumes,,,+971 48806761; +971 506577164 48806762,
Mohd Abdulla Haji Yousef Khoury and Co,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Mohd Abdulla Haji Yousef Khoury and Co,,1587,,https://uae.arablocal.com/business/view/mohd-abdulla-haji-yousef-khoury-and-co,,,+971 37642719,
Atlas Trailers and Equipments Manufacturing Industries LLC,,"Emirates Industrial,",Al Sajaa Industrial Suburb,Sharjah,UAE,Atlas Trailers and Equipments Manufacturing Industries LLC,,1581,,https://uae.arablocal.com/business/view/atlas-trailers-and-equipments-manufacturing-industries-llc,,,+971 65636809 65624908,
Global Experience Specialist GES Exhibition Services LLC Dubai Branch,,"Plot # 597, Street # 3,",Dubai Investment Park - 2,Dubai,UAE,Global Experience Specialist GES Exhibition Services LLC Dubai Branch,,1558,,https://uae.arablocal.com/business/view/global-experience-specialist-ges-exhibition-services-llc-dubai-branch,,,+971 48859336 48859337,
Gulf European Workshop Equipment Machinery Trading LLC,,"Floor # 3, Bin Thani Plaza, Office # 344, Old Maktoum Hospital Road,",Deira,Dubai,UAE,Gulf European Workshop Equipment Machinery Trading LLC,,1530,,https://uae.arablocal.com/business/view/gulf-european-workshop-equipment-machinery-trading-llc,,,+971 42523423 42523693,
Smart Glass Works Abu dhabi,,"Ground Floor, Plot No # 2, Shop# 1, Sanayya Road, Mussafah (M-32/1),",Musaffah,Abu Dhabi,UAE,Smart Glass Works Abu dhabi,,1529,,https://uae.arablocal.com/business/view/smart-glass-works-abu-dhabi,,,+971 25506965; +971 509713215,
Masterheat Gulf Industrial Co LLC,,"2nd Industrial Street, Industrial Area 6,",Industrial Area,Sharjah,UAE,Masterheat Gulf Industrial Co LLC,,1532,,https://uae.arablocal.com/business/view/masterheat-gulf-industrial-co-llc,,,+971 65432518; +971 564745669 65432528,
Dubai Flex Pack LLC,,Dubai,Dubai Investment Park - 1,Dubai,UAE,Dubai Flex Pack LLC,,1556,,https://uae.arablocal.com/business/view/dubai-flex-pack-llc,,,+971 48853411,
Al Dwalia Trading and Renting for Scaffolding,,"10th Floor, Al Durrah Building, Office # 1002,",Al Sajaa,Sharjah,UAE,Al Dwalia Trading and Renting for Scaffolding,,1528,,https://uae.arablocal.com/business/view/al-dwalia-trading-and-renting-for-scaffolding,,,+971 65562254 65564032,
Al Shamsi Fibre Glass and Plastic Industries LLC,,Sharjah,Ajman Industrial 2,Ajman,UAE,Al Shamsi Fibre Glass and Plastic Industries LLC,,1524,,https://uae.arablocal.com/business/view/al-shamsi-fibre-glass-and-plastic-industries-llc,,,+971 67433799,
Galaxy Glass and Aluminium Est,,"Ground Floor, Plot # 13, Shop # 45, Mussafah (M-14),",Musaffah,Abu Dhabi,UAE,Galaxy Glass and Aluminium Est,,1522,,https://uae.arablocal.com/business/view/galaxy-glass-and-aluminium-est,,,+971 25543537; +971 507167475 25559879,
Qalamkar Textile Bur Dubai,,"near Meena Bazaar,27 Al Hisin St, Dubai",Bur Dubai,Dubai,UAE,,,1514,,https://uae.arablocal.com/business/view/qalamkar-textile-bur-dubai,,,,
Hexxa Flexible Packaging LLC,,"Office #101, Ground Floor,",Al Jazirah Al Hamra,Ras Al Khaimah,UAE,Hexxa Flexible Packaging LLC,,1508,,https://uae.arablocal.com/business/view/hexxa-flexible-packaging-llc,,,+971 72444051 72444052,
Al Zalzalah Heavy Vehicles Spare Parts Trdg LLC Abu Dhabi,,"Mussafah (M-10),",Musaffah,Abu Dhabi,UAE,Al Zalzalah Heavy Vehicles Spare Parts Trdg LLC Abu Dhabi,,1497,,https://uae.arablocal.com/business/view/al-zalzalah-heavy-vehicles-spare-parts-trdg-llc-abu-dhabi,,,+971 25535145,
Arabian Industrial Co LLC,,Abu Dhabi,Mussafah 14,Abu Dhabi,UAE,Arabian Industrial Co LLC,,1493,,https://uae.arablocal.com/business/view/arabian-industrial-co-llc,,,+971 26333496,
Al Dhabi Scaffolding and Formwork LLC Abu Dhabi,,"City Rent a Car Bldg,",Al Zahiyah,Abu Dhabi,UAE,Al Dhabi Scaffolding and Formwork LLC Abu Dhabi,,1491,,https://uae.arablocal.com/business/view/al-dhabi-scaffolding-and-formwork-llc-abu-dhabi,,,+971 25501766 26443326,
Hipco Aluminium and Glass Co,,Sharjah,Industrial Area 4,Sharjah,UAE,Hipco Aluminium and Glass Co,,1489,,https://uae.arablocal.com/business/view/hipco-aluminium-and-glass-co,,,+971 65331766,
Delta Industrial Tools Co Ltd Sharjah,,Sharjah,Industrial Area 1,Sharjah,UAE,Delta Industrial Tools Co Ltd Sharjah,,1482,,https://uae.arablocal.com/business/view/delta-industrial-tools-co-ltd-sharjah,,,+971 65336171,
Al Ula Aluminium and Steel Works Est,,"Plot # 37, Mussafah (M-39),",Musaffah,Abu Dhabi,UAE,Al Ula Aluminium and Steel Works Est,,1485,,https://uae.arablocal.com/business/view/al-ula-aluminium-and-steel-works-est,,,+971 25508696 25508697,
Ace Aluminium Scaffolding,,"Plot No # 29, Office # Unit C 208, Sanaya, ICAD City 3,",Musaffah,Abu Dhabi,UAE,Ace Aluminium Scaffolding,,1466,,https://uae.arablocal.com/business/view/ace-aluminium-scaffolding,,,+971 25513511; +971 506177346 25513522,
Ahmed Ramadhan Juma Est Dubai,,Dubai,Deira,Dubai,UAE,Ahmed Ramadhan Juma Est Dubai,,1475,,https://uae.arablocal.com/business/view/ahmed-ramadhan-juma-est-dubai,,,+971 42272552,
Gravestone In Dubai,,Area :,Dubai Others,Dubai,UAE,"Our company is the leading company for making the Gravestones such as headstone, tombstone to the graveyard's in Dubai (United Arab Emirates) . we are since 1977, the company established in 1977 in this field in Dubai . Our activities : 1 - Granite or Marble (Tombstone & Headstone) 2 - Engraving by Machines 3 - painting by specials colors with guarantee 4 - fixing from A to Z Best Regards, Ahmed Moawia 050 / 3838438 Instagram : uaegravestone",,1463,,https://uae.arablocal.com/business/view/gravestone-in-dubai,,,+971 503838438,
Gulf Fence Factory FZE,,"4th Floor, Al Duraibi, King Faisal Street,",Al Hamriyah Free Zone,Sharjah,UAE,Gulf Fence Factory FZE,,1481,,https://uae.arablocal.com/business/view/gulf-fence-factory-fze,,,+971 65261809; +971 509787087 45263928,
BASF Construction Chemicals UAE LLC,,"Jebel Ali Al Habib Road, Dubai Investment Park (DIP),",Jebel Ali,Dubai,UAE,BASF Construction Chemicals UAE LLC,,1456,,https://uae.arablocal.com/business/view/basf-construction-chemicals-uae-llc,,,+971 48090800 48851130,
AFAG FZE,,"SAIF Zone,",Saif Zone,Sharjah,UAE,,,1452,,https://uae.arablocal.com/business/view/afag-fze,,,+971 65578922 85578944,
Khalid Al Hammadi Auto Spare Parts Co. LLC Double Cola Road Sharjah,,"Double Cola Road,",Industrial Area 1,Sharjah,UAE,Khalid Al Hammadi Auto Spare Parts Co. LLC Double Cola Road Sharjah,,1451,,https://uae.arablocal.com/business/view/khalid-al-hammadi-auto-spare-parts-co-llc-double-cola-road-sharjah,,,+971 65430421 65430423,
Leaders Aluminium and Glass Industries LLC,,Sharjah,Industrial Area 13,Sharjah,UAE,Leaders Aluminium and Glass Industries LLC,,1448,,https://uae.arablocal.com/business/view/leaders-aluminium-and-glass-industries-llc,,,+971 65345543,
Aaraf Trading Co LLC,,"Ground Floor, Lootah Building, Office # 101, Sabkha Road,",Deira,Dubai,UAE,Aaraf Trading Co LLC,,1447,,https://uae.arablocal.com/business/view/aaraf-trading-co-llc,,,+971 42269428 42260173,
