Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,URL,Facebook,Instagram,LinkedIn,Phone,Twitter,YouTube
Abdullah Mohammed Said Al Mamari Trade,+968 25651851,,,,Al Buraimi Al Saraa Area Al Buraimi -,Al Buraimi,,Oman,Abdullah Mohammed Said Al Mamari Trade,,1615,https://oman.arablocal.com/business/view/abdullah-mohammed-said-al-mamari-trade,,,,,,
Abdulla Mukhtar Trading Stores,+968 24787103,,,,Muttrah Al Kubra -,Ruwi,,Oman,Abdulla Mukhtar Trading Stores,,1300,https://oman.arablocal.com/business/view/abdulla-mukhtar-trading-stores,,,,,,
Shati Al Jubaira Trade,+968 26870018,,,hh2222hh2009@hotmail.com,Al Musana a Al Musana a -,Al Malda,,Oman,Shati Al Jubaira Trade,,1089,https://oman.arablocal.com/business/view/shati-al-jubaira-trade,,,,,,
Al Azaiba Commercial Center LLC,+968 24590650,,,saudmhal@omantel.net.om,Galah -,Azaiba,,Oman,Al Azaiba Commercial Center LLC,,1083,https://oman.arablocal.com/business/view/al-azaiba-commercial-center-llc,,,,,,
Arkan International LLC,+968 24545759,,,rashidaltobi@yahoo.com,CBD Area Al Khoudh -,Al Khud,,Oman,Arkan International LLC,,1099,https://oman.arablocal.com/business/view/arkan-international-llc,,,,,,
Awtar Lebanon Marina Mall,,,,,"Marina Mall,Salem Al Mubarak Street,Salmiya",,Hawalli Governorate,Kuwait,Awtar Lebanon,,,https://kuwaitlocal.com/business/awtar-lebanon-marina-mall,,,,,,
Anatolia Restaurant,,,,,"Divona Hotel, Behind Kuwait Continental Hotel,Bneid Al Gar",,Capital Governorate,Kuwait,"Welcome to Anatolia, a restaurant that serves great variety of Lebanese Sandwiches & Saj Wraps. Turkish Doner & Kebab. Italian brick oven baked Pizzas & more.You can enjoy their flats, Mana`eesh, Saj or maybe their Turkish Doner. For appetizer you can try their Mini Falafel Bites it`s really light & tasty, there is three more kind as well. From the specialty wrapz, they are known for their Saj Halloum Special, Saj Habash wo Kashkawan, Manousha Dejaj wo Jebneh, Manousha Fahita Dejaj & Manousha...",,,https://kuwaitlocal.com/business/anatolia-restaurant,,,,,https://twitter.com/Anatolia_kw,
Zeitouna Restaurant - Jahra,+96522497820,+96522497833,,,"Awtad Mall, Beside Chillis Restaurant,Jahra",,Al Jahra Governorate,Kuwait,"Zeitouna is a Lebanese restaurant that serves a consistently high quality food and service, generous portions at moderate prices and a casual atmosphere suggestive of the Authentic Lebanese Cuisine.",,,https://kuwaitlocal.com/business/zeitouna-restaurant-jahra,https://www.facebook.com/zeitounakuwait,http://instagram.com/zeitouna_kuwait,,,,
Al Kanafany - Al Siddeeq,+965 1800555,,,,"Damascus St,Al-Siddeeq",,Hawalli Governorate,Kuwait,Al Kanafany serves a great variety of Desserts.,,,https://kuwaitlocal.com/business/al-kanafany-al-siddeeq,,http://instagram.com/alkanafanikwt,,,https://twitter.com/alkanafanikwt,
Al Kanafany - Salmiya,+965 1800555,,,,"Hamoud Zaid Al Khaled Street, Block 9,Salmiya",,Hawalli Governorate,Kuwait,Al Kanafany serves a great variety of Desserts.,,,https://kuwaitlocal.com/business/al-kanafany-salmiya-2,,http://instagram.com/alkanafanikwt,,,https://twitter.com/alkanafanikwt,
Aljood Jabriya,+96598885551,+96598885552,,,"Block 1, Building 292,Jabriya",,Hawalli Governorate,Kuwait,"Founded as a charity, it channels funds in good deeds and help for those in need by providing subsidies for the sick and scholarships, among all other kinds of assistance. Supervisor on the distribution of aids is a six-member committee dependent on the Ministry of Justice. Aljood Charity Restaurant Company offers a wide variety of grilled food prepared with high degree of specialized expertise in grilling and using modern equipment.",,,https://kuwaitlocal.com/business/aljood-jabriya,,http://instagram.com/aljoodrestaurant,,,,
Bagels Factory Sharq,,,,,"Al Muzaini Tower, Mubarak Al Kabeer st,Sharq",,Capital Governorate,Kuwait,"Bagels Factory serves a great variety of American, Breakfast and Sandwiches.",,,https://kuwaitlocal.com/business/bagels-factory-sharq,,http://instagram.com/bagelsfactory,,,https://twitter.com/BagelsFactory,
A\'s Chicken Kuwait City,,,,,"Kuwait City,Kuwait City",,Capital Governorate,Kuwait,A`s Chicken serves a great variety of Grills.,,,https://kuwaitlocal.com/business/a-s-chicken-kuwait-city,,http://instagram.com/chickenq8,,,,
Omar Al Khayyam Restaurant | Oman | Oman Local,,,,farzam786@yahoo.com,"Opp Police Station, Mehdi Building Ruwi -",Ruwi,,Oman,Omar Al Khayyam Restaurant,http://www.omaralkhayyam.com,1769,https://oman.arablocal.com/business/view/omar-al-khayyam-restaurant,,,,+968 24799975,,
Al Aktham LLC Co | Oman | Oman Local,,,,info@alaktham.com,Nr To Mars Haypermarket Al Khuwair -,Muscat,,Oman,Al Aktham LLC Co,http://www.alaktham.com,1571,https://oman.arablocal.com/business/view/al-aktham-llc-co,,,,+968 24478700,,
Al Nasriya Tower Cafeteria,,,,,"Gharrafat Al Rayyan Street, Ar-Rayyan",,,Qatar,Al Nasriya Tower Cafeteria,http://www.business.site,3184,https://qatar.arablocal.com/business/view/al-nasriya-tower-cafeteria,,,,+974 44811466,,
Al Ahrar Hotel and Catering Supplies Wll,,,,,"Al Saad Sports Club Compound , Doha Qatar.? Next to Al Bateel Travels? Doha, Qatar P.O.Box 30917 WAKRAH",,,Qatar,Al Ahrar Hotel and Catering Supplies Wll,http://www.alahraronline.com,2422,https://qatar.arablocal.com/business/view/al-ahrar-hotel-and-catering-supplies-wll,,,,+974 44329191 44329696,,
Saj Restaurant | Oman | Oman Local,,,,mathewv@omantel.net.om,St 65411 -,Al Wadi Al Kabir,,Oman,Saj Restaurant,http://www.sajrestaurant.com,1485,https://oman.arablocal.com/business/view/saj-restaurant,,,,+968 24817852,,
Modern Exchange Sur Souk Street | Oman | Oman Local,,,,help@modernexchange.com.om,Sur Souk Street,Sur,,Oman,"Modern Exchange is the leading Remittance and Money Exchange Co. in Oman. We were founded in 1993 and are regulated by the Central Bank of Oman. We became the part of Al Mulla Group (www.almullagroup.com), Kuwait after acquisition in 2011, and are led by the strong values of integrity, transparency and trust. In this short period of our operations, we have grown to a network of 37 Branches across Oman, and enjoy the trust and loyalty of more than 200,000 active customers. Throughout this peri...",http://www.modernexchange.com/omn/en_US/,2395,https://oman.arablocal.com/business/view/modern-exchange-sur-souk-street,https://www.facebook.com/modernexchangeoman/,https://www.instagram.com/modernexchangeoman/,,+968 25545217,https://twitter.com/ModernExchangeO,https://www.youtube.com/channel/UC9Oro-xJNfsUGNZqC8EzgmQ
Modern Exchange Salalah An Nahdah | Oman | Oman Local,,,,help@modernexchange.com.om,An Nahdah Street,Al Nahda,,Oman,"Modern Exchange is the leading Remittance and Money Exchange Co. in Oman. We were founded in 1993 and are regulated by the Central Bank of Oman. We became the part of Al Mulla Group (www.almullagroup.com), Kuwait after acquisition in 2011, and are led by the strong values of integrity, transparency and trust. In this short period of our operations, we have grown to a network of 37 Branches across Oman, and enjoy the trust and loyalty of more than 200,000 active customers. Throughout this peri...",http://www.modernexchange.com/omn/en_US/,1485,https://oman.arablocal.com/business/view/modern-exchange--salalah-an-nahdah,https://www.facebook.com/modernexchangeoman/,https://www.instagram.com/modernexchangeoman/,,+968 98082715,https://twitter.com/ModernExchangeO,https://www.youtube.com/channel/UC9Oro-xJNfsUGNZqC8EzgmQ
Modern Exchange Nizwa | Oman | Oman Local,,,,help@modernexchange.com.om,"Street 31, Firq Roundabout",Nizwa,,Oman,"Modern Exchange is the leading Remittance and Money Exchange Co. in Oman. We were founded in 1993 and are regulated by the Central Bank of Oman. We became the part of Al Mulla Group (www.almullagroup.com), Kuwait after acquisition in 2011, and are led by the strong values of integrity, transparency and trust. In this short period of our operations, we have grown to a network of 37 Branches across Oman, and enjoy the trust and loyalty of more than 200,000 active customers. Throughout this peri...",http://www.modernexchange.com/omn/en_US/,1688,https://oman.arablocal.com/business/view/modern-exchange-nizwa,https://www.facebook.com/modernexchangeoman/,https://www.instagram.com/modernexchangeoman/,,+968 25214030,https://twitter.com/ModernExchangeO,https://www.youtube.com/channel/UC9Oro-xJNfsUGNZqC8EzgmQ
Modern Exchange Jalan Bu Ali | Oman | Oman Local,,,,help@modernexchange.com.om,Souq Street,Jaalan Bani Bu Ali,,Oman,"Modern Exchange is the leading Remittance and Money Exchange Co. in Oman. We were founded in 1993 and are regulated by the Central Bank of Oman. We became the part of Al Mulla Group (www.almullagroup.com), Kuwait after acquisition in 2011, and are led by the strong values of integrity, transparency and trust. In this short period of our operations, we have grown to a network of 37 Branches across Oman, and enjoy the trust and loyalty of more than 200,000 active customers. Throughout this peri...",http://www.modernexchange.com/omn/en_US/,2024,https://oman.arablocal.com/business/view/modern-exchange-jalan-bu-ali,https://www.facebook.com/modernexchangeoman/,https://www.instagram.com/modernexchangeoman/,,+968 25553553,https://twitter.com/ModernExchangeO,https://www.youtube.com/channel/UC9Oro-xJNfsUGNZqC8EzgmQ
Modern Exchange Salalah Atin Rd | Oman | Oman Local,,,,help@modernexchange.com.om,"Atin Rd,Industrial Workshop Area",Salalah,,Oman,"Modern Exchange is the leading Remittance and Money Exchange Co. in Oman. We were founded in 1993 and are regulated by the Central Bank of Oman. We became the part of Al Mulla Group (www.almullagroup.com), Kuwait after acquisition in 2011, and are led by the strong values of integrity, transparency and trust. In this short period of our operations, we have grown to a network of 37 Branches across Oman, and enjoy the trust and loyalty of more than 200,000 active customers. Throughout this peri...",http://www.modernexchange.com/omn/en_US/,1578,https://oman.arablocal.com/business/view/modern-exchange-salalah-atin-rd,https://www.facebook.com/modernexchangeoman/,https://www.instagram.com/modernexchangeoman/,,+968 23213614,https://twitter.com/ModernExchangeO,https://www.youtube.com/channel/UC9Oro-xJNfsUGNZqC8EzgmQ
Al Reef Special Food LLC,,,,info@khanakhazanaoman.com,"Ruwi, Behind Pizza Hut Ruwi -",Ruwi,,Oman,Al Reef Special Food LLC,http://www.khanakhazanaoman.com,1209,https://oman.arablocal.com/business/view/al-reef-special-food-llc,,,,+968 24813466,,
Mumtaz Mahal Restaurant LLC,,,,contact@mumtazmahal.net,Al Qurum Commercial Al Qurum -,Hay Al Mina Jibroo,,Oman,Mumtaz Mahal Restaurant LLC,http://www.mumtazmahal.net,1190,https://oman.arablocal.com/business/view/mumtaz-mahal-restaurant-llc,,,,+968 24605907,,
Applebees Souk Sharq Mall,+965 1844466,,,,"Souk Shar Mall, Second Floor,Arabian Gulf Street,Sharq",,Capital Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,https://kuwaitlocal.com/business/applebees-souk-sharq-mall,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,,https://twitter.com/Applebeeskw,
Applebees The Avenues Mall,+965 1844466,,,,"Avenues Mall-Phase Two, Food Court Area, 2nd Floor,Store FL 77 & 78, Al Rai Area,Al-Rai",,Al Farwaniyah Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,https://kuwaitlocal.com/business/applebees-the-avenues-mall,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,,https://twitter.com/Applebeeskw,
10.oh.8 - Sharq,+96560416151,+96522479372,,,"Al-Shuhada Street,Sharq",,Capital Governorate,Kuwait,"Welcome 10.Oh.8 Restaurant in Sharq, Kuwait. We serve comfort food in distinctive styles of our own; with a cause. The cause changes every three months to reflect the changing seasons and to serve a greater good. A percentage of our proceeds goes to charity. Come on in and eat for a cause.",http://www.10oh8.com,,https://kuwaitlocal.com/business/10-oh-8-sharq,https://www.facebook.com/10oh8,http://instagram.com/10oh8,,,https://twitter.com/10oh8,
Am Darweesh - Hawally,,,,,"Qadsiyah & Sultan Centre Cross Rd,Hawally",,Hawalli Governorate,Kuwait,"Our mission is to provide our customers with a unique & fashionable Arabic fast-food experience, that is generous, authentic and high in its quality and sensational value, creating a new arabic franchise that will expand internationally in the near future.We also aspire to carry & transfer the middle eastern & oriental Arabic food culture to foreign countries by bringing them this part of our Arabic traditional cuisine served and packaged in style & value. We believe that food is a cultural s...",http://www.amdarweesh.com,,https://kuwaitlocal.com/business/am-darweesh-hawally,https://www.facebook.com/AmDarweesh,http://instagram.com/AmDarweesh,,,https://twitter.com/AmDarweesh,
Applebees Mishref,+965 1844466,,,,"206th Street, Next to Yarmaook Sports Club,Mishref",,Hawalli Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,https://kuwaitlocal.com/business/applebees-mishref,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,,https://twitter.com/Applebeeskw,
Ashas Marina Crescent,+965 22244504,,,,"Marina Mall Bldg, Arabian Gulf St,Salmiya",,Hawalli Governorate,Kuwait,"Adding a little spice to life The world renowned Asha Bhosle, the legendary Indian artiste who heralds from Indias first family of music, with her own unique and distinctive voice, has translated her second passion in life into the latest concept of cooking to hit the culinary scene. Experience at Ashas a fresh and exotic innovative style of an Indian restaurant, combining traditional North Western cuisine, Indian home style cooking and new age fusion selection. Enjoy the succulent meats flav...",https://www.ashasrestaurants.com/kuwait/,,https://kuwaitlocal.com/business/ashas-marina-crescent,,,,,https://twitter.com/asharestaurant,
Afandem,+965 1847847,,,,"Shaab Area, Maidan Hawalli,Maidan Hawally",,Hawalli Governorate,Kuwait,"The Turkish cuisine offers a variety of mouthwatering dishes, derived from the Eastern fragrance of Asia, combined with a western touch. The amazing geographical nature, along with the glorious historical past of Turkey, allows chefs to develop enrich flavors that reflects creativity and culture.Afendim Restauranst is your gateway to enjoy a Turkish ambience with the best Turkish dishes in Kuwait.",http://www.afendim.com/,,https://kuwaitlocal.com/business/afandem,,http://instagram.com/Affendim,,,,
Altro Level - Abu Hasaniya,+96598855669,+96598855670,+96594930202,,"The Village, Abu Hasaniya Funaitees, Road 208 ,In front of Fahaheel Express Way,Abu Hasaniya",,Mubarak Al-Kabeer Governorate,Kuwait,"ALTRO LEVEL serves a great variety of American, Burgers and Italian.",https://www.altrolevel.com,,https://kuwaitlocal.com/business/altro-level-abu-hasaniya,,http://instagram.com/altrolevel,,,https://twitter.com/ALTROLEVEL,
10.oh.8 - Awtad Mall,+96560416151,+96522479372,,,"Awtad Mall ,Jahra",,Al Jahra Governorate,Kuwait,"Welcome 10.Oh.8 Restaurant in Sharq, Kuwait. We serve comfort food in distinctive styles of our own; with a cause. The cause changes every three months to reflect the changing seasons and to serve a greater good. A percentage of our proceeds goes to charity. Come on in and eat for a cause.",http://www.10oh8.com,,https://kuwaitlocal.com/business/10-oh-8-awtad-mall,https://www.facebook.com/10oh8,http://instagram.com/10oh8,,,https://twitter.com/10oh8,
Applebees Bneid Al Gar,+965 1844466,,,,"Arabian Gulf Road, After Officers Club,Bneid Al Gar",,Capital Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,https://kuwaitlocal.com/business/applebees-bneid-al-gar,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,,https://twitter.com/Applebeeskw,
Applebees Fintas,+965 1844466,,,,"7 Coastal Road,Next To Abu Halifa Park,Fintas",,Al-Ahmadi Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,https://kuwaitlocal.com/business/applebees-fintas,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,,https://twitter.com/Applebeeskw,
Babak Grill Bneid Al Gar,,,,,"Block 1, Coupon 135, Shop No. 1,Bneid Al Gar",,Capital Governorate,Kuwait,"Babak Grill House is an Iranian/Middle Eastern restaurant, we currently have over 60,000 customers. At present we have 7 Outlets, 1 Commissary Kitchen, and a call center. Babak has a very diverse menu, we serve appetizers, salads, grills, stews, rice, wraps, and desserts all being Iranian/Middle Eastern. Our menu consists of more than 50 differnt items.At Babak Grill House, We guarantee to serve food that has been made of very high quality raw materials with a great price for the great value ...",http://www.babakgrillhouse.com,,https://kuwaitlocal.com/business/babak-grill-bneid-al-gar,https://www.facebook.com/BabakGrill,,,,https://twitter.com/BabakGrill,
Avanti Palace Salmiya,+965 25751083,,,,"Hamad Al Mubarak St,Salmiya",,Hawalli Governorate,Kuwait,"We would like to introduce Avanti Palace as a Multi Cuisine Restaurant Serving Indian, Chinese, Continental, Sizzler & Arabic dishes, located in the heart of Salmiya.",https://www.avantipalace.com,,https://kuwaitlocal.com/business/avanti-palace-salmiya,https://www.facebook.com/helloavanti,http://instagram.com/avanti_palace,,,https://twitter.com/avantipalace,
Ashas Spoons,+965 22254096,,,,"Spoons Food Court,Coastal Rd,Mahboula",,Al-Ahmadi Governorate,Kuwait,"Adding a little spice to life The world renowned Asha Bhosle, the legendary Indian artiste who heralds from Indias first family of music, with her own unique and distinctive voice, has translated her second passion in life into the latest concept of cooking to hit the culinary scene. Experience at Ashas a fresh and exotic innovative style of an Indian restaurant, combining traditional North Western cuisine, Indian home style cooking and new age fusion selection. Enjoy the succulent meats flav...",https://www.ashasrestaurants.com/kuwait/,,https://kuwaitlocal.com/business/ashas-spoons,,,,,https://twitter.com/asharestaurant,
Babak Grill Al Qurain Market,,,,,"Complex 15, Building 274, Shop No. 1-2, Ground Floor ,Al-Qurain District",,Mubarak Al-Kabeer Governorate,Kuwait,"Babak Grill House is an Iranian/Middle Eastern restaurant, we currently have over 60,000 customers. At present we have 7 Outlets, 1 Commissary Kitchen, and a call center. Babak has a very diverse menu, we serve appetizers, salads, grills, stews, rice, wraps, and desserts all being Iranian/Middle Eastern. Our menu consists of more than 50 differnt items.At Babak Grill House, We guarantee to serve food that has been made of very high quality raw materials with a great price for the great value ...",http://www.babakgrillhouse.com,,https://kuwaitlocal.com/business/babak-grill-al-qurain-market,https://www.facebook.com/BabakGrill,,,,https://twitter.com/BabakGrill,
Avanti Palace Hawally,,,,,"Hisham Centre, Opp Rehab Complex, Tunis St,Hawally",,Hawalli Governorate,Kuwait,"We would like to introduce Avanti Palace as a Multi Cuisine Restaurant Serving Indian, Chinese, Continental, Sizzler & Arabic dishes, located in the heart of Salmiya.",https://www.avantipalace.com,,https://kuwaitlocal.com/business/avanti-palace-hawally,https://www.facebook.com/helloavanti,http://instagram.com/avanti_palace,,,https://twitter.com/avantipalace,
Ashas The Avenues,+965 24954695,,,,"Avenues Mall,Al-Rai",,Al Farwaniyah Governorate,Kuwait,"Adding a little spice to life The world renowned Asha Bhosle, the legendary Indian artiste who heralds from Indias first family of music, with her own unique and distinctive voice, has translated her second passion in life into the latest concept of cooking to hit the culinary scene. Experience at Ashas a fresh and exotic innovative style of an Indian restaurant, combining traditional North Western cuisine, Indian home style cooking and new age fusion selection. Enjoy the succulent meats flav...",https://www.ashasrestaurants.com/kuwait/,,https://kuwaitlocal.com/business/ashas-the-avenues,,,,,https://twitter.com/asharestaurant,
