Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax,URL,Facebook,Instagram,Twitter
Ceramica Cleopatra,+971 42627877,,,,Dubai,Hor Al Anz,Dubai,UAE,Ceramica Cleopatra,,,1861,,https://uae.arablocal.com/business/view/ceramica-cleopatra,,,
Al Zamalek Gen Contg Co,+971 67423706,,,,Ajman,Al Rashidiya 3,Ajman,UAE,Al Zamalek Gen Contg Co,,,1920,,https://uae.arablocal.com/business/view/al-zamalek-gen-contg-co,,,
Al Wathba Al Mafraq And Al Ain Concrete Block Factories,+971 25822400,,,,"Al Mafraq Industrial Area, P.O. Box: 31901",Al Mafraq Industrial Area,Abu Dhabi,UAE,"Al Wathba, Al Mafraq and Al Ain Concrete Block Factories is located in Abu Dhabi, UAE. Company is working in Building Materials, Construction Services business activities.",,,1856,,https://uae.arablocal.com/business/view/al-wathba-al-mafraq-and-al-ain-concrete-block-factories,,,
Transgulf Readymix Concrete Co Ltd Abu dhabi,+971 25511777,,,,"Plot # 58/59/60, Street # 15,",Musaffah,Abu Dhabi,UAE,Transgulf Readymix Concrete Co Ltd Abu dhabi,,,1910,,https://uae.arablocal.com/business/view/transgulf-readymix-concrete-co-ltd-abu-dhabi,,,
Belhasa Industrial Stones LLC Sharjah,+971 65443336,,,,"Al Doori Building, Industrial Area 15,",Industrial Area,Sharjah,UAE,Belhasa Industrial Stones LLC Sharjah,,,1906,,https://uae.arablocal.com/business/view/belhasa-industrial-stones-llc-sharjah,,,
Bin Harmal Cement Products Factory,+971 37222313,,,,"Office # 1, 1st Floor, Italian Palace Bldg, Sanaiya Street,",Al Ain,Abu Dhabi,UAE,Bin Harmal Cement Products Factory,,,1851,,https://uae.arablocal.com/business/view/bin-harmal-cement-products-factory,,,
Emirates Roads Contracting Co LLC Ras Al Khaimah,+971 72446662,,,,Ras Al Khaimah,Business Bay,Ras Al Khaimah,UAE,Emirates Roads Contracting Co LLC Ras Al Khaimah,,,1846,,https://uae.arablocal.com/business/view/emirates-roads-contracting-co-llc-ras-al-khaimah,,,
Acttell Construction LLC Dubai,+971 42844166,,,,"Ground Floor, Bin Drai Building, Office R2A, Umm Ramool,",Al Garhoud,Dubai,UAE,Acttell Construction LLC Dubai,,,1823,,https://uae.arablocal.com/business/view/acttell-construction-llc-dubai,,,
Emirates Roads Contracting Co LLC Sharjah,+971 92220964,,,,Fujairah,Business Bay,Dubai,UAE,Emirates Roads Contracting Co LLC Sharjah,,,1801,,https://uae.arablocal.com/business/view/emirates-roads-contracting-co-llc-sharjah,,,
AB Building Contracting Co LLC,+971 43312371,,,,"2nd Floor, Union Co-operative Society, Al Dhiyafah Street, Al Satwa,",Al Zaabeel,Dubai,UAE,AB Building Contracting Co LLC,,,1797,,https://uae.arablocal.com/business/view/ab-building-contracting-co-llc,,,
Abu Hail Contracting Co. LLC Deira Dubai,+971 42975757,,,,"Mezzanine Floor, Al Bassam Building, Office # 446, Al Riqqa,",Deira,Dubai,UAE,Abu Hail Contracting Co. LLC Deira Dubai,,,1783,,https://uae.arablocal.com/business/view/abu-hail-contracting-co-llc-deira-dubai,,,
Al Telal Cement Trading,+971 72225566,,,,Ras Al Khaimah,Al Nakheel,Ras Al Khaimah,UAE,Al Telal Cement Trading,,,1779,,https://uae.arablocal.com/business/view/al-telal-cement-trading,,,
Mcdermott Middle East INC. Jebel Ali Free Zone Dubai,+971 48835200,,,,"Jebel Ali Free Zone,",Jebel Ali Freezone,Dubai,UAE,Mcdermott Middle East INC. Jebel Ali Free Zone Dubai,,,1773,,https://uae.arablocal.com/business/view/mcdermott-middle-east-inc-jebel-ali-free-zone-dubai,,,
Jesr Al Sharq Wa Al Gharb Marbles and Granite Trdg.LLC,+971 65352687,+971 566516227,,,"Ground Floor, Industrial Area 15,",Industrial Area,Sharjah,UAE,Jesr Al Sharq Wa Al Gharb Marbles and Granite Trdg.LLC,,,1769,,https://uae.arablocal.com/business/view/jesr-al-sharq-wa-al-gharb-marbles-and-granite-trdg-llc,,,
Star Cement Co LLC,+971 47073382,,,,Dubai,Al Muraqqabat,Dubai,UAE,Star Cement Co LLC,,,1758,,https://uae.arablocal.com/business/view/star-cement-co-llc,,,
Al Kauther Contracting Co LLC Sharjah,+971 65629660,,,,"Ground Floor, Al Kauther Building,",Al Shuwaihean,Sharjah,UAE,Al Kauther Contracting Co LLC Sharjah,,,1770,,https://uae.arablocal.com/business/view/al-kauther-contracting-co-llc-sharjah,,,
Bucomac Industries Ltd - Block Factory Sharjah,+971 65333549,,,,"BMW Road,",Industrial Area 2,Sharjah,UAE,Bucomac Industries Ltd - Block Factory Sharjah,,,1759,,https://uae.arablocal.com/business/view/bucomac-industries-ltd-block-factory-sharjah,,,
Dream House Contracting L.L.C,+971 42945008,,,,"2, Al Huda Building, 204, Service Rd, Al Garhoud,",Al Garhoud,Dubai,UAE,Dream House Contracting L.L.C,,,1704,,https://uae.arablocal.com/business/view/dream-house-contracting-l-l-c,,,
Otis LLC Abu Dhabi,+971 26446550,,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Otis LLC Abu Dhabi,,,1741,,https://uae.arablocal.com/business/view/otis-llc-abu-dhabi,,,
Delmon Autoclaved Aerated Concrete Factory - AAC Thermalite Blocks,+971 48842280,+971 504467394,,,"Jebel Ali Industrial Area # 2,",Jebel Ali Industrial Area # 2,Dubai,UAE,Delmon Autoclaved Aerated Concrete Factory - AAC Thermalite Blocks,,,1683,,https://uae.arablocal.com/business/view/delmon-autoclaved-aerated-concrete-factory-aac-thermalite-blocks,,,
Ali Mousa and Sons Group,+971 65311444,,,,Sharjah,Al Sajaa,Sharjah,UAE,Ali Mousa and Sons Group,,,1727,,https://uae.arablocal.com/business/view/ali-mousa-and-sons-group,,,
Al Ain Ready Mix Co,+971 37211120,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Ain Ready Mix Co,,,1703,,https://uae.arablocal.com/business/view/al-ain-ready-mix-co,,,
Fujairah Marble and Tiles Factory,+971 92444101,,,,"Dibba,",Dibba,Fujairah,UAE,Fujairah Marble and Tiles Factory,,,1660,,https://uae.arablocal.com/business/view/fujairah-marble-and-tiles-factory,,,
Adnan Contracting Co LLC,+971 43369550,,,,Dubai,Oud Metha,Dubai,UAE,Adnan Contracting Co LLC,,,1662,,https://uae.arablocal.com/business/view/adnan-contracting-co-llc,,,
Masters Crane Co LLC,+971 65282111,,,,Sharjah,Al Layyeh Suburb,Sharjah,UAE,Masters Crane Co LLC,,,1655,,https://uae.arablocal.com/business/view/masters-crane-co-llc,,,
Bin Ojan Group,+971 26457777,,,,Abu Dhabi,Al Zahiyah,Abu Dhabi,UAE,Bin Ojan Group,,,1655,,https://uae.arablocal.com/business/view/bin-ojan-group,,,
Al Rayan Marble Factory LLC,+971 67662341,,,,"Umm Al Quwain-Industrial area,",Umm Al Quwain-Industrial area,Umm Al Quwain,UAE,Al Rayan Marble Factory LLC,,,1649,,https://uae.arablocal.com/business/view/al-rayan-marble-factory-llc,,,
National Ready Mix Concrete Co Sharjah,+971 65345544,,,,Sharjah,Industrial Area 17,Sharjah,UAE,National Ready Mix Concrete Co Sharjah,,,1638,,https://uae.arablocal.com/business/view/national-ready-mix-concrete-co-sharjah,,,
Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Dubai,+971 43607754,,,,"Building # 2, Office # 208, Dubai Industrial Park, DubaiP.O.Box: 11171, Dubai",Dubai Industrial Park,Dubai,UAE,"One of the largest in the Middle East area, classified in Category ""I""​ (First) with the Central Tenders Committee of Kuwait and treated at par with international contractors..",http://www.makharafi.net/,,13576,,https://uae.arablocal.com/business/view/mohammed-abdul-mohsin-al-kharafi-and-sons-llc-dubai,,,
Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Abu Dhabi,+971 25542200,,,,"ADMAK Building, Mussafah (M-15),",Musaffah,Abu Dhabi,UAE,Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Abu Dhabi,http://www.makharafi.net/,,6122,,https://uae.arablocal.com/business/view/mohammed-abdul-mohsin-al-kharafi-and-sons-llc-abu-dhabi,,,
Dubai Adhesive Material Factory LLC,+971 65349708,+971 552412975,,,"Plot # 4, 8th Kalba Road, Industrial Area 17 ,",Industrial Area,Sharjah,UAE,Dubai Adhesive Material Factory LLC,http://www.dubaiadhesive.com/,,3376,,https://uae.arablocal.com/business/view/dubai-adhesive-material-factory-llc,,,
Abu Dhabi Precast LLC,+971 25501033,+971 565035567,,,"Floor # 25, Sector # 1-25, ICAD City, Sanaya,",Musaffah,Abu Dhabi,UAE,Abu Dhabi Precast LLC,http://www.abudhabiprecast.com/adp/index.php?cmd=cms__message&msg=U29ycnkhIFlvdSBhcmUgbm90IGF1dGhvcml6aW5nZ2dnZ2dnZyB0byBhY2Nlc3MgdGhpcyBwYWdlLg==,,3449,,https://uae.arablocal.com/business/view/abu-dhabi-precast-llc,,,
Pioneer Precast Concrete LLC Abu Dhabi,+971 25828438,,,,"Mafraq Workers City # 1,",Al Mafraq Industrial Area,Abu Dhabi,UAE,Pioneer Precast Concrete LLC Abu Dhabi,http://pioneerprecast.com/,,2886,,https://uae.arablocal.com/business/view/pioneer-precast-concrete-llc-abu-dhabi,,,
Al Sahel Contracting Co LLC,+971 42857324,,,,"Umm Ramool,",Al Rashidiya,Dubai,UAE,Al Sahel Contracting Co LLC,http://alsahelcon.com/,,2363,,https://uae.arablocal.com/business/view/al-sahel-contracting-co-llc,,,
Al Nasr Contracting Co LLC Mussafah Abu Dhabi,+971 26420002,,,,"3rd Floor, Hamad Bahyer Al Amiri Building, Defence Road,",Mussafah 32/1,Abu Dhabi,UAE,Al Nasr Contracting Co LLC Mussafah Abu Dhabi,http://www.mrtool.ae/,,1679,,https://uae.arablocal.com/business/view/al-nasr-contracting-co-llc-mussafah-abu-dhabi,,,
Car Parking Shades Suppliers,+971 543839003,+971505773027,+971543839003,maqavisuhatents@gmail.com,2b Street al quoz,Al Quoz Industrial Area 3,Dubai,UAE,"CAR PARKING SHADED SUPPLIERS IN JUMAIRAH PARK 0543839003 Car Park Shades, Tents, Dubai Wedding Tents, Shades and Tents, Tents And Shades, Parking Shades Dubai, Rental Tents, Canopies, Awnings Suppliers, Patio Awnings, Garden Shades, Tensile Shades. https://youtu.be/txv2IGlDUDo Best and High Quality Suppliers Car park Shades, Our Products are. Car Park Sheds, Tents, Awnings, Canopies, Tensile Fabric Shades, Pergola, Sail Shades, Garden Sun Shades, Swimming Pool Shades, Playground shades, Tents...",https://posts.gle/pFWBT,,1621,054382900,https://uae.arablocal.com/business/view/car-parking-shades-suppliers,https://www.facebook.com/alduhatents,https://www.instagram.com/tentsandshades,https://twitter.com/maqavutents
