Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Views,URL
Abu Dhabi Weaving and Cloak Tailoring Factory,+971 25554187,,,Abu Dhabi,Mussafah 14,Abu Dhabi,UAE,Abu Dhabi Weaving and Cloak Tailoring Factory,,2141,https://uae.arablocal.com/business/view/abu-dhabi-weaving-and-cloak-tailoring-factory
Noor Asadi Mirror and Frames L.L.C,+971 25552460,,,"Plot No # 28, Mussafah (M-13),",Musaffah,Abu Dhabi,UAE,Noor Asadi Mirror and Frames L.L.C,,2107,https://uae.arablocal.com/business/view/noor-asadi-mirror-and-frames-l-l-c
Crown Emirates Co Ltd,+971 48835452,,,"Plot WWA, Office #160, Jebel Ali,",Jebel Ali Freezone,Dubai,UAE,Crown Emirates Co Ltd,,2097,https://uae.arablocal.com/business/view/crown-emirates-co-ltd
Al Ain Glass and Mirrors Factory,+971 67432179,,,Ajman,Ajman Industrial 2,Ajman,UAE,Al Ain Glass and Mirrors Factory,,2096,https://uae.arablocal.com/business/view/al-ain-glass-and-mirrors-factory
Al Hamra Steel Pipe Factory Co LLC Al Sajaa Sharjah,+971 65360127,,,"Al Sajaa,",Al Sajaa,Sharjah,UAE,Al Hamra Steel Pipe Factory Co LLC Al Sajaa Sharjah,,2094,https://uae.arablocal.com/business/view/al-hamra-steel-pipe-factory-co-llc-al-sajaa-sharjah
Al Yamama UPVC Doors and Windows,+971 37216602,,,"Ground Floor, Al Rauwaidhi Building, Street # 16,",Sanaiya,Abu Dhabi,UAE,Al Yamama UPVC Doors and Windows,,2079,https://uae.arablocal.com/business/view/al-yamama-upvc-doors-and-windows
Al Waleed Refrigerant Gas Industry LLC,+971 42730844,,,"5th Floor, Technic Building, Office # 502, Salahuddin Road, Al Muraqqabat,",Deira,Dubai,UAE,Al Waleed Refrigerant Gas Industry LLC,,2441,https://uae.arablocal.com/business/view/al-waleed-refrigerant-gas-industry-llc
Jindal Steel DMCC,+971 44264026,,,"Jumeirah Bay 2, Unit # 3309,",Jumeirah Lakes towers,Dubai,UAE,Jindal Steel DMCC,,2064,https://uae.arablocal.com/business/view/jindal-steel-dmcc
Al Jazeera City Trailers Industries LLC,+971 43338942,,,Dubai,Ras al khor industrial area 1,Sharjah,UAE,Al Jazeera City Trailers Industries LLC,,2055,https://uae.arablocal.com/business/view/al-jazeera-city-trailers-industries-llc
Abid Textile,+971 37514030,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Abid Textile,,2048,https://uae.arablocal.com/business/view/abid-textile
GT Steel Recycling DMCC,+971 44208385,,,"ALMAS Tower, Unit # ALMAS-06-A,",Jumeirah Lakes towers,Dubai,UAE,GT Steel Recycling DMCC,,1980,https://uae.arablocal.com/business/view/gt-steel-recycling-dmcc
Arab Emirates Bandac Co LLC Dubai,+971 42858317,,,"Ground Floor, Umm Ramool,",Al Rashidiya,Dubai,UAE,Arab Emirates Bandac Co LLC Dubai,,1959,https://uae.arablocal.com/business/view/arab-emirates-bandac-co-llc-dubai
Al Ain Glass and Mirror Co LLC,+971 37641442,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Ain Glass and Mirror Co LLC,,1929,https://uae.arablocal.com/business/view/al-ain-glass-and-mirror-co-llc
Al Muntadhim Copper and Aluminium Scrap Trading,+971 65350060,,,"Industrial 10,",Industrial Area 10,Sharjah,UAE,Al Muntadhim Copper and Aluminium Scrap Trading,,1917,https://uae.arablocal.com/business/view/al-muntadhim-copper-and-aluminium-scrap-trading
Mohamed Hareb Al Otaiba Kitchen Supplies LLC,+971 43414900,+971 504548187,,"Ground Floor, Mohamed Hareb Al Otaiba Building, Al Marabea Street, 65D,",Al Quoz Industrial Area,Dubai,UAE,Mohamed Hareb Al Otaiba Kitchen Supplies LLC,,1908,https://uae.arablocal.com/business/view/mohamed-hareb-al-otaiba-kitchen-supplies-llc
Abdul Hameed Khouri Aluminium Glass Factory LLC,+971 65346800,,,Sharjah,Industrial Area 12,Sharjah,UAE,Abdul Hameed Khouri Aluminium Glass Factory LLC,,1904,https://uae.arablocal.com/business/view/abdul-hameed-khouri-aluminium-glass-factory-llc
Ahmed Ramadhan Juma ARJ Group,+971 37218144,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Ahmed Ramadhan Juma ARJ Group,,1846,https://uae.arablocal.com/business/view/ahmed-ramadhan-juma-arj-group
Fikree Group of Companies L.L.C,+971 43377911,,,"Floor # 4, Montawa Building, Office # 406, Al Zabeel Street, Al Karama,",Bur Dubai,Dubai,UAE,Fikree Group of Companies L.L.C,,1813,https://uae.arablocal.com/business/view/fikree-group-of-companies-l-l-c
Qasr Al Ahlam Trading,+971 6331224,,,11857,Abu Dhabi City,Abu Dhabi,UAE,"QASR AL AHLAM TRADING is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories, Textile business activities.",,1808,https://uae.arablocal.com/business/view/qasr-al-ahlam-trading
Al Reyami Glass and Aluminium LLC Al Quoz Industrial area 2 Dubai,+971 44329829,+971 800739264,,Dubai,Al Quoz Industrial Area 2,Dubai,UAE,Al Reyami Glass and Aluminium LLC Al Quoz Industrial area 2 Dubai,,1791,https://uae.arablocal.com/business/view/al-reyami-glass-and-aluminium-llc-al-quoz-industrial-area-2-dubai
National Finland Auto Glass Co LLC Umm Al quwain,+971 67662630,,,Umm Al Quwain,Industrial Area,Sharjah,UAE,National Finland Auto Glass Co LLC Umm Al quwain,,1788,https://uae.arablocal.com/business/view/national-finland-auto-glass-co-llc-umm-al-quwain
Obaid Al Shamsi Aluminium and Glass Industries LLC,+971 42679100,,,"Al Qusais 4,",Al Qusais,Dubai,UAE,Obaid Al Shamsi Aluminium and Glass Industries LLC,,1773,https://uae.arablocal.com/business/view/obaid-al-shamsi-aluminium-and-glass-industries-llc
Gulf Gypsum Industries Co LLC,+971 42242424,,,"Al Maktoum St,",Deira,Dubai,UAE,Gulf Gypsum Industries Co LLC,,1749,https://uae.arablocal.com/business/view/gulf-gypsum-industries-co-llc
Daeah Engineering Construction Co.Ltd,+971 26426442,,,"Mussafah (M-4),",Musaffah,Abu Dhabi,UAE,Daeah Engineering Construction Co.Ltd,,1750,https://uae.arablocal.com/business/view/daeah-engineering-construction-co-ltd
Al Asfar Heavy Equipment Spare Parts Trading LLC,+971 65424677,,,"Industrial Area 13,",Industrial Area,Sharjah,UAE,Al Asfar Heavy Equipment Spare Parts Trading LLC,,1732,https://uae.arablocal.com/business/view/al-asfar-heavy-equipment-spare-parts-trading-llc
Al Madeena Plastic Pipe Mfrg Factory LLC,+971 67480226,,,"1, G Industrial,",Ajman Industrial 2,Ajman,UAE,Al Madeena Plastic Pipe Mfrg Factory LLC,,1729,https://uae.arablocal.com/business/view/al-madeena-plastic-pipe-mfrg-factory-llc
Gelaf Carton Boxes Manufacturing LLC,+971 67673828,,,"Ground Floor, Al Ittihad Road,",Industrial Area,Sharjah,UAE,Gelaf Carton Boxes Manufacturing LLC,,1716,https://uae.arablocal.com/business/view/gelaf-carton-boxes-manufacturing-llc
Al Ain Mineral Water Bottling Factory Cold Stores and Ice Plant Dept,+971 37214377,,pridepowermech@gmail.com,Al Ain,Al Ain,Abu Dhabi,UAE,Al Ain Mineral Water Bottling Factory Cold Stores and Ice Plant Dept,,1715,https://uae.arablocal.com/business/view/al-ain-mineral-water-bottling-factory-cold-stores-and-ice-plant-dept
Al Furat Refrigeration Devices Trading Co,+971 65342622,,,Sharjah,Industrial Area 11,Sharjah,UAE,Al Furat Refrigeration Devices Trading Co,,1705,https://uae.arablocal.com/business/view/al-furat-refrigeration-devices-trading-co
Al Dhaid Tents Tr,+971 68823892,,,Sharjah,Al Dhaid,Sharjah,UAE,Al Dhaid Tents Tr,,1705,https://uae.arablocal.com/business/view/al-dhaid-tents-tr
Arabian Extrusions Factory,+971 67646152,+971 504826160,,"Block #05, Arabian Extr Fact, Umm Al Thoube,",Emirates Modern Industrial Area,Umm Al Quwain,UAE,Arabian Extrusions Factory,http://www.arabianextrusion.com/,3145,https://uae.arablocal.com/business/view/arabian-extrusions-factory
Al Zayat Carton Production Factory LLC,+971 65360055,,,"Ground Floor, Sajaa Industrial Area,",Saja'a Industrial,Sharjah,UAE,Al Zayat Carton Production Factory LLC,http://www.zayatpkg.onuae.net/,2662,https://uae.arablocal.com/business/view/al-zayat-carton-production-factory-llc
Union Fiber Glass Factory LLC Jebel Ali Dubai,+971 45515847,+971 505354957,,"4th Floor, Ibn Batuta Building, Office # 403/C,",Jebel Ali,Dubai,UAE,Union Fiber Glass Factory LLC Jebel Ali Dubai,http://www.unionfibreglass.com/,2581,https://uae.arablocal.com/business/view/union-fiber-glass-factory-llc-jebel-ali-dubai
Blue Sea Metal Scrap Trading LLC Sharjah,+971 65310629,,,"Ground Floor, Al Dhaid Road,",Saja'a Industrial,Sharjah,UAE,Blue Sea Metal Scrap Trading LLC Sharjah,http://www.blueseametal.com/,2294,https://uae.arablocal.com/business/view/blue-sea-metal-scrap-trading-llc-sharjah
Professional Laundry Equipment Trading PLET Al rashidiya Dubai,+971 46085578,+971 504503667,,"Professional Laundry Building, Street # 32-A, Umm Ramool,",Al Rashidiya,Dubai,UAE,Professional Laundry Equipment Trading PLET Al rashidiya Dubai,http://alhathboor.com/,2229,https://uae.arablocal.com/business/view/professional-laundry-equipment-trading-plet-al-rashidiya-dubai
Ibn Al Haj Chemicals,+971 43426464,,,"Plot # TP 040316,",Dubai World Central,Dubai,UAE,Ibn Al Haj Chemicals,http://www.iahchemicals.com/,2154,https://uae.arablocal.com/business/view/ibn-al-haj-chemicals
Al Mawsim Tents Industries LLC,+971 65319983,,,"Ground Floor, Al Mawasim Tents Building, Office # 1, Al Ittihad Road,",Industrial Area # 7,Sharjah,UAE,Al Mawsim Tents Industries LLC,http://www.almawsimtents.com/,1983,https://uae.arablocal.com/business/view/al-mawsim-tents-industries-llc
Al Sindbad Insulation Materials and Al Reem Building Materials,+971 65345994,,,"Sindbad group building,",Saja'a Industrial,Sharjah,UAE,Al Sindbad Insulation Materials and Al Reem Building Materials,http://www.alsindbadgroup.com/,1810,https://uae.arablocal.com/business/view/al-sindbad-insulation-materials-and-al-reem-building-materials
Campro Technical Services LLC,+971 42678731,,,Box No. 31920,Dubai Silicon Oasis,Dubai,UAE,"CAMPRO TECHNICAL SERVICES LLC is located in Dubai, UAE. Company is working in Metal Products, Contractors business activities.",http://www.carcility.com/,1792,https://uae.arablocal.com/business/view/campro-technical-services-llc
