Category,URL,Scraped_At,Runtime_Sec,Name,Phone_1,Phone_2,Phone_3,WhatsApp,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax
construction,https://uae.arablocal.com/business/view/el-ezh-building-contracting-llc,2026-04-14 15:54:14,65,El Ezh Building Contracting LLC,+971 72221668,,,,,"Floor # 4, Julphar Tower, Al Hisn Road,",Al Nakheel,Ras Al Khaimah,UAE,El Ezh Building Contracting LLC,,,2955,
construction,https://uae.arablocal.com/business/view/al-futtaim-engineering-elevators-and-escalators-division-dubai,2026-04-14 15:54:17,69,Al Futtaim Engineering Elevators and Escalators Division Dubai,+971 42119111,,,,,Dubai,Garhoud,Dubai,UAE,Al Futtaim Engineering Elevators and Escalators Division Dubai,,,3201,
construction,https://uae.arablocal.com/business/view/ms-construction-l-l-c,2026-04-14 15:54:21,72,MS Construction L.L.C,+971 44079799,,,,,"Nadd Al Shiba 1,",Nad Al Sheba,Dubai,UAE,MS Construction L.L.C,,,3012,
construction,https://uae.arablocal.com/business/view/al-shallalat-well-drilling-est-al-mushrif-abu-dhabi,2026-04-14 15:54:24,75,Al Shallalat Well Drilling Est Al Mushrif Abu Dhabi,+971 26429962,+971 502199952,,,,"Mezzanine Floor, Building# 848, Office #01, Sheikh Rashid Bin Saeed Street,",Al Mushrif,Abu Dhabi,UAE,Al Shallalat Well Drilling Est Al Mushrif Abu Dhabi,,,3005,
construction,https://uae.arablocal.com/business/view/amar-al-khaleej-construction,2026-04-14 15:54:26,78,Amar Al Khaleej Construction,+971 42869966,,,,,"2, Flower of Garhoud Building, 208, Al Garhoud,",Al Garhoud,Dubai,UAE,Amar Al Khaleej Construction,,,2792,
construction,https://uae.arablocal.com/business/view/pioneer-precast-concrete-llc-abu-dhabi,2026-04-14 15:54:33,85,Pioneer Precast Concrete LLC Abu Dhabi,+971 25828438,,,,,"Mafraq Workers City # 1,",Al Mafraq Industrial Area,Abu Dhabi,UAE,Pioneer Precast Concrete LLC Abu Dhabi,http://pioneerprecast.com/,,2886,
construction,https://uae.arablocal.com/business/view/galadari-trucks-and-heavy-equipment-co-ltd-llc-mussafah-14-abu-dhabi,2026-04-14 15:54:35,86,Galadari Trucks and Heavy Equipment Co Ltd LLC Mussafah 14 Abu Dhabi,+971 25559700,,,,,"Mussafah Industrial Area,",Mussafah 14,Abu Dhabi,UAE,Galadari Trucks and Heavy Equipment Co Ltd LLC Mussafah 14 Abu Dhabi,,,2644,
business-b2b,https://uae.arablocal.com/business/view/australian-world-trading-llc,2026-04-14 15:54:37,89,Australian World Trading LLC,+971 3443500,,,,,Box No. 333455,Jebel Ali Freezone,Dubai,UAE,"AUSTRALIAN WORLD TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,,6523,
business-b2b,https://uae.arablocal.com/business/view/dubizzle-abu-dhabi,2026-04-14 15:54:39,91,Dubizzle Abu Dhabi,,,,,,Area :,Abu Dhabi City,Abu Dhabi,UAE,"dubizzle.com is the leading classifieds website for users in the Middle East and North Africa. Since its launch in 2005, dubizzle.com has become the number one platform for users to buy, sell, or find anything in their community. A community where underused goods are redistributed to fill a new need, and become wanted again, where non- product assets such as space, skills and money are exchanged and traded in new ways that don’t always require centralized institutions or ‘middlemen’. dubizzle...",http://abudhabi.dubizzle.com/,,2955,
business-b2b,https://uae.arablocal.com/business/view/fujairah-national-printing-press,2026-04-14 15:54:43,94,Fujairah National Printing Press,+971 92223388,,,,,"Industrial,",Fujairah,Fujairah,UAE,Fujairah National Printing Press,,,3159,
construction,https://uae.arablocal.com/business/view/nafees-bastan-general-trading-llc,2026-04-14 15:54:45,97,Nafees Bastan General Trading LLC,+971 43352355,,,,,"ToufiqY Building, Flat# 2, Manama Road, Ras Al Khor Industrial Area # 2,",Ras Al Khor,Dubai,UAE,Nafees Bastan General Trading LLC,,,2788,
construction,https://uae.arablocal.com/business/view/noor-al-sahara-general-contracting-l-l-c,2026-04-14 15:54:49,101,Noor Al Sahara General Contracting L.L.C,+971 25591901,,,,,Abu Dhabi,ICAD 3,Abu Dhabi,UAE,Noor Al Sahara General Contracting L.L.C,,,2723,
construction,https://uae.arablocal.com/business/view/abu-dhabi-national-cement-factory,2026-04-14 15:54:51,103,Abu Dhabi National Cement Factory,+971 25503766,,,,,"Ground Floor,",I CAD 1,Abu Dhabi,UAE,Abu Dhabi National Cement Factory,,,2688,
business-b2b,https://uae.arablocal.com/business/view/injaz-services-fz-llc,2026-04-14 15:54:53,105,Injaz Services FZ LLC,+971 44401818,,,,,"Dubai Outsource Zone,",Dubai Outsource Zone,Dubai,UAE,Injaz Services FZ LLC,,,2745,
business-b2b,https://uae.arablocal.com/business/view/al-khazna-chicken-farm,2026-04-14 15:54:55,107,Al Khazna Chicken Farm,+971 37372992,,,,,Area :,Al Ain,Abu Dhabi,UAE,"Al Khazna Chicken Farm is located in Al Ain, UAE. Company is working in Overseas Business, Import and Export Agents business activities. If you have any questions, please contact us",,,2722,
business-b2b,https://uae.arablocal.com/business/view/afdhal-auto-paints-trading,2026-04-14 15:54:57,108,Afdhal Auto Paints Trading,+971 65420451,,,,,Sharjah,Industrial Area 5,Sharjah,UAE,Afdhal Auto Paints Trading,,,3159,
business-b2b,https://uae.arablocal.com/business/view/bama-trading-company,2026-04-14 15:54:58,110,Bama Trading Company,,,,,,Po Box 17460 Free Zone,Dubai Others,Dubai,UAE,"BAMA TRADING COMPANY is located in Dubai, UAE. Company is working in Others business activities.",http://www.barrickgroup.net,,2490,
business-b2b,https://uae.arablocal.com/business/view/abdul-aziz-mohd-al-majid-est,2026-04-14 15:55:00,112,Abdul Aziz Mohd Al Majid Est,+971 65564447,,,,,Sharjah,Al Majaz 3,Sharjah,UAE,Abdul Aziz Mohd Al Majid Est,,,2399,
business-b2b,https://uae.arablocal.com/business/view/al-megido-electromechanical-works--llc,2026-04-14 15:55:02,114,Al Megido Electromechanical Works LLC,+971 2987818,,,,,Box No. 89385,Dubai Others,Dubai,UAE,"AL MEGIDO ELECTROMECHANICAL WORKS LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Civil Engineering, Lift Engineers, Electromechanical Equipment Installation, Plumbing & Sanitary business activities.",,,1985,
business-b2b,https://uae.arablocal.com/business/view/al-abad-manpower-supply,2026-04-14 15:55:04,116,Al Abad Manpower Supply,+971 92223302,,,,,Fujairah,Al Fujairah,Fujairah,UAE,Al Abad Manpower Supply,,,1922,
business-b2b,https://uae.arablocal.com/business/view/bahar-al-noor-trading,2026-04-14 15:55:06,118,Bahar Al Noor Trading,+971 42727391,,,,,Area :,Al Garhoud,Dubai,UAE,"Bahar Al Noor Trading is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading business activities. If you have any questions, please contact us",http://www.balloonee.com,,1894,
business-b2b,https://uae.arablocal.com/business/view/al-khaleej-foam-factory,2026-04-14 15:55:08,120,Al Khaleej Foam Factory,+971 67438844,,,,,5274,Ajman Others,Ajman,UAE,"Al Khaleej Foam Factory is located in Ajman, UAE. Company is working in Others business activities. If you have any questions, please contact us",,,1789,
business-b2b,https://uae.arablocal.com/business/view/afaq-recruitment-and-manpower-supply-services,2026-04-14 15:55:10,122,Afaq Recruitment and Manpower Supply Services,+971 26457007,+971 564012035,,,,"Floor # 9, GTH Building, Electra Street, Tourist Club,",Abu Dhabi City,Abu Dhabi,UAE,Afaq Recruitment and Manpower Supply Services,,,1756,
business-b2b,https://uae.arablocal.com/business/view/simba-trading-llc,2026-04-14 15:55:13,124,Simba Trading Llc,+971 2226635,,,,,Box No. 33135,Dubai Others,Dubai,UAE,"SIMBA TRADING LLC is located in Dubai, UAE. Company is working in Secretarial Services, Photocopying, Trading, Air-Condition, Refrigeration Trading, Event Equipment, Audio Visual, Electrical Goods business activities. Visit our company website for more information about us : http://www.simbaglobal.com",http://www.simbaglobal.com,,1731,
business-b2b,https://uae.arablocal.com/business/view/holford-facilities-management-llc,2026-04-14 15:55:15,127,Holford Facilities Management LLC,+971 43793100,,,,,"2nd Floor, SIT Tower, Office 207, Street D 54,",Dubai Silicon Oasis,Dubai,UAE,Holford Facilities Management LLC,,,1702,
business-b2b,https://uae.arablocal.com/business/view/al-tareeq-al-saree-management-consultancy-industrial-area-4-sharjah,2026-04-14 15:55:17,129,Al Tareeq Al Saree Management Consultancy Industrial Area 4 Sharjah,+971 65215557,+971 556490500,,,,"4th Floor, Rolla Mall, Office # 407,",Industrial Area 4,Sharjah,UAE,Al Tareeq Al Saree Management Consultancy Industrial Area 4 Sharjah,http://www.sbs-uae.org/,,1700,
business-b2b,https://uae.arablocal.com/business/view/al-ain-glass-and-mirrors-factory,2026-04-14 15:55:19,131,Al Ain Glass and Mirrors Factory,+971 67432179,,,,,Ajman,Ajman Industrial 2,Ajman,UAE,Al Ain Glass and Mirrors Factory,,,2096,
business-b2b,https://uae.arablocal.com/business/view/asmacs-fze,2026-04-14 15:55:21,132,Asmacs FZE,+971 65260711,,,,,"Hamriyah Free Zone,",Hamriyah Free Zone,Sharjah,UAE,,,,1644,
business-b2b,https://uae.arablocal.com/business/view/gardenia-trading-est,2026-04-14 15:55:23,135,Gardenia Trading Est,+971 43961420,,,,,"Shop #2, Ground Floor, Ahmed Saif Belhasa, Al Karama,",Bur Dubai,Dubai,UAE,Gardenia Trading Est,,,1823,
business-b2b,https://uae.arablocal.com/business/view/ac-nielsen-amer-shj-branch,2026-04-14 15:55:25,137,Ac Nielsen Amer Shj Branch,+971 65724848,,,,,P.O Box 22525,Dubai Others,Dubai,UAE,"A/C Nielsen Amer (Shj. Branch) is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,,1505,
industrial,https://uae.arablocal.com/business/view/al-haram-carton-ind-llc,2026-04-14 15:55:28,139,Al Haram Carton Ind LLC,+971 65334469,,,,,Sharjah,Industrial Area 1,Sharjah,UAE,Al Haram Carton Ind LLC,,,6916,
industrial,https://uae.arablocal.com/business/view/pasco-paving-stones-co-llc-mussafah-abu-dhabi,2026-04-14 15:55:29,141,Pasco Paving Stones Co LLC Mussafah Abu Dhabi,+971 25591088,,,,,"Mezannine Floor, Building #179, Office #M10, Mussafah (M-10),",Musaffah,Abu Dhabi,UAE,Pasco Paving Stones Co LLC Mussafah Abu Dhabi,,,5210,
industrial,https://uae.arablocal.com/business/view/pepsi-cola-international-ltd,2026-04-14 15:55:32,144,Pepsi-Cola International Ltd,+971 43393000,,,,,"Al Quoz First,",Al Quoz,Dubai,UAE,Pepsi-Cola International Ltd,,,4838,
industrial,https://uae.arablocal.com/business/view/al-kharashi-laundry-equipments,2026-04-14 15:55:35,146,Al Kharashi Laundry Equipments,+971 42677600,,,,,"Ground Floor, Al Kharashi Laundry Equipment Building, Shed # 5, Amman Street,",Al Qusais,Dubai,UAE,Al Kharashi Laundry Equipments,,,4569,
industrial,https://uae.arablocal.com/business/view/al-ain-national-juice-and-refreshment-company-llc,2026-04-14 15:55:37,149,Al Ain National Juice and Refreshment Company LLC,+971 37216555,,,,,"Al Rwaidhat,",Sanaiya,Abu Dhabi,UAE,Al Ain National Juice and Refreshment Company LLC,,,4498,
industrial,https://uae.arablocal.com/business/view/abu-dhabi-fibre-glass-factory,2026-04-14 15:55:39,151,Abu Dhabi Fibre Glass Factory,+971 25511444,,,,,Abu Dhabi,Mussafah Industrial Area mw 5,Abu Dhabi,UAE,Abu Dhabi Fibre Glass Factory,,,4435,
industrial,https://uae.arablocal.com/business/view/golden-paper-cups-manuf-co-l-l-c,2026-04-14 15:55:41,152,Golden Paper Cups Manuf. Co. L.L.C,+971 67489941,,,,,"Office # 1,",New Industrial Area,Ajman,UAE,Golden Paper Cups Manuf. Co. L.L.C,,,4250,
industrial,https://uae.arablocal.com/business/view/al-guthmi-trading-sharjah,2026-04-14 15:55:43,154,Al Guthmi Trading Sharjah,+971 65146999,,,,,"Maliha Road,",Industrial Area 17,Sharjah,UAE,Al Guthmi Trading Sharjah,,,4193,
industrial,https://uae.arablocal.com/business/view/lotus-general-trading-co-llc,2026-04-14 15:55:44,156,Lotus General Trading Co LLC,+971 43536862,,,,,Dubai,Al Souk Al Kabeer,Dubai,UAE,Lotus General Trading Co LLC,,,3773,
industrial,https://uae.arablocal.com/business/view/al-rams-scrap-co,2026-04-14 15:55:48,160,Al Rams Scrap Co,+971 72238904,,,,,Ras Al Khaimah,Al Ghubb,Ras Al Khaimah,UAE,Al Rams Scrap Co,,,3472,
industrial,https://uae.arablocal.com/business/view/jebel-ali-carton-factory-inc,2026-04-14 15:55:50,161,Jebel Ali Carton Factory Inc,+971 48816274,,,,,"Jebel Ali Port Zone,",Jebel Ali,Dubai,UAE,Jebel Ali Carton Factory Inc,,,3297,
industrial,https://uae.arablocal.com/business/view/al-ameer-keys-and-locks-al-khalidiyah-abu-dhabi,2026-04-14 15:55:52,164,Al Ameer Keys and Locks Al Khalidiyah Abu Dhabi,+971 26219090,,,,,"Ground Floor, Mubarak Abdulla Al Muraiki Building, Khalidiya Street,",Al Khalidiyah,Abu Dhabi,UAE,Al Ameer Keys and Locks Al Khalidiyah Abu Dhabi,,,3218,
industrial,https://uae.arablocal.com/business/view/arabian-extrusions-factory,2026-04-14 15:55:55,167,Arabian Extrusions Factory,+971 67646152,+971 504826160,,,,"Block #05, Arabian Extr Fact, Umm Al Thoube,",Emirates Modern Industrial Area,Umm Al Quwain,UAE,Arabian Extrusions Factory,http://www.arabianextrusion.com/,,3145,
industrial,https://uae.arablocal.com/business/view/al-masdar-al-awal-metal-scrap-trading-llc,2026-04-14 15:55:57,169,Al Masdar Al Awal Metal Scrap Trading LLC,+971 65344471,,,,,"Industrial Area 10,",Industrial Area,Sharjah,UAE,Al Masdar Al Awal Metal Scrap Trading LLC,,,3113,
industrial,https://uae.arablocal.com/business/view/al-jallaf-carton-boxes-manufacturing-llc,2026-04-14 15:55:59,170,Al Jallaf Carton Boxes Manufacturing LLC,+971 67490418,,,,,"Industrial Area# 1,",Industrial Area# 1,Ajman,UAE,Al Jallaf Carton Boxes Manufacturing LLC,,,3074,
industrial,https://uae.arablocal.com/business/view/dayal-metal-containers-factory-llc,2026-04-14 15:56:01,173,Dayal Metal Containers Factory LLC,+971 67430611,+971 567501659,,,,"Ground Floor,",New Industrial Area,Ajman,UAE,Dayal Metal Containers Factory LLC,,,3040,
industrial,https://uae.arablocal.com/business/view/union-chemical-factory-abu-dhabi,2026-04-14 15:56:03,175,Union Chemical Factory Abu dhabi,+971 25502026,,,,,"Ground Floor, ICAD Street,",I CAD 1,Abu Dhabi,UAE,Union Chemical Factory Abu dhabi,,,2997,
industrial,https://uae.arablocal.com/business/view/arrow-metals-and-scrap-trading-llc,2026-04-14 15:56:06,177,Arrow Metals and Scrap Trading LLC,+971 25575881,+971 506349984,,,,"Mussafah (M-17),",Musaffah,Abu Dhabi,UAE,Arrow Metals and Scrap Trading LLC,,,2902,
industrial,https://uae.arablocal.com/business/view/agricultural-materials-co-ltd-al-ain-abu-dhabi,2026-04-14 15:56:07,179,Agricultural Materials Co Ltd Al Ain Abu Dhabi,+971 37641064,,,,,"B F, Arab Bank Building,",Al Ain,Abu Dhabi,UAE,Agricultural Materials Co Ltd Al Ain Abu Dhabi,,,2761,
industrial,https://uae.arablocal.com/business/view/al-baha-trading-est,2026-04-14 15:56:10,181,Al Baha Trading Est,+971 26332115,+971 506132543,,,,"Ground Floor, Dana Masaoud Tower, Najda Street,",Al Danah,Abu Dhabi,UAE,Al Baha Trading Est,,,2749,
business-b2b,https://uae.arablocal.com/business/view/bank-saderat-iran-sharjah-branch,2026-04-14 15:56:12,184,Bank Saderat Iran Sharjah Branch,+971 65681121,+971 65682070,,,rofc@bsi.co.ae,Al Gharb - Sharjah - United Arab Emirates,Al Gharb,Sharjah,UAE,"Bank Saderat Iran was established in 1952 with the main objective to provide efficient and modern banking and is well reputed for the excellent services it is offering to customers throughout the world. Since the inception, BSI has expanded its network vigorously and established about 3400 branches in Iran and abroad. With over 32000 employees, the Bank has one of the largest Banking Network in Iran and the Middle East. BSI with its competent and innovative Management has used its extensive m...",http://www.banksaderat.ae/,,1930,46035555
business-b2b,https://uae.arablocal.com/business/view/al-hiba-intellectual-property,2026-04-14 15:56:14,186,Al-Hiba Intellectual Property,+971 42547700,,,,,"Floor #1, Office #109,",Hor Al Anz East,Dubai,UAE,Al-Hiba Intellectual Property,,,1493,
business-b2b,https://uae.arablocal.com/business/view/al-arabia-operation-and-maintenance-llc,2026-04-14 15:56:18,190,Al Arabia Operation and Maintenance LLC,+971 42851145,,,,,"Juma Al Majid Building, Al Marakech Street, Umm Ramool,",Al Rashidiya,Dubai,UAE,Al Arabia Operation and Maintenance LLC,,,1404,
construction,https://uae.arablocal.com/business/view/al-jazeera-factory-for-const-materials-aac-thermalite-blocks,2026-04-14 15:56:21,193,Al Jazeera Factory for Const Materials AAC Thermalite Blocks,+971 25822768,,,,,"Al Ain Truck Road, Industrial Area,",Al Mafraq,Abu Dhabi,UAE,Al Jazeera Factory for Const Materials AAC Thermalite Blocks,,,2525,
business-b2b,https://uae.arablocal.com/business/view/opensooq,2026-04-14 15:56:25,197,Opensooq,+971 44489205,,,,,DIC - Bldg 02 - Floor 1 - 121,Dubai Internet City,Dubai,UAE,"OpenSooq is the largest marketplace in MENA with over 12 million downloads. Buy and sell your car, mobile phone, home furniture, or any other item, find a place to live or find your dream job while in the comfort of your home. All of this is for free, without commission and just a few clicks away!",http://ae.opensooq.com,,1398,
industrial,https://uae.arablocal.com/business/view/stars-poly-storage-tanks-factory-llc-al-quoz-dubai,2026-04-14 15:56:28,200,Stars Poly Storage Tanks Factory LLC Al Quoz Dubai,+971 43476200,+971 504696964,,,,"Warehouse, 22nd Street,",Al Quoz,Dubai,UAE,Stars Poly Storage Tanks Factory LLC Al Quoz Dubai,,,2685,
industrial,https://uae.arablocal.com/business/view/al-zayat-carton-production-factory-llc,2026-04-14 15:56:31,202,Al Zayat Carton Production Factory LLC,+971 65360055,,,,,"Ground Floor, Sajaa Industrial Area,",Saja'a Industrial,Sharjah,UAE,Al Zayat Carton Production Factory LLC,http://www.zayatpkg.onuae.net/,,2662,
business-b2b,https://uae.arablocal.com/business/view/shuraa-business-setup-services,2026-04-14 15:56:34,206,Shuraa Business Setup Services,+971 44081900,+971 43510077,,,info@shuraa.com,"Sheikh Zayed Road, Office 501, 5th floor, Aspin Commercial Tower, Dubai, UAE",Sheikh Zayed Road,Dubai,UAE,"Shuraa Business Setup is a leading business setup company in Dubai, offering consultation and company formation services all over the UAE. Established in 2001, Shuraa is an organization which encompasses a complete range of business setup services including trade licensing, PRO service, company management and establishing business centers and more. We are a renowned name in the sector of business consultation and are known for providing complete solutions to our clients for setting up busines...",http://www.shuraa.com/,,1393,,https://www.facebook.com/shuraabusinesssetup/,https://www.instagram.com/shuraabusinesssetup/,https://www.linkedin.com/company/shuraabusinesssetup,https://twitter.com/shuraabusiness,https://www.youtube.com/c/ShuraaBusinessSetup
construction,https://uae.arablocal.com/business/view/mohamed-abdulrahman-al-bahar-sharjah,2026-04-14 15:56:37,208,Mohamed Abdulrahman Al-Bahar Sharjah,+971 65433555,,,,,Sharjah,Industrial Area 3,Sharjah,UAE,Mohamed Abdulrahman Al-Bahar Sharjah,,,2529,
construction,https://uae.arablocal.com/business/view/a-m-v-i-n-construction-llc,2026-04-14 15:56:39,211,A M V I N Construction LLC,+971 43883928,,,,,"Al Quoz 4,",Al Quoz 4,Dubai,UAE,A M V I N Construction LLC,,,2426,
business-b2b,https://uae.arablocal.com/business/view/dumarques--llc,2026-04-14 15:56:44,215,Dumarques Llc,+971 2211425,,,,,Box No. 5899,Dubai Others,Dubai,UAE,"DUMARQUES LLC is located in Dubai, UAE. Company is working in Trading business activities.",,,1388,
construction,https://uae.arablocal.com/business/view/al-nakheel-industrial-marble,2026-04-14 15:56:47,218,Al Nakheel Industrial Marble,+971 72223486,,,,,Ras Al Khaimah,Al Sall,Ras Al Khaimah,UAE,Al Nakheel Industrial Marble,,,2461,
business-b2b,https://uae.arablocal.com/business/view/al-arab-and-asia-oil-fields-services-llc,2026-04-14 15:56:49,220,Al Arab and Asia Oil Fields Services LLC,+971 65615711,,,,,Sharjah,Umm Altaraffa,Sharjah,UAE,Al Arab and Asia Oil Fields Services LLC,,,1380,
construction,https://uae.arablocal.com/business/view/abdul-aziz-mohd-al-majid-est,2026-04-14 15:56:51,223,Abdul Aziz Mohd Al Majid Est,+971 65564447,,,,,Sharjah,Al Majaz 3,Sharjah,UAE,Abdul Aziz Mohd Al Majid Est,,,2399,
business-b2b,https://uae.arablocal.com/business/view/binghatti-holding-limited,2026-04-14 15:56:55,227,Binghatti Holding Limited,+971 43863538,,,,,"Level 1, Gate Village 6, Office 8 and 9, 312th Road,",Dubai International Financial Centre,Dubai,UAE,Binghatti Holding Limited,,,1358,
construction,https://uae.arablocal.com/business/view/al-sahel-contracting-co-llc,2026-04-14 15:56:58,230,Al Sahel Contracting Co LLC,+971 42857324,,,,,"Umm Ramool,",Al Rashidiya,Dubai,UAE,Al Sahel Contracting Co LLC,http://alsahelcon.com/,,2363,
construction,https://uae.arablocal.com/business/view/al-sharqia-gypsum-and-ceramic-factory,2026-04-14 15:57:06,237,Al Sharqia Gypsum and Ceramic Factory,+971 37213433,,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Sharqia Gypsum and Ceramic Factory,,,2274,
industrial,https://uae.arablocal.com/business/view/jsw-steel-limited-dmcc,2026-04-14 15:57:07,239,JSW Steel Limited DMCC,+971 44385286,,,,,"Jumeirah Bay Tower X3, Unit # 309,",Jumeirah Lakes towers,Dubai,UAE,JSW Steel Limited DMCC,,,2616,
industrial,https://uae.arablocal.com/business/view/al-bassam-rak-for-tanks-llc,2026-04-14 15:57:10,242,Al Bassam RAK for Tanks LLC,+971 72221026,,,,,"Al Nakheel Street, Dafan Al Nakheel,",Dafan Al Nakheel,Ras Al Khaimah,UAE,Al Bassam RAK for Tanks LLC,,,2612,
construction,https://uae.arablocal.com/business/view/almoftah-aldhabi-building-contracting-l-l-c,2026-04-14 15:57:13,245,Almoftah Aldhabi Building Contracting L.L.C,+971 42507444,,,,,"3, Nissan Showroom, 310, Al Ittihad Road, Port Saeed,",Deira,Dubai,UAE,Almoftah Aldhabi Building Contracting L.L.C,,,2262,
construction,https://uae.arablocal.com/business/view/abu-dhabi-precast-concrete-plant,2026-04-14 15:57:16,248,Abu Dhabi Precast Concrete Plant,+971 37838355,+971 521875644,,,,"Ground Floor, Truck Road,",New Industrial Area,Abu Dhabi,UAE,Abu Dhabi Precast Concrete Plant,,,2378,
business-b2b,https://uae.arablocal.com/business/view/fujairah-marble-and-tiles-factory,2026-04-14 15:57:19,251,Fujairah Marble and Tiles Factory,+971 92444101,,,,,"Dibba,",Dibba,Fujairah,UAE,Fujairah Marble and Tiles Factory,,,1660,
business-b2b,https://uae.arablocal.com/business/view/flex-facility-management-llc,2026-04-14 15:57:21,252,Flex Facility Management LLC,+971 42205999,,,,,"Office # 124, 1st Floor, Al Fahad Building # 4, Damascus Street, Al Qusais Ind. Second,",Al Qusais,Dubai,UAE,Flex Facility Management LLC,,,1324,
business-b2b,https://uae.arablocal.com/business/view/kiltons-business-setup-services,2026-04-14 15:57:24,256,Kiltons Business Setup Services,+971 43920111,,,,contact@kiltons.com,"G06, Bin Thani Building, Near Hilal Bank, Al Qusais, Dubai, UAE. P.O. Box 237739",Al Qusais,Dubai,UAE,"Planning a Business setup in Dubai? Contact Kiltons Business Setup Services LLC, one of the top business consultants in Dubai for business setup services in UAE. Start your business in Dubai UAE easily and Get the best price for business setup, Business Setup in Ajman Mainland, Business Setup In RAK, Business SetUp In Abu Dhabi,, free zone company formation, business licensing, visa, and PRO services in Dubai. We also help in Obtaining a UAE national sponsor for our clients. Other services th...",http://kiltons.com/,,1321,,https://www.facebook.com/kiltonsdubai/,https://www.instagram.com/kiltonsdubai/,https://www.linkedin.com/company/kiltons-business-setup-services-llc/,https://twitter.com/kiltonsdubai,https://www.youtube.com/channel/UCl3dIkJgXY-UZjrVZ0IlZEg?view_as=subscriber
