Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Country,About,Website,Rating,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sohar-readymixed-concrete-l-l-c,,,,,
restaurants,Ateen Restaurants For Popualr Food,+968 23294413,,,,Salalah Dhofar -,Salalah,Oman,Ateen Restaurants For Popualr Food,,0,3723,,https://oman.arablocal.com/business/view/ateen-restaurants-for-popualr-food,,,,,
restaurants,Chinese Waterfall Restaurant,+968 23289844,,,,Salalah Al Wasta Dhofar -,Salalah,Oman,Chinese Waterfall Restaurant,,0,3357,,https://oman.arablocal.com/business/view/chinese-waterfall-restaurant,,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/althabat-holding-saoc,,,,,
plastics-%26-plastic-products%2Csupplies,Alhilal Plastic Industrials,+968 24703770,+968 25449340,+968 93513430,,Area :,Nizwa,Oman,Alhilal Plastic Industrials,,0,4449,,https://oman.arablocal.com/business/view/alhilal-plastic-industrials,,,,,
restaurants,Midas Technical Trading Company LLC,+968 24535151,,,m.al_hosni@yahoo.com,North Al Mawalah,Al Seeb,Oman,Midas Technical Trading Company LLC,,0,3141,,https://oman.arablocal.com/business/view/midas-technical-trading-company-llc,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/bin-ahmed-enterprises-llc,,,,,
restaurants,Al Badiyeh Restaurant,+968 24736068,,,,Near Post Office Muscat -,Muscat,Oman,Al Badiyeh Restaurant,,0,2453,,https://oman.arablocal.com/business/view/al-badiyeh-restaurant,,,,,
plastics-%26-plastic-products%2Csupplies,Al Mumayaz Plastic Factory LLC,+968 97354816,,,,Area :,Al Buraimi,Oman,Al Mumayaz Plastic Factory LLC,,0,3270,,https://oman.arablocal.com/business/view/al-mumayaz-plastic-factory-llc,,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/awtad-international-company-llc,,,,,
plastics-%26-plastic-products%2Csupplies,Paper Recycling,+968 92699252,,,asooltrd@gmail.com,.SAMAIL,Lizgh,Oman,Paper Recycling,http://WWW.baniadamrecycling-oman.com,0,3172,,https://oman.arablocal.com/business/view/paper-recycling,https://facebook.com/Bani Adam rECYCLING,https://instagram.com/baniadam.recycling,,https://twitter.com/baniadam.recycling,
restaurants,Tilal Atin Restaurant For Food Popular,+968 23294413,,,jn.alabri@gmail.com,ALmuataza Dhofar -,Salalah,Oman,Tilal Atin Restaurant For Food Popular,,,2427,,https://oman.arablocal.com/business/view/tilal-atin-restaurant-for-food-popular,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/gulf-plastic-industries-co,,,,,
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-blending-services-llc,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/techno-plastic-industry,,,,,
industrial,National Fibre Glass Factory LLC,+968 24810373,,,sajjad@nffglass.com,Area :,Muscat,Oman,National Fibre Glass Factory LLC,,0,2539,,https://oman.arablocal.com/business/view/national-fibre-glass-factory-llc,,,,,
plastics-%26-plastic-products%2Csupplies,Abraaj Al Buraimi Company For Trading,+968 99358420,,,,Area :,Al Buraimi,Oman,Abraaj Al Buraimi Company For Trading,,,2566,,https://oman.arablocal.com/business/view/abraaj-al-buraimi-company-for-trading,,,,,
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/towell-engineering-services-co-llc,,,,,
industrial,Packaging Co Ltd,+968 24493752,,,packltd@omantel.net.om,Nr M.H.D Al Azaiba -,Ruwi,Oman,Packaging Co Ltd,http://www.packoman.com,0,2435,,https://oman.arablocal.com/business/view/packaging-co-ltd,,,,,
restaurants,Abu Nabil Trading,+968 24814487,,,,Opp Bahwan Building Material Al Wadi -,Al Wadi Al Kabir,Oman,Abu Nabil Trading,,0,2377,,https://oman.arablocal.com/business/view/abu-nabil-trading,,,,,
restaurants,International Tourism Restaurant Co,+968 24477714,,,hamadreda2003@yahoo.com,Kfc Sohar before sohar roundabuot in oman oil Sohar -,Ruwi,Oman,International Tourism Restaurant Co,,0,2278,,https://oman.arablocal.com/business/view/international-tourism-restaurant-co,,,,,
restaurants,Best Food LLC,+968 23298072,,,,Opp Anas Bin Malik School Dhofar -,Salalah,Oman,Best Food LLC,,0,2224,,https://oman.arablocal.com/business/view/best-food-llc,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/buraimi-towers-trading-company,,,,,
business-b2b,Suhail Bahwan Group Holding LLC,+968 24650000,,,karan.s@suhailbahwangroup.com,Qurum -,Muscat,Oman,Suhail Bahwan Group Holding LLC,http://www.suhailbahwangroup.com,,2489,,https://oman.arablocal.com/business/view/suhail-bahwan-group-holding-llc,,,,,
business-b2b,Muscat International Bitumen LLC,+968 22009630,,,mibllcoman@gmail.com,Al Wattiya Mina Al Fahal -,Mina Al Fahal,Oman,Muscat International Bitumen LLC,,0,2314,,https://oman.arablocal.com/business/view/muscat-international-bitumen-llc,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/muna-noor-plastic-industries-llc,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/deep-ocean-marine-engineering-llc,,,,,
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/yousuf-bin-ahmed-al-aamri-trading-llc-yaat-llc,,,,,
restaurants,Abraj Al Madinah Modern Trade And Cont,+968 24810057,,,issa.harmi@gmail.com,Al Gubra -,Al Harthy Complex,Oman,Abraj Al Madinah Modern Trade And Cont,,0,1849,,https://oman.arablocal.com/business/view/abraj-al-madinah-modern-trade-and-cont,,,,,
industrial,United Gulf Pipe Manufacturing Co,+968 24447056,,,m.hashani@ugpm.net,Area :,Rusayl,Oman,United Gulf Pipe Manufacturing Co,,0,2236,,https://oman.arablocal.com/business/view/united-gulf-pipe-manufacturing-co,,,,,
business-b2b,Abdul Aziz And Brothers LLC,+968 24446792,,,madhu@aabrosgroup.com,Ruwi -,Al Hamriyah,Oman,Abdul Aziz And Brothers LLC,,0,2295,,https://oman.arablocal.com/business/view/abdul-aziz-and-brothers-llc,,,,,
restaurants,Bur Al Hickman Hospitality,+968 24507077,,,armida@buralhickman.com,Muscat Al Azaiba -,Azaiba,Oman,Bur Al Hickman Hospitality,,0,1830,,https://oman.arablocal.com/business/view/bur-al-hickman-hospitality,,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/horizon-salalah-united-services-llc,,,,,
industrial,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sohar-galvanizing-and-steel-industries-llc,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/united-plastic-manufacturing-co-llc,,,,,
restaurants,Omar Al Khayyam Restaurant,+968 24799975,,,farzam786@yahoo.com,"Opp Police Station, Mehdi Building Ruwi -",Ruwi,Oman,Omar Al Khayyam Restaurant,http://www.omaralkhayyam.com,0,1769,,https://oman.arablocal.com/business/view/omar-al-khayyam-restaurant,,,,,
restaurants,Said Bin Naser Bin Abdullah Almaaeni For Trading,+968 26712137,,,,Al Suwaiq -,Al Suwaiq,Oman,Said Bin Naser Bin Abdullah Almaaeni For Trading,,0,1639,,https://oman.arablocal.com/business/view/said-bin-naser-bin-abdullah-almaaeni-for-trading,,,,,
restaurants,Abdullah Mohammed Said Al Mamari Trade,+968 25651851,,,,Al Buraimi Al Saraa Area Al Buraimi -,Al Buraimi,Oman,Abdullah Mohammed Said Al Mamari Trade,,0,1615,,https://oman.arablocal.com/business/view/abdullah-mohammed-said-al-mamari-trade,,,,,
restaurants,Abu Mana Al Shehhi Trade Est,+968 26735286,,,,Khasab In Lima Area Khasab -,Khasab,Oman,Abu Mana Al Shehhi Trade Est,,0,1607,,https://oman.arablocal.com/business/view/abu-mana-al-shehhi-trade-est,,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/iso-certification-in-oman,,,,,
business-b2b,Jawad International Projects LLC,+968 24493563,,,jawadgrp@omanntel.net.om,Nr Al Maha Hotel Al Gubra -,Al Khud,Oman,Jawad International Projects LLC,http://www.jawad.com,0,2167,,https://oman.arablocal.com/business/view/jawad-international-projects-llc,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-momayaz-for-plastic-factory,,,,,
business-b2b,Saud Bin Musalim Al Rasbi Trading,+968 24560617,,,saudmhal@omantel.net.om,Galah -,Azaiba,Oman,Saud Bin Musalim Al Rasbi Trading,,0,2132,,https://oman.arablocal.com/business/view/saud-bin-musalim-al-rasbi-trading,,,,,
plastics-%26-plastic-products%2Csupplies,Al Safa Plastic LLC,+968 25642555,+968 96900964,+968 99843222,,Area :,Al Buraimi,Oman,Al Safa Plastic LLC,,0,2058,,https://oman.arablocal.com/business/view/al-safa-plastic-llc,,,,,
restaurants,Al Haikal Restaurant Pakistani,+968 24700281,,,,"Near Masjid Qaboos, Muttrah Al Kubra -",Ruwi,Oman,Al Haikal Restaurant Pakistani,,0,1588,,https://oman.arablocal.com/business/view/al-haikal-restaurant-pakistani,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/globle-plastic-industries-llc,,,,,
restaurants,Al Aktham LLC Co,+968 24478700,,,info@alaktham.com,Nr To Mars Haypermarket Al Khuwair -,Muscat,Oman,Al Aktham LLC Co,http://www.alaktham.com,0,1571,,https://oman.arablocal.com/business/view/al-aktham-llc-co,,,,,
restaurants,Abo Al Jalanda Al Hadhrami Trade,+968 26780015,,,,Nakhal -Bab Al Dhufur Area Nakhal -,Nakhal,Oman,Abo Al Jalanda Al Hadhrami Trade,,,1534,,https://oman.arablocal.com/business/view/abo-al-jalanda-al-hadhrami-trade,,,,,
electrical,Alpha Electric And Contracting Co LLC,+968 23290053,,,alphaoman@yahoo.com,Alpha Building Near Al Haffa House Dhofar -,Salalah,Oman,Alpha Electric And Contracting Co LLC,,0,5194,,https://oman.arablocal.com/business/view/alpha-electric-and-contracting-co-llc,,,,,
business-b2b,Al Awadi International LLC,+968 24212300,,,awadiest@omantel.net.om,"Intilal Office Muscat Grand Mall, 1st -",Ruwi,Oman,Al Awadi International LLC,,0,2074,,https://oman.arablocal.com/business/view/al-awadi-international-llc,,,,,
electrical,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/tawoos-power-and-telecommunicatons-llc,,,,,
business-b2b,Cowi And Partners LLC,+968 24604200,,,cowioman@cowi.com,"Bait Mahmiyat, 2nd Floor Al Qurum -",Ruwi,Oman,Cowi And Partners LLC,http://www.cowi.com/oman,0,2054,,https://oman.arablocal.com/business/view/cowi-and-partners-llc,,,,,
plastics-%26-plastic-products%2Csupplies,Al Isteqrar Al Omania Trading And Cont,+968 23298072,,,isteqrar@omantel.net.om,Samhan Street. -,Salalah,Oman,Al Isteqrar Al Omania Trading And Cont,http://www.isteqrar.com,0,1863,,https://oman.arablocal.com/business/view/al-isteqrar-al-omania-trading-and-cont,,,,,
business-b2b,Shanfari Group Of Companies,+968 24602710,,,Zaki@shanfari.com,"Al Khuwair, Next to Centrepoint -",Muscat,Oman,Shanfari Group Of Companies,http://www.shanfari.com,0,1984,,https://oman.arablocal.com/business/view/shanfari-group-of-companies,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/petromar-piping-systems-llc,,,,,
electrical,Al Katheery Trading And Contracting Est,+968 23294053,,,alkatheerytrading@gmail.com,"Salalah-Industrial Area, Nr Rawasco Supermarket Dhofar -",Salalah,Oman,Al Katheery Trading And Contracting Est,,0,3139,,https://oman.arablocal.com/business/view/al-katheery-trading-and-contracting-est,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/azd-alsharq-trading-company-llc,,,,,
restaurants,Abu Saif National Trade Est,+968 26747227,,,,Area :,Shinas,Oman,Abu Saif National Trade Est,,0,1528,,https://oman.arablocal.com/business/view/abu-saif-national-trade-est,,,,,
electrical,Al Falahy Company LLC,+968 24571601,,,falahyco@omantel.net.om,Opposite Toyota Showroom Al Wattayah -,Ruwi,Oman,Al Falahy Company LLC,,0,2957,,https://oman.arablocal.com/business/view/al-falahy-company-llc,,,,,
business-b2b,Al Ameen International LLC,+968 24452909,,,,Al Mabella -,Al Hamriyah,Oman,Al Ameen International LLC,,0,1924,,https://oman.arablocal.com/business/view/al-ameen-international-llc,,,,,
business-b2b,Manar Al Omran Co Scaffolding And Trading,+968 24614940,,,,Galah -,Hay Al Mina Jibroo,Oman,Manar Al Omran Co Scaffolding And Trading,,0,1903,,https://oman.arablocal.com/business/view/manar-al-omran-co-scaffolding-and-trading,,,,,
plastics-%26-plastic-products%2Csupplies,Rashid And Mohd Trading Co,+968 99424721,,,,"Sur, Oman -",Sur,Oman,Rashid And Mohd Trading Co,,,1801,,https://oman.arablocal.com/business/view/rashid-and-mohd-trading-co,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/sharjah-modern-investment-company-llc,,,,,
electrical,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/marmul-falcon-trading-and-contracting-co-llc,,,,,
restaurants,Saj Restaurant,+968 24817852,,,mathewv@omantel.net.om,St 65411 -,Al Wadi Al Kabir,Oman,Saj Restaurant,http://www.sajrestaurant.com,0,1485,,https://oman.arablocal.com/business/view/saj-restaurant,,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/arkaan-international-engineering-consultancy-llc,,,,,
electrical,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/acwa-power-barka,,,,,
business-b2b,Ain Al Bedaya Trading,+968 26709555,,,alzman@omantel.net.om,Near Bank Shoar Ruwi -,Bidaya,Oman,Ain Al Bedaya Trading,http://www.ajmal.perfume.com,0,1853,,https://oman.arablocal.com/business/view/ain-al-bedaya-trading,,,,,
restaurants,Grill House Co LLC Hotel And Restaurant,+968 24605663,,,grillhousegroup@gmail.com,Near Centre Point Madinat Al -,Al Rumays,Oman,Grill House Co LLC Hotel And Restaurant,,0,1456,,https://oman.arablocal.com/business/view/grill-house-co-llc-hotel-and-restaurant,,,,,
plastics-%26-plastic-products%2Csupplies,World Of Plastic,+968 24595945,,,woplast@omantel.net.om,Galah Nr Holidy Inn Galah -,Jibroo,Oman,World Of Plastic,,0,2369,,https://oman.arablocal.com/business/view/world-of-plastic,,,,,
business-b2b,Al Badi Trading And Contracting Est,+968 26854411,,,admin@albadygroup.com,Near Valley Office Saham -,Saham,Oman,Al Badi Trading And Contracting Est,http://www.albadygroup.com,0,1850,,https://oman.arablocal.com/business/view/al-badi-trading-and-contracting-est,,,,,
business-b2b,Al Rawahi Ltd LLC,+968 24563011,,,binsalem@omantel.net.om,Al Wattayah -,Muscat,Oman,Al Rawahi Ltd LLC,http://www.binsalim.com,0,1819,,https://oman.arablocal.com/business/view/al-rawahi-ltd-llc,,,,,
business-b2b,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-anwar-holding-co-llc,,,,,
business-b2b,Al Anwar Holding Saog,+968 24692503,+968 24692504,,sanjay.tiwari@alanwarholdings.com,"Villa # 897, Way # 3013, Shatti -",Al Hamriyah,Oman,Al Anwar Holding Saog,http://www.alanwarholdings.com,0,1693,,https://oman.arablocal.com/business/view/al-anwar-holding-saog,,,,,
plastics-%26-plastic-products%2Csupplies,International Plastic Industries Co LLC,+968 23219474,+968 92332168,,ipico@omantel.net.om,"Raysut, Oman -",Salalah,Oman,International Plastic Industries Co LLC,,0,1613,,https://oman.arablocal.com/business/view/international-plastic-industries-co-llc,,,,,
electrical,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/al-jizzi-transformers-and-switchgears-co-llc,,,,,
restaurants,North Star Technical Services LLC,+968 26868984,,,aboo-ali@live.com,Sohar -,Falaj Al Qabail,Oman,North Star Technical Services LLC,,0,1422,,https://oman.arablocal.com/business/view/north-star-technical-services-llc,,,,,
plastics-%26-plastic-products%2Csupplies,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/technova-llc,,,,,
restaurants,Maryam Al Fouri Trading,+968 24736151,,,,Muscat -,Muscat,Oman,Maryam Al Fouri Trading,,0,1376,,https://oman.arablocal.com/business/view/maryam-al-fouri-trading,,,,,
restaurants,Abdulla Mukhtar Trading Stores,+968 24787103,,,,Muttrah Al Kubra -,Ruwi,Oman,Abdulla Mukhtar Trading Stores,,,1300,,https://oman.arablocal.com/business/view/abdulla-mukhtar-trading-stores,,,,,
electrical,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/best-power-constructions-llc,,,,,
electrical,Habib Salem Electrical And Electronics LLC,+968 24831047,,,habibsalemelec@yahoo.com,Near Al Dastoor Ruwi -,Ruwi,Oman,Habib Salem Electrical And Electronics LLC,,0,2451,,https://oman.arablocal.com/business/view/habib-salem-electrical-and-electronics-llc,,,,,
electrical,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/oman-industrial-of-transformer-and-switchgear-llc,,,,,
hospitals-%26-clinics,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/um-salma-midiclle-complex,,,,,
restaurants,Abu Retaj Al Harthi Trade,+968 24708348,,,,Suq Al Seeb -,Hay Al Mina Jibroo,Oman,Abu Retaj Al Harthi Trade,,0,1296,,https://oman.arablocal.com/business/view/abu-retaj-al-harthi-trade,,,,,
electrical,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/abu-omran-electrical-and-engineering-services-llc,,,,,
plastics-%26-plastic-products%2Csupplies,Super Plastic Industrial LLC,+968 24523456,,,younis999@gmail.com,Galah Opp Majan Shipping Galah -,Azaiba,Oman,Super Plastic Industrial LLC,,0,1561,,https://oman.arablocal.com/business/view/super-plastic-industrial-llc,,,,,
hospitals-%26-clinics,Ayman Al Hosni Clinic,+968 24450848,,,valnevis@yahoo.com,Al Shradi Al Seeb -,Al Seeb,Oman,Ayman Al Hosni Clinic,,0,5140,,https://oman.arablocal.com/business/view/ayman-al-hosni-clinic,,,,,
restaurants,Abu Abdulaziz Al Mumtaza Trade Co,+968 26747227,,,,Shinas -,Shinas,Oman,Abu Abdulaziz Al Mumtaza Trade Co,,0,1262,,https://oman.arablocal.com/business/view/abu-abdulaziz-al-mumtaza-trade-co,,,,,
restaurants,Soha Restaurant,+968 24479012,,,,Near Zawawi Mosque Al Khuwair -,Al Khuwiar,Oman,Soha Restaurant,,0,1257,,https://oman.arablocal.com/business/view/soha-restaurant,,,,,
hospitals-%26-clinics,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Oman,,,,,,https://oman.arablocal.com/business/view/shaimaa-dental-center-llc,,,,,
hospitals-%26-clinics,Juma Al Habsi Medical Clinic,+968 24451860,,,,Al Sharadi -Nr Old Health Center Al Seeb -,Al Seeb,Oman,Juma Al Habsi Medical Clinic,,0,3803,,https://oman.arablocal.com/business/view/juma-al-habsi-medical-clinic,,,,,
hospitals-%26-clinics,Ahmed Medical Centre,+968 24544594,,,nsm.albalushi@gmail.com,South Al Mawalah Al Mawalah -,Muscat,Oman,Ahmed Medical Centre,,0,3346,,https://oman.arablocal.com/business/view/ahmed-medical-centre,,,,,
