_country,category,data,scraped_at,url
SA,health-care,"{""Name"": ""Primary Health Care Center Al Khobar"", ""Phone_1"": ""+966 138026081"", ""Location"": ""Al Jeser Dist., Al Khobar, Al Jeser Dist., Al Khobar, Eastern Province, Saudi Arabia"", ""Area"": ""Al Jeser Dist."", ""Governorate"": ""Eastern Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Primary Health Care Center Al Khobar""}",2026-04-14T19:33:44.918093+00:00,https://arablocal.com/business/view/primary-health-care-center-al-khobar
SA,health-care,"{""Name"": ""Al Badr Medical Clinics"", ""Phone_1"": ""+966 125701287"", ""Location"": ""Al Khansa Dist., Mecca, Makkah Province, Saudi Arabia"", ""Area"": ""Al Khansa Dist."", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Al Badr Medical Clinics"", ""Website"": ""http://www.albadrmedical.com/""}",2026-04-14T19:33:44.692468+00:00,https://arablocal.com/business/view/al-badr-medical-clinics
SA,health-care,"{""Name"": ""Shifa Al Khobar Polyclinic"", ""Phone_1"": ""+966 138944984"", ""Location"": ""Meshaab Street, Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia"", ""Area"": ""Meshaab Street"", ""Governorate"": ""Eastern Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Shifa Al Khobar Polyclinic""}",2026-04-14T19:33:44.613130+00:00,https://arablocal.com/business/view/shifa-al-khobar-polyclinic
SA,health-care,"{""Name"": ""Red Sea Polyclinic"", ""Phone_1"": ""+966 506342641"", ""Phone_2"": ""+966 143223413"", ""Location"": ""Zhour Dist., Yanbu, Zhour Dist., Yanbu, Madinah Province, Saudi Arabia"", ""Area"": ""Zhour Dist."", ""Governorate"": ""Madinah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Red Sea Polyclinic""}",2026-04-14T19:33:44.364966+00:00,https://arablocal.com/business/view/red-sea-polyclinic
SA,health-care,"{""Name"": ""Taif Medical Center"", ""Phone_1"": ""+966 114881133"", ""Location"": ""Altkhassusi Street, Maathar St., Riyadh, Maathar St., Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""Altkhassusi Street"", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Taif Medical Center""}",2026-04-14T19:33:44.148715+00:00,https://arablocal.com/business/view/taif-medical-center
SA,health-care,"{""Name"": ""Saudi German Nursing Institute"", ""Phone_1"": ""+966 126623750"", ""Location"": ""Al Zahra Dist., Makkah Al Mukarrmah, Al Zahra Dist., Mecca, Makkah Province, Saudi Arabia"", ""Area"": ""Al Zahra Dist."", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Saudi German Nursing Institute"", ""Website"": ""http://www.sghgroup.com.sa/ar"", ""Facebook"": ""https://www.facebook.com/SaudiGermanHospitals/"", ""Instagram"": ""https://www.instagram.com/sgh.group/"", ""LinkedIn"": ""https://www.linkedin.com/company/saudi-german-hospitals-group"", ""Twitter"": ""https://www.twitter.com/sghgroup"", ""YouTube"": ""https://www.youtube.com/user/SaudiGermanHospitals""}",2026-04-14T19:33:43.580348+00:00,https://arablocal.com/business/view/saudi-german-nursing-institute
SA,health-care,"{""Name"": ""Rafa Medical Center Al Khobar"", ""Phone_1"": ""+966 138974777"", ""Location"": ""Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia"", ""Area"": ""Khobar Southern"", ""Governorate"": ""Eastern Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Rafa Medical Center Al Khobar"", ""Facebook"": ""https://www.facebook.com/RafaMedicalCenter/""}",2026-04-14T19:33:43.240417+00:00,https://arablocal.com/business/view/rafa-medical-center-al-khobar
SA,health-care,"{""Name"": ""Salehiya Medical"", ""Phone_1"": ""+966 138260830"", ""Location"": ""Hassan Al Basri, Al Tebashee Dist., Dammam, Al Tebashee Dist., Dammam, Eastern Province, Saudi Arabia"", ""Area"": ""Hassan Al Basri"", ""Governorate"": ""Eastern Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Salehiya started commercial activities in 1964, as a specialized healthcare company. At present, it is one of the leading companies in Saudi Arabia specializing in the distribution of pharmaceuticals, medical and laboratory equipment, diagnostics, medical disposables and hospital supplies as well as consumer supplies. The company kept apace with the rapid development of the health sector and evolved along with the demands of a constantly growing market and ambitious development plans of the g..."", ""Website"": ""http://www.salehiya.com""}",2026-04-14T19:33:42.907029+00:00,https://arablocal.com/business/view/salehiya-medical
SA,health-care,"{""Name"": ""Dr Ibrahim Al Taaimi Clinics"", ""Phone_1"": ""+966 920006091"", ""Location"": ""Al Aqeiq Dist., Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""Al Aqeiq Dist."", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Dr. Ibrahim Al Taaimi Clinics""}",2026-04-14T19:33:42.714721+00:00,https://arablocal.com/business/view/dr-ibrahim-al-taaimi-clinics
SA,health-care,"{""Name"": ""Safa Makkah Polyclinic Al Wazarat Riyadh"", ""Phone_1"": ""+966 114012128"", ""Location"": ""Hara, Al Wazarat Dist., Riyadh, Al Wazarat Dist., Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""Hara"", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Safa Makkah Polyclinic Al Wazarat Riyadh""}",2026-04-14T19:33:42.536866+00:00,https://arablocal.com/business/view/safa-makkah-polyclinic-al-wazarat-riyadh
SA,health-care,"{""Name"": ""Al Maghlouth Medical Dispensary"", ""Phone_1"": ""+966 135313333"", ""Location"": ""Makkah Street, Al Shurofiyah, Al Mubarraz, Eastern Province, Saudi Arabia"", ""Area"": ""Makkah Street"", ""Governorate"": ""Eastern Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Al Maghlouth Medical Dispensary"", ""Website"": ""http://www.magclinic.com/""}",2026-04-14T19:33:42.159282+00:00,https://arablocal.com/business/view/al-maghlouth-medical-dispensary
SA,health-care,"{""Name"": ""Shifa Al Jazeera Polyclinic Al Batha Riyadh"", ""Phone_1"": ""+966 546121901"", ""Phone_2"": ""+966 4024900"", ""Phone_3"": ""+966 4121855"", ""Email"": ""info@shifaaljazeera.com.sa"", ""Location"": ""Batha Main street – Opp: Jamal Complex, Al Bat'ha Dist., Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""Batha Main street – Opp: Jamal Complex"", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Eighteen years back in the eve of a breezy cool day of November -2002 Shifa al Jazeera was started with a minimal number of Doctors ,Paramedics and other staff.Now we commands a commendable position in the health care sector of Riyadh, due to its integral,cost effective treatment reentered to its patients.When looking back from a simple and humble start we are here with a little pomp and pride.Eighteen years are surly a milestone in the step by step development of this clinic.Days have passed..."", ""Website"": ""http://shifaaljazeera.com.sa/""}",2026-04-14T19:33:41.973696+00:00,https://arablocal.com/business/view/shifa-al-jazeera-polyclinic-al-batha-riyadh
SA,health-care,"{""Name"": ""Al Amal Polyclinic Rabigh"", ""Phone_1"": ""+966 124222916"", ""Phone_2"": ""+966 124223604"", ""Phone_3"": ""+966 124223608"", ""Email"": ""care@alamalclinic.com"", ""Location"": ""Main Street, Al Samad Dist., Rabigh, Makkah Province, Saudi Arabia"", ""Area"": ""Main Street"", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Al Amal Polyclinic Rabigh"", ""Website"": ""http://alamalclinic.com/"", ""Facebook"": ""https://www.facebook.com/Al-Amal-Polyclinic"", ""Twitter"": ""https://twitter.com/alamalclinic""}",2026-04-14T19:33:41.902206+00:00,https://arablocal.com/business/view/al-amal-polyclinic-rabigh
